seq	element_key	part	printed_page	ia_leaf	latin	notes
33	per-intercessionem	oblatio	xxiv	34	Per intercessionem beati Michaelis archangeli stantis a dexteris Altaris Incensi, et omnium electorum suorum, incensum istud dignetur Dominus benedicere, et in odorem suavitatis accipere. Per Christum Dominum nostrum. Amen.	`Altaris Incensi` capitalised as printed. `Amen.` italic.
35	incensum-istud	oblatio	xxv	35	Incensum istud a te benedictum, ascendat ad te Domine, et descendat super nos misericordia tua.	
37	dirigatur-domine	oblatio	xxv	35	Dirigatur, Domine, oratio mea, sicut incensum, in conspectu tuo: elevatio manuum mearum sacrificium vespertinum. Pone Domine custodiam ori meo, et ostium circumstantiæ labiis meis: ut non declinet cor meum in verba malitiæ, ad excusandas excusationes in peccatis.	`circumstantiæ` and `malitiæ` with the ae-ligature. The block ends at `in peccatis.` and the book prints no doxology here.
41	lavabo-inter-innocentes	oblatio	xxv	35	Lavabo inter innocentes manus meas: et circumdabo altare tuum, Domine.	The Lavabo verses stand as separate printed blocks in this book, one per verse, and are transcribed one to a row as the sibling English artifact divides them.
42	ut-audiam-vocem-laudis	oblatio	xxv	35	Ut audiam vocem laudis: et enarrem universa mirabilia tua.	
43	domine-dilexi-decorem	oblatio	xxv	35	Domine dilexi decorem domus tuæ, et locum habitationis gloriæ tuæ.	`tuæ` and `gloriæ` with the ae-ligature.
44	ne-perdas-cum-impiis	oblatio	xxv-xxvi	35-36	Ne perdas cum impiis animam meam; et cum viris sanguinum vitam meam.	Runs over the page break xxv/xxvi, breaking after `et cum` at the foot of xxv.
45	in-quorum-manibus	oblatio	xxvi	36	In quorum manibus iniquitates sunt: dextera eorum repleta est muneribus.	
46	ego-autem-in-innocentia	oblatio	xxvi	36	Ego autem in innocentia mea ingressus sum: redime me, et miserere mei.	
47	pes-meus-stetit	oblatio	xxvi	36	Pes meus stetit in directo: in ecclesiis benedicam te Domine.	
48	gloria-patri	oblatio	xxvi	36	Gloria Patri, et Filio, &c.	DIFFERS FROM THE 1962 ORDO MISSAE: the doxology is abbreviated to its first words and `&c.` in the Latin column as in the English, where the Ordo Missae sets it out in full. No `Sicut erat` clause is printed, and nothing is supplied.
50	suscipe-sancta-trinitas	oblatio	xxvi	36	Suscipe sancta Trinitas hanc oblationem, quam tibi offerimus ob memoriam Passionis, Resurrectionis, et Ascensionis Jesu Christi Domini nostri: et in honorem beatæ Mariæ semper Virginis, et beati Joannis Baptistæ, et sanctorum Apostolorum Petri et Pauli, et istorum, et omnium Sanctorum: ut illis proficiat ad honorem, nobis autem ad salutem: et illi pro nobis intercedere dignentur in cœlis, quorum memoriam agimus in terris. Per eumdem, &c. Amen.	The conclusion is abbreviated `Per eumdem, &c.` in the Latin column. `cœlis` with the oe-ligature. `Amen.` italic.
52	orate-fratres	oblatio	xxvii	37	Orate Fratres: ut meum ac vestrum sacrificium acceptabile fiat apud Deum patrem omnipotentem.	Neither column prefixes this block with a speaker mark, though the response that follows is prefixed `R.` in both. `Fratres` capitalised and `patrem` lower-case, as printed.
53	suscipiat-dominus	oblatio	xxvii	37	R. Suscipiat Dominus sacrificium de manibus tuis ad laudem et gloriam nominis sui, ad utilitatem quoque nostram, totiusque Ecclesiæ suæ sanctæ.	The Latin prints a comma after `nominis sui` where the facing English prints none after `name`.
57	per-omnia-saecula	oblatio	xxvii	37	P. Per omnia sæcula. sæculorum. R. Amen.	The Latin runs over two lines, `P. Per omnia sæcula.` and then `sæculorum. R. Amen.`; the full stop after `sæcula` is the printing's own error and is transcribed as printed. `Amen.` italic.
59	sursum-corda	oblatio	xxvii	37	P. Dominus vobiscum. R. Et cum spiritu tuo. P. Sursum corda. R. Habemus ad Dominum. P. Gratias agamus Domino Deo nostro. R. Dignum et justum est.	The whole Preface dialogue is set as one continuous block in each column, with the P. and R. run in. This is the last block on xxvii.
