seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
13	per-evangelica-dicta	oblatio	prayer	all	xxi	31		May our sins be blotted out by the words of the Gospel.	Set to the full measure with no facing Latin. Speaker given as `all` because the book's own preceding rubric says the assistants say it with the Priest. The element key is taken from the received Latin incipit, which this page does not print.
14	credo-heading	oblatio	heading		xxi	31		The NICENE CREED.	Centred across the full measure; `The` in ordinary upper and lower case, `NICENE CREED` in full capitals.
15	credo-in-unum-deum	oblatio	prayer		xxi	31	Credo in unum Deum Patrem	I Believe in one God, the Father Almighty, Maker of heaven and earth, and of all things visible and invisible.	The book prints no speaker for the Creed, so speaker is left empty. Two-line drop capital in both columns: C with REDO in capitals in the Latin, I with `Believe` in ordinary upper and lower case in the English, so the English drop capital is followed by a capitalised `Believe`, which is transcribed as printed.
16	et-in-unum-dominum	oblatio	prayer		xxi-xxii	31-32	Et in unum Dominum Jesum Christum	And in one Lord Jesus Christ, the only begotten Son of God, and born of the Father before all ages. God of God; Light of Light; true God of true God; begotten not made; consubstantial to the Father, by whom all things were made. Who for us men, and for our salvation, came down from heaven, and became incarnate by the Holy Ghost of the Virgin Mary: AND WAS MADE MAN.* He was crucified also for us, suffered under Pontius Pilate, and was buried. And the third day he rose again according to the Scriptures. And ascended into heaven, sitteth at the right hand of the Father. And he is to come again with glory to judge both the living and the dead, of whose kingdom there shall be no end.	Runs over the page break at xxi/xxii, breaking in the English at `the Virgin` / `Mary` and in the Latin at `ex Maria Vir-` / `gine`. AND WAS MADE MAN is set in full capitals, matching the Latin ET HOMO FACTUS EST in the facing column; the asterisk after MAN. is the book's own and keys the footnote at the foot of xxii (see nota-incarnationis). Right-margin ink loss at the foot of xxi: `Virgin` prints with a damaged n reading almost as `Virgio`; read at 640 and 1600 dpi against the facing Latin `ex Maria Virgine`. The English renders `consubstantialem Patri` as `consubstantial to the Father`, not `with the Father`.
17	et-in-spiritum-sanctum	oblatio	prayer		xxii	32	Et in Spiritum Sanctum, Dominum	And in the Holy Ghost, the Lord and Giver of life, who proceedeth from the Father and the Son; who, together with the Father and the Son, is adored and glorified; who spoke by the prophets. And one holy Catholic and apostolic Church. I confess one baptism for the remission of sins. And I expect the resurrection of the dead, and the life of the world to come. Amen.	The facing Latin prints `qui ex Patre Filioque procedit`, so this printing DOES carry the Filioque, and the English renders it `who proceedeth from the Father and the Son`. The facing Latin prints `Et expecto resurrectionem mortuorum`, with expecto and NOT exspecto; read at 640 dpi in the lat-bot crop, where the word stands whole and unbroken at `Et expecto` on its own line. `Amen` in italic. A stray inked dot stands between `prophetas.` and `Et unam` in the Latin column.
18	dominus-vobiscum-ante-offertorium	oblatio	dialogue	priest	xxii	32	P. Dominus vobiscum	P. The Lord be with you. R. And with thy spirit.	Set in the facing columns immediately after the Creed. The `Oremus` that completes this greeting is carried over to the head of xxiii and is entered separately below.
19	nota-incarnationis	oblatio	rubric		xxii	32		* At these words the assistants kneel down to adore God for the ineffable mystery of the incarnation.	NOT IN THE 1962 ORDO MISSAE: a devotional footnote for the reader, not a rubric of the Ordo. Set in roman to the full measure at the foot of xxii, below the columns, keyed by the asterisk to AND WAS MADE MAN. in the Creed. Entered as kind rubric because the fixed vocabulary has no value for a footnote; it is a note, not a rubric of the rite.
20	oremus-ante-offertorium	oblatio	dialogue	priest	xxiii	33	Oremus	Let us pray.	Italic in both columns, set as the first line of xxiii in the facing columns. No response is printed; it completes the greeting at the foot of xxii. Entered as kind dialogue for want of a closer value.
21	rubrica-offertorium	oblatio	rubric		xxiii	33		Here follows the OFFERTORY, which may be seen in its proper place.	Italic across the full measure, turned over two lines; OFFERTORY in full capitals. The book prints no offertory antiphon text here.
22	oblatio-hostiae-heading	oblatio	heading		xxiii	33		OBLATION of the HOST.	Centred across the full measure. OBLATION and HOST are in small capitals; `of the` is in italic upper and lower case.
23	suscipe-sancte-pater	oblatio	prayer	priest	xxiii	33	Suscipe, sancte Pater, omnipotens aeterne Deus	Accept, O holy Father, almighty and eternal God, this unspotted Host, which I thy unworthy servant offer unto thee, my living and true God, for my innumerable sins, offences, and negligences, and for all here present; as also for all faithful Christians, both living and dead; that it may avail both me and them unto life everlasting. Amen.	`Amen` in italic. A stray inked dot stands between `negligences,` and `and` in the English column; the comma itself is clear at 1600 dpi, so the mark is dirt and not punctuation. No cross sign is printed in either column.
24	rubrica-vinum-et-aqua	oblatio	rubric		xxiii	33		When the Priest puts the Wine and Water into the Chalice, he says,	Italic across the full measure, turned over two lines, with `Priest`, `Wine`, `Water` and `Chalice` in a heavier italic. The book gives no blessing of the water and no `Deus qui humanae` cross sign.
25	deus-qui-humanae-substantiae	oblatio	prayer	priest	xxiii	33	Deus qui humanae substantiae dignitatem	O God, who, in creating human nature, hast wonderfully dignified it, and still more wonderfully reformed it: grant that by the mystery of this Water and Wine, we may be made partakers of his divine nature, who vouchsafed to become partaker of our human nature, namely, Jesus Christ our Lord thy Son, who with thee, in the unity of, &c. Amen.	`namely` and `Amen` in italic. The conclusion is abbreviated to `in the unity of, &c.` where the facing Latin sets it out in full to `per omnia saecula saeculorum. Amen.` Right-margin ink loss: `unity` prints as `unitj`, the y having lost its tail, and the closing `Amen.` is broken to `Anun.`; both read at 640 dpi against the facing Latin.
26	oblatio-calicis-heading	oblatio	heading		xxiv	34		OBLATION of the CHALICE.	Centred across the full measure. OBLATION and CHALICE in small capitals, `of the` in italic upper and lower case.
27	offerimus-tibi-domine	oblatio	prayer	priest	xxiv	34	Offerimus tibi, Domine, calicem salutaris	We offer unto thee, O Lord, the chalice of salvation, beseeching thy clemency: that it may ascend before thy divine Majesty, as a sweet odour, for our salvation, and for that of the whole world. Amen.	`Amen` in italic. The facing Latin prints `calicem, salutaris,` with a comma after calicem, which is the printing's own error for `calicem salutaris`.
28	rubrica-inclinatus-ante-altare	oblatio	rubric		xxiv	34		When the Priest bows before the Altar, he says,	Italic, centred across the full measure.
29	in-spiritu-humilitatis	oblatio	prayer	priest	xxiv	34	In spiritu humilitatis, et in animo	Accept us, O Lord, in the spirit of humility, and contrition of heart: and grant that the sacrifice we offer this day in thy sight, may be pleasing to thee, O Lord God.	The book prints no Amen here, and the facing Latin ends at `Domine Deus.` The Latin sets `nodie` for `hodie`, the h having failed.
30	rubrica-benedictio-panis-et-vini	oblatio	rubric		xxiv	34		When he blesses the Bread and Wine, he says,	Italic, centred across the full measure, with `Bread` and `Wine` in a heavier italic.
31	veni-sanctificator	oblatio	prayer	priest	xxiv	34	Veni, sanctificator, omnipotens aeterne Deus	Come, O almighty and eternal God, the sanctifier, and bless this sacrifice, prepared for the glory of thy holy name.	No cross sign is printed in either column, where the Latin rite prescribes one at `benedic`. The book prints no Amen.
32	rubrica-benedictio-incensi	oblatio	rubric		xxiv	34		Here, in solemn Masses, he blesses the Incense, saying,	A full-measure horizontal rule is printed across both columns immediately above this rubric, marking off the solemn-Mass incensation matter that follows; the rule is the only one of its kind in this range. Italic, with `Masses` and `Incense` in a heavier italic.
33	per-intercessionem	oblatio	prayer	priest	xxiv	34	Per intercessionem beati Michaelis archangeli	May the Lord, by the intercession of blessed Michael the archangel, standing at the right hand of the Altar of Incense, and of all his elect, vouchsafe to bless this incense, and receive it as an odour of sweetness. Through, Amen.	The English conclusion is abbreviated to `Through,` with a comma and then `Amen.` in italic, where the facing Latin sets `Per Christum Dominum nostrum. Amen.` in full. Both `Through,` and `Amen.` are undamaged at 640 dpi, so the comma is the printing's own.
34	rubrica-incensatio-oblatorum	oblatio	rubric		xxv	35		At incensing the Bread and Wine, he says,	Italic, centred across the full measure, with `Bread` and `Wine` in a heavier italic.
35	incensum-istud	oblatio	prayer	priest	xxv	35	Incensum istud a te benedictum	May this Incense which thou hast blest, O Lord ascend to thee, and may thy mercy descend upon us.	`Incense` is capitalised in the English. The book prints no comma after `O Lord`; the line runs on within the measure, so this is not scan loss. No Amen.
36	rubrica-incensatio-altaris	oblatio	rubric		xxv	35		At incensing the Altar, he says, Ps. cxl.	Italic across the full measure, with `Altar` in a heavier italic and the psalm citation `Ps. cxl.` in roman.
37	dirigatur-domine	oblatio	prayer	priest	xxv	35	Dirigatur, Domine, oratio mea	Let my prayer O Lord, be directed as incense in thy sight: the lifting up of my hands, as evening sacrifice. Set a watch, O Lord, before my mouth: and a door of prudence around my lips; that my heart incline not to evil words to make excuses in sins.	The book prints no comma after the first `prayer`, putting it after `O Lord` instead; both words stand well inside the measure and are undamaged. The Latin `Dirigatur ... vespertinum` and `Pone Domine ... in peccatis` are set as one paragraph, and the English follows.
38	rubrica-thuribulum-diacono	oblatio	rubric		xxv	35		On giving the Censer to the Deacon, he says,	Italic across the full measure, with `Censer` and `Deacon` in a heavier italic. A stray inked mark stands immediately before `Deacon` in both the whole-page and the column renderings; it is dirt, not punctuation.
39	accendat-in-nobis	oblatio	prayer	priest	xxv	35		May the Lord enkindle within us the fire of his love, and the flame of everlasting charity.	DIFFERS FROM THE 1962 ORDO MISSAE in presentation, not in substance: the prayer is in the 1962 Ordo, but this printing sets it to the FULL MEASURE with NO facing Latin at all, and drops the Amen. It is the only offertory prayer on xxiii-xxvi so treated. The element key is taken from the received Latin incipit, which the page does not print.
40	rubrica-lavabo	oblatio	rubric		xxv	35		Washing his Hands, he says, Ps. xxv. 6.	Italic across the full measure, with `Hands` in a heavier italic and the psalm citation `Ps. xxv. 6.` in roman.
41	lavabo-inter-innocentes	oblatio	prayer	priest	xxv	35	Lavabo inter innocentes manus meas	I will wash my hands among the innocent: and will compass thy altar, O Lord.	The Lavabo psalm is set as a run of separate printed paragraphs, one per verse, in both columns; each is entered here as its own row, following the book's own paragraphing.
42	ut-audiam-vocem-laudis	oblatio	prayer	priest	xxv	35	Ut audiam vocem laudis	That I may hear the voice of thy praise: and tell all thy wondrous works.	Right-margin ink loss: `the` at the end of the first line prints with a broken e, reading almost as `tho`; read against the facing Latin `Ut audiam vocem laudis`.
43	domine-dilexi-decorem	oblatio	prayer	priest	xxv	35	Domine dilexi decorem domus tuae	I have loved O Lord, the beauty of thy house, and the place where thy glory dwelleth.	The book prints no comma after `loved`, following the Latin `Domine dilexi decorem`, which is also unpunctuated after `Domine`.
44	ne-perdas-cum-impiis	oblatio	prayer	priest	xxv-xxvi	35-36	Ne perdas cum impiis animam meam	Take not away my soul, with the wicked; nor my life with bloody men.	Runs over the page break at xxv/xxvi, breaking in the English at `with the wicked;` / `nor my life`. The signature `C` stands at the foot of xxv.
45	in-quorum-manibus	oblatio	prayer	priest	xxvi	36	In quorum manibus iniquitates sunt	In whose hands are iniquities: their right-hand is filled with gifts.	`right-hand` is hyphenated as printed.
46	ego-autem-in-innocentia	oblatio	prayer	priest	xxvi	36	Ego autem in innocentia mea	But I have walked in my innocence: redeem me and have mercy on me.	
47	pes-meus-stetit	oblatio	prayer	priest	xxvi	36	Pes meus stetit in directo	My foot hath stood in the direct way: in the churches I will bless thee, O Lord.	
48	gloria-patri	oblatio	prayer	priest	xxvi	36	Gloria Patri, et Filio, &c.	Glory be to the Father &c.	DIFFERS FROM THE 1962 ORDO MISSAE: the doxology is abbreviated to its first words and `&c.` in both columns, where the Ordo Missae sets it out in full. The book prints no comma after `Father`, and no `Sicut erat` clause.
49	rubrica-inclinatus-ante-medium-altaris	oblatio	rubric		xxvi	36		Bowing before the middle of the Altar, he says,	Italic, centred across the full measure, with `Altar` in a heavier italic.
50	suscipe-sancta-trinitas	oblatio	prayer	priest	xxvi	36	Suscipe sancta Trinitas hanc oblationem	Receive O holy Trinity, this oblation which we make to thee in memory of the Passion, Resurrection, and Ascension of our Lord Jesus Christ, and in honour of the blessed Mary ever a virgin, of blessed John Baptist, the holy Apostles Peter and Paul, and of all the Saints: that it may be available to their honour, and our salvation: and may they vouchsafe to intercede for us in heaven, whose memory we celebrate on earth. Through the same Christ our Lord. Amen.	Scan damage of the end-of-line hyphen kind the shared brief warns of: the English breaks `Re-` / `surrection` and the hyphen has been eaten, so the page as scanned reads `Passion, Re surrection`; the facing Latin breaks the same word at `Re-` / `surrectionis` with its hyphen intact, and controls the reading. `Amen` in italic. The English names `blessed Mary ever a virgin` and `blessed John Baptist`; the Latin conclusion is abbreviated to `Per eumdem, &c. Amen.` while the English sets it out as `Through the same Christ our Lord.`
51	rubrica-conversus-ad-populum	oblatio	rubric		xxvii	37		Then turning himself towards the People, he says,	Italic across the full measure, with `People` in a heavier italic. This is the first block on xxvii, a leaf that this project has not previously transcribed; the running head on it is PREFACES., not THE ORDINARY, and the signature `C 2` stands at its foot.
52	orate-fratres	oblatio	dialogue	priest	xxvii	37	Orate Fratres: ut meum ac vestrum	Brethren, pray that my sacrifice and yours may be acceptable to God the Father Almighty.	Neither column prefixes this block with `P.`, though the response that follows is prefixed `R.` in both. Right-margin ink loss on this leaf: `my` at the end of the first English line prints with a broken y; read against the facing Latin `ut meum ac vestrum sacrificium`.
53	suscipiat-dominus	oblatio	dialogue	server	xxvii	37	R. Suscipiat Dominus sacrificium de manibus	R. May the Lord receive the sacrifice from thy hands, to the praise and glory of his name to our benefit, and to that of all his holy Church.	The book prints NO comma after `name`, where the facing Latin has one after `nominis sui`; the terminal e of `name` is undamaged at 640 dpi, so the omission is the printing's own. The `R.` is printed in both columns and is kept in the English as the shared brief directs.
54	rubrica-secreta	oblatio	rubric		xxvii	37		After reading the SECRET, which may be seen in its proper place, the second Secret from Candlemas-day, till Passion-Sunday and from the III. Sunday after Pentecost until Advent, (except on Doubles and within Octaves) is the following.	NOT IN THE 1962 ORDO MISSAE: the seasonal second-Secret regime, matching the second-Collect rubric on xx. Italic across the full measure with roman for the emphasised words; SECRET in small capitals. `Candlemas-day` falls at a line break, so it cannot be settled whether the hyphen is the compound's own or the break's; the same book prints `Candlemas day` unhyphenated on xx. The opening parenthesis before `except` is printed without a closing space and the parenthesis is closed after `Octaves`.
55	secreta-ii	oblatio	prayer	priest	xxvii	37		II. SECRET.—Graciously hear us, O God our Saviour; that by virtue of this sacrament, thou mayest defend us from all enemies, of both soul and body: grant us grace in this life, and glory in the next.	NOT IN THE 1962 ORDO MISSAE: a proper Secret printed bodily inside the Ordinary, the counterpart of the II. COLLECT on xx. Set to the FULL MEASURE with no facing Latin, so latin_incipit is empty. The label `II. SECRET.` is in roman capitals and is followed by an em rule, not a full stop and space. The element key is numbered from the printed label because the page prints no Latin incipit to derive one from. No conclusion is printed.
56	rubrica-secreta-concede	oblatio	rubric		xxvii	37		From Low-Sunday, exclusively, till the Ascension, instead of the foregoing is said the SECRET, * May, O Lord, &c, as in the Votive Mass, SALVE, of the B. V. M. p. 508.	NOT IN THE 1962 ORDO MISSAE: the seasonal substitution rule for the second Secret. Italic with roman for the emphasised words; SECRET and SALVE in full capitals. The asterisk before `May` is printed on the page and has NO answering footnote anywhere on xxvii - the foot of the page carries only the signature `C 2` - so it stands unexplained. The book prints `&c,` with a comma, not `&c.` Note also `Low-Sunday, exclusively` here against `Low Sunday inclusively` in the matching collect rubric on xx.
57	per-omnia-saecula	oblatio	dialogue	priest	xxvii	37	P. Per omnia saecula saeculorum	P. World without end. R. Amen.	Set in the facing columns; the Latin runs over two lines, `P. Per omnia saecula.` then `saeculorum. R. Amen.`, the full stop after `saecula` being the printing's own error. `Amen` in italic in both columns.
58	praefatio-heading	oblatio	heading		xxvii	37		The Preface.	Centred in italic across the measure, above the dialogue. The common Preface itself begins on the following page and is outside this file.
59	sursum-corda	oblatio	dialogue	priest	xxvii	37	P. Dominus vobiscum	P. The Lord be with you. R. And with thy spirit. P. Lift up your hearts. R. We have lifted them up to the Lord. P. Let us give thanks to the Lord our God. R. It is meet and just.	The whole Preface dialogue is set as one continuous block in each column, with the P. and R. run in. Scan damage of the end-of-line hyphen kind: the English breaks `lift-` / `ed` and the hyphen has been eaten, so the page as scanned reads `We have lift ed them up`; read against the facing Latin `R. Habemus ad Dominum.` and against the book's own unbroken usage. This is the last block on xxvii; `C 2` stands beneath it.
