vulgate_psalm	vulgate_verses	hebrew_psalm	hebrew_verses	english_psalm	english_verses	english_offset	english_offset_uniform	printed_douay_rheims	note
125	1-7	126	1-7	126	1-7	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 7 verses against 6 in the English convention, so the two systems also divide the body differently
126	1-5	127	1-5	127	1-5	0	yes		
127	1-6	128	1-6	128	1-6	0	yes		
128	1-8	129	1-8	129	1-8	0	yes		
129	1-8	130	1-8	130	1-8	0	yes		
130	1-3	131	1-3	131	1-3	0	yes		
131	1-18	132	1-18	132	1-18	0	yes		
132	1-3	133	1-3	133	1-3	0	yes		
133	1-3	134	1-3	134	1-3	0	yes		
134	1-21	135	1-21	135	1-21	0	yes		
135	1-27	136	1-27	136	1-27	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 27 verses against 26 in the English convention, so the two systems also divide the body differently
136	1-9	137	1-9	137	1-9	0	yes		
137	1-8	138	1-8	138	1-8	0	yes		
138	1-24	139	1-24	139	1-24	0	yes		
139	1	140	1	140	title	1	yes		psalm inscription; English Bibles leave it unnumbered
139	2-14	140	2-14	140	1-13	1	yes		
140	1-10	141	1-10	141	1-10	0	yes		
141	1	142	1	142	title	1	yes		psalm inscription; English Bibles leave it unnumbered
141	2-8	142	2-8	142	1-7	1	yes		
142	1-12	143	1-12	143	1-12	0	yes		
143	1-15	144	1-15	144	1-15	0	yes		
144	1-21	145	1-21	145	1-21	0	yes		
145	1	146	1	146	title	1	no		psalm inscription; English Bibles leave it unnumbered
145	2-10	146	2-10	146	1-9	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 10 verses against 10 in the English convention, so the two systems also divide the body differently
146	1-11	147	1-11	147	1-11	0	yes		
147	12-20	147	12-20	147	12-20	0	yes		
148	1-14	148	1-14	148	1-14	0	yes		
149	1-9	149	1-9	149	1-9	0	yes		
150	1-5	150	1-5	150	1-5	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 5 verses against 6 in the English convention, so the two systems also divide the body differently
