seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
11	adjutorium-nostrum	praeparatio	dialogue	priest	xvi	26	Adjutorium nostrum in nomine Domini	P. Our help is in the name of the Lord. R. Who made heaven and earth.	The Latin prints `Adjutorium`, with j, and `cœlum` with the oe-ligature, not `caelum`. Right-margin ink loss: the `e` of `the` at the end of the first line is a blot and the final `n` of `heaven` is thinned; both read against the facing Latin `in nomine Domini` and `cœlum et terram`.
12	confiteor-sacerdotis	praeparatio	prayer	priest	xvi	26	Confiteor Deo omnipotenti, &c.	P. I confess to Almighty God, &c.	The priest's Confiteor is abbreviated by `&c.` in both columns; only the ministers' is set out in full. Right-margin ink loss costs the hyphen of `Almigh-ty`, read against the facing Latin `omnipotenti`.
13	misereatur-tui	praeparatio	prayer	server	xvi	26	Misereatur tui omnipotens Deus	R. May Almighty God be merciful to thee, and forgiving thee thy sins, bring thee to everlasting life. P. Amen.	The ministers' response to the priest's Confiteor. `Amen.` italic. The Latin sets `P. Amen.` on a line of its own; the English runs it on after `life.` The book prints no comma after `and` here, and reads `everlasting life`, where the priest's form at xvii prints `and,` and reads `life everlasting`.
14	confiteor-ministrorum	praeparatio	prayer	server	xvi-xvii	26-27	Confiteor Deo omnipotenti, beatæ Mariæ	R. I confess to Almighty God, to blessed Mary, ever a Virgin, to blessed Michael the Archangel, to blessed John Baptist, to the holy Apostles Peter and Paul, to all the saints, and to you, Father, that I have sinned exceedingly in thought, word and deed, through my fault, through my fault, through my most grievous fault. Therefore I beseech the Blessed Mary, ever a virgin, Blessed Michael the Archangel, Blessed John Baptist, the holy Apostles Peter and Paul, and all the saints, and you, O Father, to pray to the Lord our God for me.	Runs over the page break at xvi/xvii, breaking after `to the holy`. `through my fault, through my fault, through my most grievous fault` set in italic, answering the Latin's italic `mea culpa, mea culpa, mea maxima culpa`. NO word `Catholic`, `Catholick`, `Catholicam` or `Catholicum` occurs in either column of this Confiteor; the Latin runs straight from `sanctis Apostolis Petro et Paulo` to `omnibus sanctis, et tibi Pater`. The book's own inconsistency stands: lower-case `blessed` and capital `Virgin` in the first half, capital `Blessed` and lower-case `virgin` in the second. The Latin prints a spurious comma in `beato, Joanni Baptistæ`. Scan damage: the hyphen of `Al-mighty` and of `Vir-gin` are eaten at the right margin of xvi, and at the head of the English column of xvii the last word of each of the first three lines is faded to near-illegibility, `Paul,` printing as `Pa..l,`, `to` as a blur and `have` as `ha.e`; all read against the facing Latin `Petro et Paulo`, `et tibi Pater` and `quia peccavi`.
15	misereatur-vestri	praeparatio	prayer	priest	xvii	27	Misereatur vestri omnipotens Deus	P. May Almighty God be merciful unto you, and, forgiving you your sins, bring you to life everlasting. R. Amen.	`Amen.` italic. `unto you` here against `to thee` in the ministers' form; and a comma after `and`, which the ministers' form lacks. Right-margin ink loss: the `o` of `unto` prints as a blot, read against the facing Latin `vestri`.
16	indulgentiam	praeparatio	prayer	priest	xvii	27	Indulgentiam, absolutionem, et remissionem	P. May the Almighty and merciful Lord grant us pardon, absolution, and remission of our sins. R. Amen.	`Amen.` italic. The Latin column misprints `onmipotens` for `omnipotens`, the m and n transposed; the English is unaffected.
17	deus-tu-conversus	praeparatio	dialogue	priest	xvii	27	Deus tu conversus vivificabis nos	P. Thou, O God, being turned towards us, wilt enliven us. R. And thy people will rejoice in thee.	Right-margin ink loss: the final `e` of `people` prints as a blot, read against the facing Latin `plebs tua lætabitur`.
18	ostende-nobis	praeparatio	dialogue	priest	xvii	27	Ostende nobis, Domine, misericordiam tuam	P. Show us, O Lord, thy mercy. R. And grant us thy salvation.	`Show`, not `Shew`; verified at 1600 dpi.
19	domine-exaudi	praeparatio	dialogue	priest	xviii	28	Domine, exaudi orationem meam	P. O Lord hear my prayer. R. And let my cry come unto thee.	The book prints no comma after `O Lord`.
20	dominus-vobiscum	praeparatio	dialogue	priest	xviii	28	Dominus vobiscum	P. The Lord be with you. R. And with thy spirit	The response ends WITHOUT a full stop. The line stops well short of the right margin, so this is the book's own omission and not the leaf's marginal ink loss; the same versicle at the foot of xix does print the stop. Nothing is supplied here.
21	rubrica-ascensus-ad-altare	praeparatio	rubric		xviii	28		The Priest going up to the Altar, says,	Italic, set across the full measure above both columns, so it has no facing Latin counterpart.
22	aufer-a-nobis	praeparatio	prayer	priest	xviii	28	Aufer a nobis quæsumus Domine	Take away from us our iniquities, we beseech thee, O Lord, that we may be worthy to enter with pure minds into the Holy of holies. Thro'. Amen.	The conclusion is abbreviated `Thro'.` — apostrophe and then a full stop — where the facing Latin sets `Per Christum Dominum nostrum.` in full. `Amen.` italic. A small speck follows the hyphen of `en-ter` at the right margin; it is a blemish, not a mark of punctuation.
23	rubrica-inclinatus-ante-altare	praeparatio	rubric		xviii	28		When come up to the Altar, bowing down, he says,	Italic, set across the full measure above both columns. `When come up` is the book's own wording, with no `he has` or `being`; it is not corrected here.
24	oramus-te-domine	praeparatio	prayer	priest	xviii	28	Oramus te Domine per merita	We beseech thee O Lord by the merits of thy saints, whose relics are here, and of all the saints: that thou wouldst vouchsafe to forgive me all my sins. Amen.	`Amen.` italic. The book prints no comma after `thee`. `relics`, not `relicks`.
25	rubrica-benedictio-incensi-et-introitus	praeparatio	rubric		xviii	28		Here, at solemn Masses, the Priest, (after having blessed the incense with the following words: Mayest thou be blessed by Him, in whose honour thou shalt be burnt, and fumed the altar in the form of a Cross), turns to the book, and reads the INTROIT; which, being every day different, must be sought for in its proper place. After which, Kyrie eleison and Christe eleison are alternately sung in the choir	Set across the full measure, turned over nine lines, with the rubric proper in italic and the words actually spoken, and the two Greek acclamations, in roman: roman are `at solemn Masses,`, `Priest,`, `Mayest thou be blessed by Him, in whose honour thou shalt be burnt,`, `Kyrie eleison` and `Christe eleison`; everything else is italic, including the opening `Here,`. `INTROIT` is set in small capitals with a full-size initial I. The book prints a cross INSIDE the word, `bles+sed`, at the point of the blessing; the cross is not represented in this transcription. The opening parenthesis after `Priest,` is closed only after `a Cross)`. The rubric ends with no full stop after `choir`.
26	kyrie-eleison	praeparatio	dialogue	priest	xviii	28	Kyrie eleison	P. Kyrie eleison, R. Kyrie eleison, P. Kyrie eleison. Lord, have mercy upon us.	The Kyrie is set across the full measure, not in facing columns: the Greek stands in roman and the English gloss `Lord, have mercy upon us.` follows it in italic on the same line. There is no separate Latin column here; the latin_incipit records the acclamation itself.
27	christe-eleison	praeparatio	dialogue	server	xviii	28	Christe eleison	R. Christe eleison, P. Christe eleison, R. Christe eleison. Christ, have mercy upon us.	Set across the full measure like the preceding block; `Christ, have mercy upon us.` italic. The ministers begin this set, the priest the two Kyrie sets, as the alternation requires.
28	kyrie-eleison-repetitio	praeparatio	dialogue	priest	xix	29	Kyrie eleison	P. Kyrie eleison, R. Kyrie eleison, P. Kyrie eleison. Lord, have mercy upon us.	The third set of three, opening xix; identical in wording to the first. Set across the full measure, gloss in italic.
29	gloria-in-excelsis-heading	praeparatio	heading		xix	29		GLORIA IN EXCELSIS.	Centred across the full measure in roman capitals. The heading is in Latin over both columns; the book supplies no English form of it.
30	gloria-in-excelsis	praeparatio	prayer	priest	xix	29	Gloria in excelsis Deo, et in terra	GLORY be to God on high, and on earth, peace to men of good will. We praise thee; we bless thee; we adore thee; we glorify thee. We give thee thanks for thy great glory, O Lord God, heavenly King, God the Father Almighty. O Lord Jesus Christ, the only begotten Son. O Lord God, Lamb of God, Son of the Father, who takest away the sins of the world have mercy on us. Who takest away the sins of the world receive our prayers. Who sittest at the right hand of the Father, have mercy on us. For thou only art holy. Thou only art the Lord. Thou only, O Jesus Christ, together with the H. Ghost, art most high in the glory of God the Father. Amen.	Two-line drop G in both columns; `LORY` (and Latin `LORIA`) set in capitals. `Amen.` italic. The book abbreviates `H. Ghost`, not `Holy Ghost`. Neither of the first two `Qui tollis` clauses takes a comma before its petition, though the `Qui sedes` clause does. The Latin prints `Rex cœlestis` with the oe-ligature. Right-margin ink loss on this leaf is light: `mercy`, `away` and `only` are thinned but whole, and the terminal `t` of `art` is faint; all read against the facing Latin.
31	rubrica-conversus-ad-populum	praeparatio	rubric		xix	29		Turning towards the people, the Priest salutes them, saying,	Italic, set across the full measure above both columns, turned over two lines with `saying,` centred on the second. This rubric and the versicle following it stand at the foot of xix, after the Gloria; a following lane that begins at xx will not cover them.
32	dominus-vobiscum-post-gloriam	praeparatio	dialogue	priest	xix	29	Dominus vobiscum	P. The Lord be with you. R. And with thy spirit.	The last block on xix. Here the response DOES print its full stop, where the same versicle at the head of xviii does not. Right-margin ink loss: the `h` of `with` loses its bowl and prints as `witl`, read against the facing Latin `Dominus vobiscum`. This block introduces the Collect and may belong to the following lane; it is recorded here because it falls inside the assigned page range.
