seq	element_key	part	printed_page	ia_leaf	latin	notes
18	ostende-nobis	praeparatio	xvii	27	P. Ostende nobis, Domine, misericordiam tuam. R. Et salutare tuum da nobis.	
19	domine-exaudi	praeparatio	xviii	28	P. Domine, exaudi orationem meam. R. Et clamor meus ad te veniat.	The Latin prints a comma after `Domine` where the facing English prints none after `O Lord`.
20	dominus-vobiscum	praeparatio	xviii	28	P. Dominus vobiscum. R. Et cum spiritu tuo.	The Latin response prints its full stop here; the facing English response at this block does not.
22	aufer-a-nobis	praeparatio	xviii	28	Aufer a nobis quæsumus Domine, iniquitates nostras: ut ad Sancta Sanctorum, puris mereamur mentibus introire. Per Christum Dominum nostrum. Amen.	The Latin sets the conclusion `Per Christum Dominum nostrum.` in full where the facing English abbreviates it `Thro'.` `quæsumus` with the ae-ligature. `Amen.` italic. No comma is printed after `quæsumus`.
24	oramus-te-domine	praeparatio	xviii	28	Oramus te Domine per merita sanctorum tuorum, quorum reliquiæ hic sunt, et omnium sanctorum: ut indulgere digneris omnia peccata mea. Amen.	`reliquiæ` with the ae-ligature. No comma after `te`. `Amen.` italic.
26	kyrie-eleison	praeparatio	xviii	28	P. Kyrie eleison, R. Kyrie eleison, P. Kyrie eleison.	Set across the full measure, not in facing columns: the Greek acclamations stand in roman with the italic English gloss `Lord, have mercy upon us.` following on the same line. The acclamations are carried here with their speaker marks; the italic English gloss is omitted from this Latin artifact and stands in the sibling English row.
27	christe-eleison	praeparatio	xviii	28	R. Christe eleison, P. Christe eleison, R. Christe eleison.	Set across the full measure like the preceding block; the italic English gloss `Christ, have mercy upon us.` is omitted here and stands in the sibling English row. The ministers begin this set.
28	kyrie-eleison-repetitio	praeparatio	xix	29	P. Kyrie eleison, R. Kyrie eleison, P. Kyrie eleison.	The third set of three, opening xix, identical in wording to the first; set across the full measure with the italic English gloss omitted here as at seq 26.
29	gloria-in-excelsis-heading	praeparatio	xix	29	GLORIA IN EXCELSIS.	The book's own Latin heading, centred across the full measure in roman capitals over both columns; the book supplies no English form of it, and the sibling English row carries the same Latin words for want of one.
30	gloria-in-excelsis	praeparatio	xix	29	GLORIA in excelsis Deo, et in terra pax hominibus bonæ voluntatis. Laudamus te; benedicimus te; adoramus te; glorificamus te. Gratias agimus tibi propter magnam gloriam tuam, Domine Deus, Rex cœlestis, Deus Pater omnipotens. Domine Fili unigenite Jesu Christe. Domine Deus, Agnus Dei, Filius Patris, qui tollis peccata mundi, miserere nobis. Qui tollis peccata mundi, suscipe deprecationem nostram. Qui sedes ad dexteram Patris, miserere nobis. Quoniam tu solus sanctus. Tu solus Dominus. Tu solus altissimus, Jesu Christe, cum Sancto Spiritu, in gloria Dei Patris. Amen.	Two-line drop G with `LORIA` in capitals, given here as GLORIA. `bonæ` and `Rex cœlestis` with the ae- and oe-ligatures. `Jesu Christe` with J. `Amen.` italic.
32	dominus-vobiscum-post-gloriam	praeparatio	xix	29	P. Dominus vobiscum. R. Et cum spiritu tuo.	The last block on xix, introducing the Collect.
