# Derived by scripture-chronology build; do not hand-edit.
# One row a maximal run of consecutive verses the corpus answers alike,
# in canonical vulgate numbering. guidance/scripture-chronology.md §13.
locus	verses	status	relations	subjects
Ex.40.1-13	13	research-pending		
Ex.40.14-33	20	dated	narrated-event	israel.wilderness.erection-of-the-tabernacle
Ex.40.34-36	3	research-pending		
Lev.1.1-17	17	undated-in-tradition		
Lev.2.1-16	16	undated-in-tradition		
Lev.3.1-17	17	undated-in-tradition		
Lev.4.1-35	35	undated-in-tradition		
Lev.5.1-19	19	undated-in-tradition		
Lev.6.1-30	30	undated-in-tradition		
Lev.7.1-38	38	undated-in-tradition		
Lev.8.1-36	36	undated-in-tradition		
Lev.9.1-24	24	undated-in-tradition		
Lev.10.1-20	20	undated-in-tradition		
Lev.11.1-47	47	undated-in-tradition		
Lev.12.1-8	8	undated-in-tradition		
Lev.13.1-59	59	undated-in-tradition		
Lev.14.1-57	57	undated-in-tradition		
Lev.15.1-33	33	undated-in-tradition		
Lev.16.1-34	34	undated-in-tradition		
Lev.17.1-16	16	undated-in-tradition		
Lev.18.1-30	30	undated-in-tradition		
Lev.19.1-37	37	undated-in-tradition		
Lev.20.1-27	27	undated-in-tradition		
Lev.21.1-24	24	undated-in-tradition		
Lev.22.1-33	33	undated-in-tradition		
Lev.23.1-44	44	undated-in-tradition		
Lev.24.1-23	23	undated-in-tradition		
Lev.25.1-55	55	undated-in-tradition		
Lev.26.1-45	45	undated-in-tradition		
Lev.27.1-34	34	undated-in-tradition		
Num.1.1-54	54	research-pending		
Num.2.1-34	34	research-pending		
Num.3.1-51	51	research-pending		
Num.4.1-49	49	research-pending		
Num.5.1-31	31	research-pending		
Num.6.1-27	27	research-pending		
Num.7.1-89	89	research-pending		
Num.8.1-26	26	research-pending		
Num.9.1-23	23	research-pending		
Num.10.1-36	36	research-pending		
Num.11.1-34	34	research-pending		
Num.12.1-15	15	research-pending		
Num.13.1-34	34	research-pending		
Num.14.1-45	45	research-pending		
Num.15.1-41	41	research-pending		
Num.16.1-50	50	research-pending		
Num.17.1-13	13	research-pending		
Num.18.1-32	32	research-pending		
Num.19.1-22	22	research-pending		
Num.20.1-21	21	research-pending		
Num.20.22-29	8	dated	narrated-event	israel.wilderness.death-of-aaron
Num.20.30	1	research-pending		
Num.21.1-35	35	research-pending		
Num.22.1-41	41	research-pending		
Num.23.1-30	30	research-pending		
Num.24.1-25	25	research-pending		
Num.25.1-18	18	research-pending		
Num.26.1-65	65	research-pending		
Num.27.1-23	23	research-pending		
Num.28.1-31	31	research-pending		
Num.29.1-39	39	research-pending		
Num.30.1-17	17	research-pending		
Num.31.1-54	54	research-pending		
Num.32.1-12	12	research-pending		
Num.32.13	1	dated	narrated-event	israel.wilderness.forty-years-in-the-desert
Num.32.14-42	29	research-pending		
Num.33.1-2	2	research-pending		
Num.33.3-5	3	dated	narrated-event	israel.exodus.the-exodus
Num.33.6-37	32	research-pending		
Num.33.38-39	2	dated	narrated-event	israel.wilderness.death-of-aaron
Num.33.40-56	17	research-pending		
Num.34.1-29	29	research-pending		
Num.35.1-34	34	research-pending		
Num.36.1-13	13	research-pending		
Deut.1.1-5	5	dated	narrated-event	israel.wilderness.moses-final-discourse
Deut.1.6-46	41	research-pending		
Deut.2.1-37	37	research-pending		
Deut.3.1-29	29	research-pending		
Deut.4.1-49	49	research-pending		
Deut.5.1-33	33	research-pending		
Deut.6.1-25	25	research-pending		
Deut.7.1-26	26	research-pending		
Deut.8.1	1	research-pending		
Deut.8.2	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Deut.8.3	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert,israel.wilderness.manna
Deut.8.4	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Deut.8.5-20	16	research-pending		
Deut.9.1-7	7	research-pending		
Deut.9.8	1	dated	retrospective-event	israel.wilderness.golden-calf
Deut.9.9-11	3	dated	retrospective-event	israel.wilderness.forty-days-on-the-mount,israel.wilderness.golden-calf
Deut.9.12-17	6	dated	retrospective-event	israel.wilderness.golden-calf
Deut.9.18	1	dated	retrospective-event	israel.wilderness.forty-days-on-the-mount,israel.wilderness.golden-calf
Deut.9.19-21	3	dated	retrospective-event	israel.wilderness.golden-calf
Deut.9.22-29	8	research-pending		
Deut.10.1-22	22	research-pending		
Deut.11.1-32	32	research-pending		
Deut.12.1-32	32	research-pending		
Deut.13.1-18	18	research-pending		
Deut.14.1-29	29	research-pending		
Deut.15.1-23	23	research-pending		
Deut.16.1-22	22	research-pending		
Deut.17.1-20	20	research-pending		
Deut.18.1-22	22	research-pending		
Deut.19.1-21	21	research-pending		
Deut.20.1-20	20	research-pending		
Deut.21.1-23	23	research-pending		
Deut.22.1-30	30	research-pending		
Deut.23.1-25	25	research-pending		
Deut.24.1-22	22	research-pending		
Deut.25.1-19	19	research-pending		
Deut.26.1-19	19	research-pending		
Deut.27.1-26	26	research-pending		
Deut.28.1-68	68	research-pending		
Deut.29.1-4	4	research-pending		
Deut.29.5	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Deut.29.6-29	24	research-pending		
Deut.30.1-20	20	research-pending		
Deut.31.1-30	30	research-pending		
Deut.32.1-52	52	research-pending		
Deut.33.1-29	29	research-pending		
Deut.34.1-12	12	dated	narrated-event	israel.wilderness.death-of-moses
Jos.1.1-18	18	research-pending		
Jos.2.1-24	24	research-pending		
Jos.3.1-17	17	dated	narrated-event	israel.conquest.crossing-of-the-jordan
Jos.4.1-25	25	dated	narrated-event	israel.conquest.crossing-of-the-jordan
Jos.5.1-5	5	research-pending		
Jos.5.6	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Jos.5.7-9	3	research-pending		
Jos.5.10-12	3	dated	narrated-event	israel.conquest.first-pasch-in-the-land
Jos.5.13-16	4	research-pending		
Jos.6.1-27	27	research-pending		
Jos.7.1-26	26	research-pending		
Jos.8.1-35	35	research-pending		
Jos.9.1-27	27	research-pending		
Jos.10.1-43	43	research-pending		
Jos.11.1-23	23	research-pending		
Jos.12.1-24	24	research-pending		
Jos.13.1-33	33	research-pending		
Jos.14.1-5	5	research-pending		
Jos.14.6-15	10	dated	narrated-event	israel.conquest.calebs-inheritance
Jos.15.1-63	63	research-pending		
Jos.16.1-10	10	research-pending		
Jos.17.1-18	18	research-pending		
Jos.18.1-28	28	research-pending		
Jos.19.1-51	51	research-pending		
Jos.20.1-9	9	research-pending		
Jos.21.1-43	43	research-pending		
Jos.22.1-34	34	research-pending		
Jos.23.1-16	16	research-pending		
Jos.24.1	1	research-pending		
Jos.24.2-3	2	dated	retrospective-event	israel.patriarchs.call-of-abram
Jos.24.4	1	dated	retrospective-event	israel.egypt.descent
Jos.24.5-10	6	research-pending		
Jos.24.11	1	dated	retrospective-event	israel.conquest.crossing-of-the-jordan
Jos.24.12-33	22	research-pending		
Judg.1.1-36	36	research-pending		
Judg.2.1-10	10	research-pending		
Judg.2.11-23	13	dated	narrated-event	israel.judges.period
Judg.3.1-31	31	dated	narrated-event	israel.judges.period
Judg.4.1-24	24	dated	narrated-event	israel.judges.period
Judg.5.1-32	32	dated	narrated-event	israel.judges.period
Judg.6.1-40	40	dated	narrated-event	israel.judges.period
Judg.7.1-25	25	dated	narrated-event	israel.judges.period
Judg.8.1-35	35	dated	narrated-event	israel.judges.period
Judg.9.1-57	57	dated	narrated-event	israel.judges.period
Judg.10.1-18	18	dated	narrated-event	israel.judges.period
Judg.11.1-25	25	dated	narrated-event	israel.judges.period
Judg.11.26	1	dated	narrated-event,retrospective-event	israel.judges.jephte-three-hundred-years,israel.judges.period
Judg.11.27-40	14	dated	narrated-event	israel.judges.period
Judg.12.1-15	15	dated	narrated-event	israel.judges.period
Judg.13.1-25	25	dated	narrated-event	israel.judges.period
Judg.14.1-20	20	dated	narrated-event	israel.judges.period
Judg.15.1-20	20	dated	narrated-event	israel.judges.period
Judg.16.1-31	31	dated	narrated-event	israel.judges.period
Judg.17.1-13	13	research-pending		
Judg.18.1-31	31	research-pending		
Judg.19.1-30	30	research-pending		
Judg.20.1-48	48	research-pending		
Judg.21.1-24	24	research-pending		
Ruth.1.1-22	22	undated-in-tradition		
Ruth.2.1-23	23	undated-in-tradition		
Ruth.3.1-18	18	undated-in-tradition		
Ruth.4.1-22	22	undated-in-tradition		
1Kings.1.1-28	28	research-pending		
1Kings.2.1-36	36	research-pending		
1Kings.3.1-21	21	research-pending		
1Kings.4.1-11	11	research-pending		
1Kings.4.12-18	7	dated	narrated-event	israel.judges.heli-judgeship
1Kings.4.19-22	4	research-pending		
1Kings.5.1-12	12	research-pending		
1Kings.6.1-21	21	research-pending		
1Kings.7.1-2	2	dated	narrated-event	israel.judges.ark-at-cariathiarim
1Kings.7.3-14	12	research-pending		
1Kings.7.15-17	3	dated	narrated-event	israel.judges.period
1Kings.8.1-22	22	research-pending		
1Kings.9.1-27	27	research-pending		
1Kings.10.1-16	16	research-pending		
1Kings.10.17-27	11	dated	narrated-event	israel.monarchy.saul-accession
1Kings.11.1-13	13	research-pending		
1Kings.11.14-15	2	dated	narrated-event	israel.monarchy.saul-accession
1Kings.12.1-25	25	research-pending		
1Kings.13.1-23	23	dated	narrated-event	israel.monarchy.saul-reign
1Kings.14.1-52	52	dated	narrated-event	israel.monarchy.saul-reign
1Kings.15.1-35	35	dated	narrated-event	israel.monarchy.saul-reign
1Kings.16.1-23	23	dated	narrated-event	israel.monarchy.saul-reign
1Kings.17.1-58	58	dated	narrated-event	israel.monarchy.saul-reign
1Kings.18.1-30	30	dated	narrated-event	israel.monarchy.saul-reign
1Kings.19.1-24	24	dated	narrated-event	israel.monarchy.saul-reign
1Kings.20.1-43	43	dated	narrated-event	israel.monarchy.saul-reign
1Kings.21.1-9	9	dated	narrated-event	israel.monarchy.saul-reign
1Kings.21.10-15	6	dated	narrated-event	israel.monarchy.david-at-geth,israel.monarchy.saul-reign
1Kings.22.1-23	23	dated	narrated-event	israel.monarchy.saul-reign
1Kings.23.1-23	23	dated	narrated-event	israel.monarchy.saul-reign
1Kings.23.24-28	5	dated	narrated-event	israel.monarchy.david-in-the-desert-of-maon,israel.monarchy.saul-reign
1Kings.24.1-23	23	dated	narrated-event	israel.monarchy.saul-reign
1Kings.25.1-42	42	dated	narrated-event	israel.monarchy.nabal-in-the-wilderness-of-maon,israel.monarchy.saul-reign
1Kings.25.43-44	2	dated	narrated-event	israel.monarchy.saul-reign
1Kings.26.1-25	25	dated	narrated-event	israel.monarchy.saul-reign
1Kings.27.1-12	12	dated	narrated-event	israel.monarchy.saul-reign
1Kings.28.1-25	25	dated	narrated-event	israel.monarchy.saul-reign
1Kings.29.1-11	11	dated	narrated-event	israel.monarchy.saul-reign
1Kings.30.1-31	31	dated	narrated-event	israel.monarchy.saul-reign
1Kings.31.1-13	13	dated	narrated-event	israel.monarchy.saul-reign
2Kings.1.1-27	27	research-pending		
2Kings.2.1-4	4	dated	narrated-event	israel.monarchy.david-accession
2Kings.2.5-32	28	research-pending		
2Kings.3.1-39	39	research-pending		
2Kings.4.1-12	12	research-pending		
2Kings.5.1-5	5	dated	narrated-event	israel.monarchy.david-accession,israel.monarchy.david-reign
2Kings.5.6-9	4	dated	narrated-event	israel.monarchy.david-capture-of-sion,israel.monarchy.david-reign
2Kings.5.10-25	16	dated	narrated-event	israel.monarchy.david-reign
2Kings.6.1-23	23	dated	narrated-event	israel.monarchy.david-reign
2Kings.7.1-29	29	dated	narrated-event	israel.monarchy.david-reign
2Kings.8.1-18	18	dated	narrated-event	israel.monarchy.david-reign
2Kings.9.1-13	13	dated	narrated-event	israel.monarchy.david-reign
2Kings.10.1-19	19	dated	narrated-event	israel.monarchy.david-reign
2Kings.11.1-27	27	dated	narrated-event	israel.monarchy.david-reign,israel.monarchy.david-repentance
2Kings.12.1-25	25	dated	narrated-event	israel.monarchy.david-reign,israel.monarchy.david-repentance
2Kings.12.26-31	6	dated	narrated-event	israel.monarchy.david-reign
2Kings.13.1-39	39	dated	narrated-event	israel.monarchy.david-reign
2Kings.14.1-33	33	dated	narrated-event	israel.monarchy.david-reign
2Kings.15.1-6	6	dated	narrated-event	israel.monarchy.absalom-preparations,israel.monarchy.david-reign
2Kings.15.7-12	6	dated	narrated-event	israel.monarchy.absalom-revolt,israel.monarchy.david-reign
2Kings.15.13-37	25	dated	narrated-event	israel.monarchy.david-flight-from-absalom,israel.monarchy.david-reign
2Kings.16.1-14	14	dated	narrated-event	israel.monarchy.david-flight-from-absalom,israel.monarchy.david-reign
2Kings.16.15-23	9	dated	narrated-event	israel.monarchy.david-reign
2Kings.17.1-29	29	dated	narrated-event	israel.monarchy.david-reign
2Kings.18.1-18	18	dated	narrated-event	israel.monarchy.absalom-defeat,israel.monarchy.david-reign
2Kings.18.19-33	15	dated	narrated-event	israel.monarchy.david-reign
2Kings.19.1-43	43	dated	narrated-event	israel.monarchy.david-reign
2Kings.20.1-26	26	dated	narrated-event	israel.monarchy.david-reign
2Kings.21.1-22	22	dated	narrated-event	israel.monarchy.david-reign
2Kings.22.1-51	51	dated	narrated-event	israel.monarchy.david-reign
2Kings.23.1-39	39	dated	narrated-event	israel.monarchy.david-reign
2Kings.24.1-25	25	dated	narrated-event	israel.monarchy.david-reign
3Kings.1.1-31	31	inherited	composition	composition.third-book-of-kings
3Kings.1.32-40	9	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-accession
3Kings.1.41-53	13	inherited	composition	composition.third-book-of-kings
3Kings.2.1-9	9	inherited	composition	composition.third-book-of-kings
3Kings.2.10-11	2	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.david-reign
3Kings.2.12	1	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-accession,israel.monarchy.solomon-reign
3Kings.2.13-46	34	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.3.1-28	28	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.4.1-34	34	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.5.1-18	18	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.6.1-2	2	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign,israel.monarchy.temple-begun
3Kings.6.3-36	34	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.6.37-38	2	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign,israel.monarchy.temple-finished
3Kings.7.1-51	51	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.8.1-66	66	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.9.1-28	28	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.10.1-29	29	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.11.1-43	43	dated	composition,narrated-event	composition.third-book-of-kings,israel.monarchy.solomon-reign
3Kings.12.1-20	20	dated	composition,narrated-event	composition.third-book-of-kings,israel.divided-kingdom.division
3Kings.12.21-33	13	inherited	composition	composition.third-book-of-kings
3Kings.13.1-34	34	inherited	composition	composition.third-book-of-kings
3Kings.14.1-24	24	inherited	composition	composition.third-book-of-kings
3Kings.14.25-28	4	dated	composition,narrated-event	composition.third-book-of-kings,israel.divided-kingdom.sesac-invasion
3Kings.14.29-31	3	inherited	composition	composition.third-book-of-kings
3Kings.15.1-34	34	inherited	composition	composition.third-book-of-kings
3Kings.16.1-34	34	inherited	composition	composition.third-book-of-kings
3Kings.17.1-24	24	inherited	composition	composition.third-book-of-kings
3Kings.18.1-46	46	inherited	composition	composition.third-book-of-kings
3Kings.19.1-21	21	inherited	composition	composition.third-book-of-kings
3Kings.20.1-43	43	inherited	composition	composition.third-book-of-kings
3Kings.21.1-29	29	inherited	composition	composition.third-book-of-kings
3Kings.22.1-54	54	inherited	composition	composition.third-book-of-kings
4Kings.1.1-18	18	inherited	composition	composition.fourth-book-of-kings
4Kings.2.1-25	25	inherited	composition	composition.fourth-book-of-kings
4Kings.3.1-27	27	inherited	composition	composition.fourth-book-of-kings
4Kings.4.1-44	44	inherited	composition	composition.fourth-book-of-kings
4Kings.5.1-27	27	inherited	composition	composition.fourth-book-of-kings
4Kings.6.1-33	33	inherited	composition	composition.fourth-book-of-kings
4Kings.7.1-20	20	inherited	composition	composition.fourth-book-of-kings
4Kings.8.1-29	29	inherited	composition	composition.fourth-book-of-kings
4Kings.9.1-37	37	inherited	composition	composition.fourth-book-of-kings
4Kings.10.1-36	36	inherited	composition	composition.fourth-book-of-kings
4Kings.11.1-21	21	inherited	composition	composition.fourth-book-of-kings
4Kings.12.1-21	21	inherited	composition	composition.fourth-book-of-kings
4Kings.13.1-25	25	inherited	composition	composition.fourth-book-of-kings
4Kings.14.1-29	29	inherited	composition	composition.fourth-book-of-kings
4Kings.15.1-38	38	inherited	composition	composition.fourth-book-of-kings
4Kings.16.1-20	20	inherited	composition	composition.fourth-book-of-kings
4Kings.17.1-6	6	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.fall-of-samaria
4Kings.17.7-41	35	inherited	composition	composition.fourth-book-of-kings
4Kings.18.1-3	3	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.ezechias-accession
4Kings.18.4-8	5	inherited	composition	composition.fourth-book-of-kings
4Kings.18.9-12	4	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.fall-of-samaria
4Kings.18.13-37	25	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.sennacherib-invasion
4Kings.19.1-37	37	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.sennacherib-invasion
4Kings.20.1-21	21	inherited	composition	composition.fourth-book-of-kings
4Kings.21.1-26	26	inherited	composition	composition.fourth-book-of-kings
4Kings.22.1-2	2	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.josias-reign
4Kings.22.3-20	18	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.josias-reform
4Kings.23.1-25	25	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.divided-kingdom.josias-reform
4Kings.23.26-33	8	inherited	composition	composition.fourth-book-of-kings
4Kings.23.34-37	4	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.joakim-accession
4Kings.24.1-2	2	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.carchemish
4Kings.24.3-7	5	inherited	composition	composition.fourth-book-of-kings
4Kings.24.8-16	9	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.second-captivity
4Kings.24.17-20	4	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.sedecias-reign
4Kings.25.1-3	3	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.final-siege
4Kings.25.4-7	4	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.third-captivity
4Kings.25.8-10	3	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.burning-of-the-temple,israel.exile.third-captivity
4Kings.25.11-21	11	dated	composition,narrated-event	composition.fourth-book-of-kings,israel.exile.third-captivity
4Kings.25.22-30	9	inherited	composition	composition.fourth-book-of-kings
1Par.1.1-54	54	inherited	composition	composition.first-book-of-paralipomenon
1Par.2.1-55	55	inherited	composition	composition.first-book-of-paralipomenon
1Par.3.1-24	24	inherited	composition	composition.first-book-of-paralipomenon
1Par.4.1-43	43	inherited	composition	composition.first-book-of-paralipomenon
1Par.5.1-26	26	inherited	composition	composition.first-book-of-paralipomenon
1Par.6.1-81	81	inherited	composition	composition.first-book-of-paralipomenon
1Par.7.1-40	40	inherited	composition	composition.first-book-of-paralipomenon
1Par.8.1-40	40	inherited	composition	composition.first-book-of-paralipomenon
1Par.9.1-44	44	inherited	composition	composition.first-book-of-paralipomenon
1Par.10.1-14	14	inherited	composition	composition.first-book-of-paralipomenon
1Par.11.1-3	3	inherited	composition	composition.first-book-of-paralipomenon
1Par.11.4-8	5	dated	composition,narrated-event	composition.first-book-of-paralipomenon,israel.monarchy.david-capture-of-sion
1Par.11.9-46	38	inherited	composition	composition.first-book-of-paralipomenon
1Par.12.1-40	40	inherited	composition	composition.first-book-of-paralipomenon
1Par.13.1-14	14	inherited	composition	composition.first-book-of-paralipomenon
1Par.14.1-17	17	inherited	composition	composition.first-book-of-paralipomenon
1Par.15.1-29	29	inherited	composition	composition.first-book-of-paralipomenon
1Par.16.1-43	43	inherited	composition	composition.first-book-of-paralipomenon
1Par.17.1-27	27	inherited	composition	composition.first-book-of-paralipomenon
1Par.18.1-17	17	inherited	composition	composition.first-book-of-paralipomenon
1Par.19.1-19	19	inherited	composition	composition.first-book-of-paralipomenon
1Par.20.1-7	7	inherited	composition	composition.first-book-of-paralipomenon
1Par.21.1-30	30	inherited	composition	composition.first-book-of-paralipomenon
1Par.22.1-19	19	inherited	composition	composition.first-book-of-paralipomenon
1Par.23.1-32	32	inherited	composition	composition.first-book-of-paralipomenon
1Par.24.1-31	31	inherited	composition	composition.first-book-of-paralipomenon
1Par.25.1-31	31	inherited	composition	composition.first-book-of-paralipomenon
