# Post-audit correction ledger for the cold audit of corpus 2330d63a5.
# One row per standing audit finding; every one of the 104 appears exactly once.
# Dispositions: fixed | withdrawn-after-new-evidence | blocked-source | maintainer-disposition
finding_id	claim_id	severity	audit_result	correction_disposition	source_record	source_locus	changed_claim_or_scope	changed_files	correction_summary	test_or_check	re_review_required	notes
A4-006	event:israel.wilderness.mara-and-elim#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Ex.15.22; bible:douay-rheims:Num.33.3-8; bible:douay-rheims:Ex.14.21-22	Exodus 15:22; Numbers 33:3-8; Exodus 14:21-22	event:israel.wilderness.mara-and-elim#0; NEW event israel.exodus.passage-of-the-red-sea (one claim)	src/sources/chronology/events.yaml	Both cited verses count the three days from the passage of the Red Sea, while the claim anchored them on the Exodus itself, with Soccoth, Etham, Phihahiroth and the sea standing in between (failure mode 15.1(2)). A minimal new event israel.exodus.passage-of-the-red-sea is authored from Exodus 14:21-22 and Numbers 33:8 - itself a bare sequence relative to the Exodus, carrying no length and no era - and the three days are re-anchored on it.		yes	AUTHORS ONE NEW EVENT, which is the anchor the audit names and the smallest identity the sources require; no chronology is authored around it - no year, month or day, and no length for the passage. It is inserted immediately before the '# --- The wilderness' comment so it stays in the exodus group. It is NOT bound to any locus here: binding Ex 14 to it is a separate decision for whoever owns bindings.yaml, and until then it is an anchor only. ALTERNATIVE the lead may prefer, if a new event is unwelcome: re-type this claim as precision duration, days: 3, statement 'they marched three days through the wilderness, and found no water', since three days is a whole positive length of the march and no anchor is then needed; I did not choose it because the subject also covers the encampment at Elim, whose length Scripture does not give, so a bare three-day duration would understate the subject.
A4-017	event:israel.exile.ezechiel.death-of-the-prophets-wife#0	major	CHANGES_REQUIRED	withdrawn-after-new-evidence	bible:douay-rheims:Ezech.24.15-18; scripts/_chronology.py (the loader the recommendation must satisfy)	Ezechiel 24:15-18; guidance/scripture-chronology.md section 10 (the PRECISIONS table) and section 10.0	event:israel.exile.ezechiel.death-of-the-prophets-wife#0 (unchanged)	src/sources/chronology/events.yaml	The recommendation - drop relative.of and carry the containment on the parent alone - is not expressible in the model. PRECISIONS is closed and holds no containment shape for a point event; duration.within exists only on a duration, and this episode has no stated length; and an event must carry a non-empty dates list, so dropping the claim would mean deleting the event and orphaning its bindings, losing verbatim Scripture testimony. The stored claim carries NO offset: its statement is the within-day sequence 'So I spoke to the people in the morning, and my wife died in the evening', so section 15.1(2) does not bite - nothing is measured from the ministry and nothing false is displayed. That is the same shape israel.judges.ark-comes-to-cariathiarim and israel.conquest.division-of-the-land already use correctly for an unquantified position.		yes	This is the family the brief says adversarial verification refuted - a finding asking for a shape the model does not hold - and I am not re-raising it. The claim's refusal to borrow the Ezech. 24:1 dateline is correct and stands, and its note already states the containment in terms ('anchored to the ministry and to nothing narrower, because nothing narrower is stated'). If a maintainer ever wants Date.anchor to stop returning a container for this shape, that is a model change (a containment precision, or a relative.note convention read by the query), not a data correction, and it should be raised against guidance section 10.0 rather than against this claim.
A6-021	event:israel.conquest.war-against-the-kings-of-chanaan#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Jos.11.18; bible:douay-rheims:Jos.11.23; bible:douay-rheims:Jos.4.19	Josue 11:18 with 11:23; Josue 4:19	event:israel.conquest.war-against-the-kings-of-chanaan#0	src/sources/chronology/events.yaml	The war's own unquantified length was carried as the offset payload and as the display label, so a query printed 'a long time' as this event's date and anchor-plus-label read 'the war began a long time after the crossing'. 'A long time' cannot be a duration either, its units being neither whole nor positive, so the length is moved into basis and note and the date now states only the sequence - the shape the adjacent israel.conquest.division-of-the-land claim already uses, whose label likewise names a position rather than a length.	Re-run `tools/tpt scripture-chronology query Jos.11.18`; the narrated-event row must no longer read 'a long time'.	yes	The event-level note on this subject already calls the phrase 'Its one measure of duration', which was the corpus contradicting itself against the date block; after this edit the two agree, so the event note needs no change. The label is not a quotation, which is permitted - guidance section 10 says the display string is 'never the machine truth' - and it is the truthful rendering of a relative with this anchor and no offset.
A8-007	event:israel.wilderness.mary-stricken-at-haseroth#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01003a-5adaeca0; bible:douay-rheims:Num.10.11; bible:douay-rheims:Num.33.16-17	Catholic Encyclopedia vol. 1, "Aaron" (New York, 1907), the paragraph beginning "In Leviticus 16 we see him perform the rites of the Day of Atonement"	event:israel.wilderness.mary-stricken-at-haseroth#0	src/sources/chronology/events.yaml	The offset was anchored on a span whose start is the third month of the FIRST year, while the article counts 'a few months later' from the close of the Sinai stay and calls Haseroth 'the second station after Mount Sinai' - stations counted from the removal that Numbers 10:11 dates to the second month of the SECOND year. The anchor moves to israel.wilderness.departure-from-sinai, which the corpus already holds at exactly that dateline, so the anchor now stands at the interval's start. The hedge 'a few months', the verbatim statement and the label are untouched.		yes	israel.wilderness.departure-from-sinai is itself precision relative on israel.exodus.the-exodus with the Numbers 10:11 dateline as its statement, so nothing computes from this chain and no year is produced. The audit's alternative - keep the encampment and say in the statement that the offset runs from its end - was not taken, because the corpus already holds the end as its own event and naming it is the narrower truthful anchor.
B-043	binding:prophecy-given:israel.divided-kingdom.fall-of-samaria@Mich.4,Mich.5	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10278a-0de24478	Catholic Encyclopedia vol. 10, "Book of Micheas", part two (chapters 4-5)	binding:prophecy-given:israel.divided-kingdom.fall-of-samaria@Mich.4-5 (deleted)	src/sources/chronology/bindings.yaml	The prophecy-given binding of Micheas 4-5 to the fall of Samaria is withdrawn: its whole warrant is a sentence about COMPOSITION, which section 5 forbids reading as another relation, and which composition.book-of-micheas.chapters-4-5 already holds with the article's own "probably" and "shortly after" intact. It is not re-related as historical-setting, because the occasion the article actually names is the Assyrian withdrawal that followed the fall, not the fall itself, and this corpus holds no event for it. A lane comment records the refusal and its ground in place of the binding.	tools/tpt scripture-chronology coverage, and rebuild src/sources/chronology/coverage.tsv in the same commit	yes	APPLIED ALREADY — DO NOT RE-APPLY. The lane lead applied this edit from the first draft of this file, and it landed clean; `edits` is empty so that it cannot be applied twice. Verified live before deciding: `query Mich.4.1` printed four disputed prophecy-given lines ("B.C. 721", "was not taken till 722 B.C.", "The fall of Samaria in 722 or 721", "B.C. 722-1") for every verse of Micheas 4-5 — the fall's own dates asserted as the day the oracles were uttered. Nothing sourced was lost: the composition unit carries the sentence with both hedges. STATUS EFFECT the lead must expect: Micheas 4-5 keeps only a composition assertion, so those verses move from `dated` to `composition-only`, and coverage.tsv changes. `israel.divided-kingdom.fall-of-samaria` keeps its narrated-event binding over 4 Kings 17:1-6 and 18:9-12, so no event is left unbound, and artifact newadvent-10278a-0de24478 is still cited by composition.book-of-micheas.chapters-1-3.
C-002	binding:historical-setting Dan -> israel.exile.first-captivity	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04620a-900282cd	Catholic Encyclopedia vol. 4, Gigot, "Daniel", biographical section	binding:historical-setting Dan -> israel.exile.first-captivity, now -> israel.exile.seventy-years	src/sources/chronology/bindings.yaml	The whole-book historical-setting is rebound from the single deportation to the period event `israel.exile.seventy-years`. Both encyclopedia quotations were verbatim and stay; what was wrong was the extent, and the article's own biography shows it — Daniel's career runs from the deportation under Joakim to the reign of Cyrus, so the occasion the whole book stands in is the captivity, not the day it began.	tools/tpt scripture-chronology query Dan.10.1 — the historical-setting must name the seventy years and not "In the third year of the reign of Joakim"	yes	APPLIED ALREADY — DO NOT RE-APPLY. The lane lead applied this edit from the first draft of this file, and it landed clean; `edits` is empty so that it cannot be applied twice. I chose rebinding over the finding's other option (restrict the scope to Dan.1) deliberately: restricting would leave Daniel 2-14 with no historical-setting at all and would duplicate what the narrated-event binding over Dan.1:1-7 already says, so the book's occasion would be recorded nowhere. `israel.exile.seventy-years` is not an invention of this lane as a setting subject — the corpus already binds Ps 136 to it under this same relation ("Upon the rivers of Babylon, there we sat and wept") and Dan.9:2 under retrospective-event. Consumer effect to expect: the setting renders as the duration "seventy years", which is the only shape any inspected source gives that period, and the deportation's A.M. 3398 and "third year of Joakim" stop reaching Daniel 2-14.
C-009	binding:historical-setting Ps.30 -> israel.monarchy.david-in-the-desert-of-maon	major	CHANGES_REQUIRED	fixed	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-30-traditional-settings	Haydock at Ps 30:1, artifact PDF page 742 (visible printed p. 706)	binding:historical-setting Ps.30 -> israel.monarchy.david-in-the-desert-of-maon (note); NEW binding:historical-setting Ps.30 -> israel.monarchy.david-flight-from-absalom; binding:historical-setting Ps.62+Ps.70 -> israel.monarchy.david-flight-from-absalom (scope restored)	src/sources/chronology/bindings.yaml	The Absalom reading is authored as a second historical-setting binding on Ps 30, and the Maon binding's note stops claiming the other four settings were left unbound for want of an event. Section 8 is satisfied: neither binding rests on attribution, and each names an occasion the page identifies. `query Ps.30.1` now returns two settings where it returned one unhedged line. THE TWO EDITS BELOW ARE REPAIRS, NOT THE CORRECTION — see notes.	tools/tpt scripture-chronology query Ps.30.1 (two historical-setting lines) AND query Ps.70.1 (must return the flight-from-Absalom historical-setting BESIDE the first-captivity superscription-setting — today it returns only the latter)	yes	MY MISTAKE, AND IT IS LIVE IN THE WORKING TREE. The correction itself applied correctly — the Maon note is rewritten and the new Absalom binding on Ps 30 exists — but the insertion edit in the first draft of this file mis-set its own boundaries and did two pieces of damage that the two edits above repair. (1) It emitted a ` sources:` line that the block it replaced did not contain, so ` sources:` now stands TWICE above the Ps 30 Maon source list; YAML takes the later key and `validate` passes, which is exactly why this needs fixing by hand rather than by a gate. (2) It stopped one line short and DELETED ` - {book: Ps, chapter: 70}` from the scope of the pre-existing Ps 62 + Ps 70 binding to the flight from Absalom. Confirmed live: `query Ps.70.1` now returns only the first-captivity superscription-setting, and its own note still discusses Ps 70 at length. Apply both repairs before anything else in this element is reviewed. The first repair's anchor is the doubled ` sources:` pair itself; the second restores the scope line and is anchored on the `- {book: Ps, chapter: 62}` scope entry and the note line that follows it. SUBSTANCE, for the cold reviewer: the page's long sentence is quoted in `evidence_quote` with the OCR's line-break hyphen in "see-ing" closed up and its "8, Chrys." read as "S. Chrys.", which is why the new binding itself quotes only the short clause "though some refer this psalm to the conspiracy of Absalom, (Theod. M.)", which the OCR carries cleanly. Two `preferred` lines on one psalm is not a loader error: section 4.4's rule is one preferred per SUBJECT per profile and these are two subjects; the mutual exclusivity is carried in the two notes, which is the only place a binding can carry it.
D-003	unit:composition.book-of-ecclesiasticus.greek#0	major	CHANGES_REQUIRED	fixed		scripts/_chronology.py _system_loci; scripts/_deuterocanon.py _printed	no data changed; declared universe 37 209 -> 37 171	scripts/_chronology.py, tools/scripture-chronology, tools/tests/test_chronology.py, guidance/scripture-chronology.md, PROJECT-WORK.md	_system_loci enumerates the verses a witness prints instead of filling each chapter from its first printed verse to its last, which had invented 38 greek and 37 world-english-catholic verse numbers no witness prints. greek additional 1 391 -> 1 356, world-english-catholic 9 -> 6, universe 37 209 -> 37 171 — the figure _chronology's own docstring and composition.yaml already carried.	TrackedHardCaseTests.test_a_native_universe_is_the_verses_its_witness_prints	yes	Guidance §3.0.1 and §9.3 and PROJECT-WORK.md restated to match. Commits 9d999c94f, 5ea812af8.
E1-008	event:israel.exodus.the-exodus#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", section "Birth of Abraham to the Exodus", final paragraph (retained text line 164; src.py line 170)	event:israel.exodus.the-exodus#0	src/sources/chronology/events.yaml	The 1490 B.C. claim is re-disposed `alternate` rather than `preferred`: it is a rank-6 report of Usher's regnal years and Sec. 4.4 requires a preferred claim to hold a strictly higher rank than every alternate, which it cannot against the rank-1 verse on the same subject. Its note's unsupported 'reached independently of it' is corrected, since this corpus's own burning-bush and moses-before-pharao claims say the Haydock 'A. C. 1491' apparatus is itself Usher-attributed.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query Ex.12.41	yes	I did NOT follow the finding's recommendation to make 1490 the preferred claim. Sec. 4.2 puts Scripture at rank 1 and the encyclopedia at rank 6, and Sec. 4.4 makes `preferred` require a strictly higher rank than every alternate; 1490 is the encyclopedia's arithmetic FROM 3 Kings 6:1 plus Ussher's regnal years, so preferring it would put a rank-6 report of Ussher above the rank-1 verse it is computed from. The corpus already resolves the identical pair the other way on israel.monarchy.temple-begun, where 3 Kings 6:1 is preferred and the same sentence's 1010 is alternate. E1-010 carries the matching preferred edit; this finding and E1-010 must land together or the subject loads with no preferred and no disputed claim (Sec. 4.4). Overlaps E1-009, E1-010, LEAD-014, P-004 on the same event; all `old` strings are disjoint.
E1-009	event:israel.exodus.the-exodus#1	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", closing sentence of "The Exodus to the building of Solomon's Temple" (retained text line 168; src.py line 174)	event:israel.exodus.the-exodus#1 (withdrawn)	src/sources/chronology/events.yaml	The 'about 1277' claim is removed from catholic-traditional-v1 entirely. It is Howlett's own Egyptological reconstruction, reached on Sayce's Ramses II dates, Driver, and Wellhausen's and Stade's treatment of 3 Kings 6:1 as a late insertion; the article itself says 'This is not the traditional date of the Exodus'. profiles.yaml's second non-authority names exactly this class and says it is 'Not consulted', and Sec. 4.1 makes a modern chronology a separate profile with its own id. The boundary is preserved in the subject note (LEAD-014's edit), not as a claim.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query Ex.12.41	yes	Removing the claim, not re-disposing it, because Sec. 4.3's reporting licence is granted to Ussher alone ('may be reported where a ranked Catholic source itself prints his figures') and expressly NOT to modern critical chronology. An `alternate` would still be a modern figure consulted inside this profile. Re-profiling it to a `modern-critical-v1` profile was considered and rejected: `chronology()` and `tools/scripture-chronology` default to profile=None and return every profile's claims, so a second profile would leak the figure into ordinary queries until the tools filter by default - a tooling change outside this lane. This edit is a prerequisite of E1-010's `preferred`, because Sec. 4.4 forbids `preferred` beside `disputed`. Same event as E1-008, E1-010, LEAD-014, P-004; `old` strings disjoint. P-004 is satisfied by this edit and carries none of its own.
E1-010	event:israel.exodus.the-exodus#2	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:3Kings.6.1	3Kings.6.1, tracked Douay-Rheims (read with .scratch/cold-audit/verse.py)	event:israel.exodus.the-exodus#2	src/sources/chronology/events.yaml	The rank-1 claim from 3 Kings 6:1 becomes the preferred claim on the Exodus, as it already is on israel.monarchy.temple-begun. Its note no longer says the claim is disputed because the Greek reads 440: Sec. 4.2 forbids a rank-6 report of a variant demoting the rank-1 statement it varies from.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query Ex.12.41	yes	Quotation re-read out of the tracked Douay with verse.py and unchanged; only the disposition and the note move. This edit REQUIRES E1-009 (removal of the disputed 'about 1277') and E1-008 and LEAD-014 (the two remaining claims demoted to `alternate`) to land in the same commit: `preferred` beside `disputed` is a load error, and two `preferred` under one profile is a load error. After all four, the subject holds one rank-1 preferred and two rank-6 alternates, which satisfies Sec. 4.4's rank condition for `preferred` without needing the explicit-note clause.
E1-016	event:israel.monarchy.saul-accession#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, 'Biblical Chronology', the close of its section on the period	event:israel.monarchy.saul-accession (sole claim withdrawn)	src/sources/chronology/events.yaml, scripts/_chronology.py, tools/tests/test_chronology.py	The claim is withdrawn. Howlett's 1020 is the same Egyptological reconstruction as the 1277 removed under E1-009, and being the ONLY claim on the subject it was what this profile answered for the founding of the monarchy. The correcting agent escalated it because the loader refused an event with an empty dates list and the event could not be deleted either - two bindings name it and four claims are measured from it. The lead made the smallest model change that lets the claim go: an event may hold no claim, asserting nothing and returning nothing, while a composition unit still requires one. The verses that narrate the accession now carry their book's composition chronology instead of a modern reconstruction.	LoadRefusalTests.test_an_event_may_be_a_subject_without_being_a_dated_one; LoadRefusalTests.test_a_composition_unit_still_needs_a_date	yes	No ranked traditional source dates Saul's accession: the agent grepped all 116 retained artifact texts, the CE 'Saul' article carries no dates, and Scripture states intervals to and from the accession without dating it. A rank-1 claim would need the derivation guidance 10 requires.
