ordinal	token	file	testament	edition_title	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
19	Esth	19-esther.tsv	old	Esther (Greek)	The Book of Esther	Esther	Esth.	Est	10	205	The whole book translated from the Greek Septuagint, printed under USFM code ESG. It carries the Catholic canon's Greek additions but not the Vulgate's chapter numbers for them: the translators merged the five additions into the Hebrew chapter numbering as extensions of 1:1 and of 3:13, 4:17, 8:12 and 10:3, so this Esther has ten chapters and the Vulgate's Esther 11-16 do not exist here at all. A roman-1962 citation of Esther 13 or 14 therefore finds no chapter and refuses, which is correct. Chapter 10 runs to 14 verses against the Vulgate's 13, and its 10:4, “Mordecai said, These things have come from God”, is the Vulgate's 10:4; no calendar tracked here cites inside that addition, so no correspondence is asserted for the rest of it. Verses 4:6, 9:5 and 9:30 are absent from this text, the Greek carrying no matter at those numbers.
20	Job	20-job.tsv	old	The Book of Job	The Book of Job	Job	Job	Jb	42	1070	
21	Ps	21-psalms.tsv	old	The Psalms	The Book of Psalms	Psalms	Ps.	Psalmi; Pss	150	2461	Psalm numbers are Hebrew/Masoretic numbers throughout, not the Vulgate and Septuagint numbers the 1962 Missal cites. Psalm inscriptions are printed as \d headings without a verse number of their own and are therefore not in this text at all, so this edition's verse numbers run one or two lower than the Hebrew numbering the psalm concordance records; see the edition record.
22	Prov	22-proverbs.tsv	old	The Proverbs	The Book of Proverbs	Proverbs	Prov.	Prv	31	915	
23	Eccles	23-ecclesiastes.tsv	old	Ecclesiates or, The Preacher	Ecclesiastes	Ecclesiastes	Eccle.	Qoheleth; Eccl	12	222	TRAP: the Missal abbreviation “Eccle.” is Ecclesiastes; “Eccli.” is Ecclesiasticus, which is under token Ecclus.
24	Cant	24-canticle-of-canticles.tsv	old	The Song of Solomon	Solomon’s Canticle of Canticles	Song of Songs	Cant.	Canticle of Canticles; Song of Solomon; Sg	8	117	
25	Wis	25-wisdom.tsv	old	The Wisdom of Solomon	The Book of Wisdom	Wisdom	Sap.	Sapientia; Ws	19	436	Deuterocanonical, and in the Catholic canon. 436 verses here against the Douay-Rheims's 439.
26	Ecclus	26-ecclesiasticus.tsv	old	The Wisdom of Jesus the Son of Sirach, or Ecclesiasticus	Ecclesiasticus	Sirach	Eccli.	Ecclesiasticus; Sir	51	1359	Deuterocanonical, and in the Catholic canon. TRAP: “Eccli.” is this book, not Ecclesiastes. This edition follows the Greek, whose chapter and verse division differs from the Vulgate throughout and often by several verses: 1359 verses here against the Douay-Rheims's 1591. The postconciliar Lectionary numbers Sirach from the Greek and its citations therefore address this edition correctly; the 1962 Missal numbers it from the Vulgate and its citations do not. Both calendars cite 36:18 for the introit Da pacem Domine, and that verse stands here at 36:16; the verse-alias table carries the correspondence, which was established by reading the verse and not by an offset. This edition also omits verses the Vulgate carries, marking each with an editorial note that it is omitted by the best authorities: 1:5, 1:7, 1:21, 3:19, 10:21, 11:15-16, 13:14, 16:15-16, 17:5, 17:9, 17:16, 17:18, 17:21, 18:3, 19:18-19, 19:21, 20:3, 22:9-10, 24:18, 24:24, 25:12 and 26:19-27. Those numbers are absent from this text, not merged into a neighbour, and a citation of them refuses for want of the verse.
27	Is	27-isaias.tsv	old	The Book of Isaiah	The Prophecy of Isaias	Isaiah	Is.	Isaias; Isa	66	1292	
28	Jer	28-jeremias.tsv	old	The Book of Jeremiah	The Prophecy of Jeremias	Jeremiah	Jer.	Jeremias	52	1364	
29	Lam	29-lamentations.tsv	old	The Lamentations of Jeremiah	The Lamentations of Jeremias	Lamentations	Thren.	Threni; Lam	5	154	
30	Bar	30-baruch.tsv	old	Baruch	The Prophecy of Baruch	Baruch	Bar.	Bar	6	213	Deuterocanonical, and in the Catholic canon. Chapter 6 is the Epistle of Jeremias, as in the Vulgate, and the book has the same 213 verses as the Douay-Rheims but not the same division: this edition joins the Vulgate's 3:34 and 3:35 into one verse, so from 3:35 to the end its verse stands one behind the number a Vulgate citation means, chapter 3 ends at 37 where the Vulgate ends at 38, and the Vulgate's “Afterwards he was seen upon earth, and conversed with men” is this edition's 3:37. WARNING: a citation of a single verse in 3:35-3:37 resolves here to the verse after the one it means. It is deliberately not withheld in the verse-alias table, because the only reading either tracked calendar makes of this passage is the Easter Vigil's Baruch 3:9-15, 32-4:4, whose range covers the same words under either numbering and which withholding rows would break; the Vulgate's 3:38 cited alone falls past the end of the chapter and refuses.
31	Ezech	31-ezechiel.tsv	old	The Book of Ezekiel	The Prophecy of Ezechiel	Ezekiel	Ezech.	Ezechiel; Ez	48	1273	
32	Dan	32-daniel.tsv	old	The Book of Daniel with Greek Portions	The Prophecy of Daniel	Daniel	Dan.	Dn	14	530	The whole book translated with its Greek portions, printed under USFM code DAG. It carries the Catholic canon's three Greek additions inside Daniel as the Vulgate does — the Prayer of Azarias and the Canticle of the Three Children in chapter 3, Susanna as chapter 13 and Bel and the Dragon as chapter 14 — so it has the Vulgate's fourteen chapters. Its verse division inside those additions is the Greek one and not the Vulgate's: chapter 3 has 97 verses against the Vulgate's 100 and chapter 13 has 64 against 65, and the divergence is not a uniform offset. It was measured verse by verse. Chapter 3 agrees with the Vulgate from 3:24 to 3:51 and again from 3:79 to 3:97, and does not correspond between 3:52 and 3:78, where the Greek and the Vulgate order and divide the Canticle of the Three Children differently; that whole span is withheld in the verse-alias table. The Vulgate's 3:98-100 do not exist here, the Greek numbering them 4:1-3, and a citation of them refuses for want of the verses.
33	Os	33-osee.tsv	old	The Book of Hosea	The Prophecy of Osee	Hosea	Os.	Osee; Hos	14	197	
34	Joel	34-joel.tsv	old	The Book of Joel	The Prophecy of Joel	Joel	Joel	Jl	3	73	
35	Amos	35-amos.tsv	old	The Book of Amos	The Prophecy of Amos	Amos	Amos	Am	9	146	
36	Abd	36-abdias.tsv	old	The Book of Obadiah	The Prophecy of Abdias	Obadiah	Abd.	Abdias; Ob	1	21	
37	Jon	37-jonas.tsv	old	The Book of Jonah	The Prophecy of Jonas	Jonah	Jonae	Jonas; Jon	4	48	
38	Mich	38-micheas.tsv	old	The Book of Micah	The Prophecy of Micheas	Micah	Mich.	Micheas; Mic	7	105	
39	Nah	39-nahum.tsv	old	The Book of Nahum	The Prophecy of Nahum	Nahum	Nah.	Na	3	47	
40	Hab	40-habacuc.tsv	old	The Book of Habakkuk	The Prophecy of Habacuc	Habakkuk	Hab.	Habacuc	3	56	
41	Soph	41-sophonias.tsv	old	The Book of Zephaniah	The Prophecy of Sophonias	Zephaniah	Soph.	Sophonias; Zep	3	53	
42	Agg	42-aggeus.tsv	old	The Book of Haggai	The Prophecy of Aggeus	Haggai	Agg.	Aggeus; Hag	2	38	
43	Zach	43-zacharias.tsv	old	The Book of Zechariah	The Prophecy of Zacharias	Zechariah	Zach.	Zacharias; Zec	14	211	
44	Mal	44-malachias.tsv	old	The Book of Malachi	The Prophecy of Malachias	Malachi	Mal.	Malachias	4	55	
45	1Mach	45-1-machabees.tsv	old	The First Book of the Maccabees	The First Book of Machabees	1 Maccabees	1 Mach.	1 Machabees; 1 Mc	16	924	Deuterocanonical, and in the Catholic canon. 924 verses here against the Douay-Rheims's 929.
46	2Mach	46-2-machabees.tsv	old	The Second Book of the Maccabees	The Second Book of Machabees	2 Maccabees	2 Mach.	2 Machabees; 2 Mc	15	555	Deuterocanonical, and in the Catholic canon. 555 verses here against the Douay-Rheims's 558.
47	Matt	47-matthew.tsv	new	The Good News According to Matthew	The Holy Gospel of Jesus Christ according to St. Matthew	Matthew	Matt.	Mt	28	1071	
48	Mark	48-mark.tsv	new	The Good News According to Mark	The Holy Gospel of Jesus Christ according to St. Mark	Mark	Marc.	Mk	16	678	
49	Luke	49-luke.tsv	new	The Good News According to Luke	The Holy Gospel of Jesus Christ according to St. Luke	Luke	Luc.	Lk	24	1150	This edition omits Luke 17:36, which the Vulgate carries, marking it as omitted by the best authorities; a citation of it refuses for want of the verse.
50	John	50-john.tsv	new	The Good News According to John	The Holy Gospel of Jesus Christ according to St. John	John	Joan.	Jn	21	879	TRAP: do not confuse the token John with Jon (Jonas) or 1John/2John/3John.
51	Acts	51-acts.tsv	new	The Acts of the Apostles	The Acts of the Apostles	Acts	Act.	Acts of the Apostles	28	1004	This edition omits Acts 8:37, 15:34 and 24:7, which the Vulgate carries, marking each as omitted by the best authorities; a citation of them refuses for want of the verse.
52	Rom	52-romans.tsv	new	Paul’s Letter to the Romans	The Epistle of St. Paul the Apostle to the Romans	Romans	Rom.	Rm	16	433	The New Testament follows the Byzantine Majority Text, which places the doxology the Vulgate prints as Romans 16:25-27 at the end of chapter 14 instead. This edition's Romans 16 ends at verse 24, so a citation of 16:25-27 falls past the end of the chapter and refuses; the same words stand here at 14:24-26. No alias can carry it, because a locus past a chapter's last verse is refused before the alias table is consulted.
53	1Cor	53-1-corinthians.tsv	new	Paul’s First Letter to the Corinthians	The First Epistle of St. Paul to the Corinthians	1 Corinthians	1 Cor.	1 Co	16	437	
54	2Cor	54-2-corinthians.tsv	new	Paul’s Second Letter to the Corinthians	The Second Epistle of St. Paul to the Corinthians	2 Corinthians	2 Cor.	2 Co	13	257	
55	Gal	55-galatians.tsv	new	Paul’s Letter to the Galatians	The Epistle of St. Paul to the Galatians	Galatians	Gal.	Ga	6	149	
56	Eph	56-ephesians.tsv	new	Paul’s Letter to the Ephesians	The Epistle of St. Paul to the Ephesians	Ephesians	Ephes.	Eph	6	155	
57	Phil	57-philippians.tsv	new	Paul’s Letter to the Philippians	The Epistle of St. Paul to the Philippians	Philippians	Philipp.	Php	4	104	TRAP: the token Phil is Philippians; Philemon is Philem.
58	Col	58-colossians.tsv	new	Paul’s Letter to the Colossians	The Epistle of St. Paul to the Colossians	Colossians	Coloss.	Col	4	95	
59	1Thess	59-1-thessalonians.tsv	new	Paul’s First Letter to the Thessalonians	The First Epistle of St. Paul to the Thessalonians	1 Thessalonians	1 Thess.	1 Th	5	89	
60	2Thess	60-2-thessalonians.tsv	new	Paul’s Second Letter to the Thessalonians	The Second Epistle of St. Paul to the Thessalonians	2 Thessalonians	2 Thess.	2 Th	3	47	
61	1Tim	61-1-timothy.tsv	new	Paul’s First Letter to Timothy	The First Epistle of St. Paul to Timothy	1 Timothy	1 Tim.	1 Tm	6	113	
62	2Tim	62-2-timothy.tsv	new	Paul’s Second Letter to Timothy	The Second Epistle of St. Paul to Timothy	2 Timothy	2 Tim.	2 Tm	4	83	
63	Tit	63-titus.tsv	new	Paul’s Letter to Titus	The Epistle of St. Paul to Titus	Titus	Tit.	Tt	3	46	
64	Philem	64-philemon.tsv	new	Paul’s Letter to Philemon	The Epistle of St. Paul to Philemon	Philemon	Philem.	Phm	1	25	
65	Heb	65-hebrews.tsv	new	The Letter to the Hebrews	The Epistle of St. Paul to the Hebrews	Hebrews	Hebr.	Heb	13	303	
66	James	66-james.tsv	new	The Letter from James	The Catholic Epistle of St. James the Apostle	James	Jac.	Jas	5	108	
67	1Pet	67-1-peter.tsv	new	Peter’s First Letter	The First Epistle of St. Peter the Apostle	1 Peter	1 Pet.	1 P	5	105	
68	2Pet	68-2-peter.tsv	new	Peter’s Second Letter	The Second Epistle of St. Peter the Apostle	2 Peter	2 Pet.	2 P	3	61	
69	1John	69-1-john.tsv	new	John’s First Letter	The First Epistle of St. John the Apostle	1 John	1 Joan.	1 Jn	5	105	
70	2John	70-2-john.tsv	new	John’s Second Letter	The Second Epistle of St. John the Apostle	2 John	2 Joan.	2 Jn	1	13	
71	3John	71-3-john.tsv	new	John’s Third Letter	The Third Epistle of St. John the Apostle	3 John	3 Joan.	3 Jn	1	14	
72	Jude	72-jude.tsv	new	The Letter from Jude	The Catholic Epistle of St. Jude the Apostle	Jude	Judae	Jud	1	25	TRAP: Jude is the epistle; Judith is Jdt and Judges is Judg.
73	Apoc	73-apocalypse.tsv	new	The Revelation to John	The Apocalypse of St. John the Apostle	Revelation	Apoc.	Apocalypse; Rv	22	404	The Douay-Rheims calls this book the Apocalypse; this edition prints it as Revelation.
