locus	vendored_reading	american_edition_reading
Gen.20.3	And God came to Abimelech in a dream by night, and he said to him: Lo thou shalt die for the woman that thou hast taken: for she hath a husband.	And God came to Abimelech in a dream by night, and he said to him: Lo thou shalt die for the woman thou hast taken: for she hath a husband.
Gen.21.27	Then Abraham took sheep and oxen, and gave them to Abimelech: and both of them made a league.	And Abraham took sheep and oxen and gave them to Abimelech: and both of them made a league.
Gen.21.28	And Abraham set apart seven ewelambs of the flock.	And Abraham set apart seven ewe lambs of the flock.
Gen.21.29	And Abimelech said to him: What mean these seven ewelambs which thou hast set apart?	And Abimelech said to him: What mean these seven ewe lambs which thou hast set apart?
Gen.21.30	But he said: Thou shalt take seven ewelambs at my hand: that they may be a testimony for me, that I dug this well.	But he said: Thou shalt take seven ewe lambs at my hand: that they may be a testimony for me, that I dug this well.
Gen.23.13	And he spoke to Ephron, in the presence of the people: I beseech thee to hear me: I will give money for the field; take it, and so will I bury my dead in it.	And he spoke to Ephron, in the presence of the people: I beseech thee to hear me: I will give money for the field: take it, and so I will bury my dead in it.
Gen.23.19	And so Abraham buried Sara, his wife, in the double cave of the field, that looked towards Mambre, this is Hebron in the land of Chanaan.	And so Abraham buried Sara his wife, in a double cave of the field, that looked towards Mambre, this is Hebron in the land of Chanaan.
Gen.24.9	The servant, therefore, put his hand under the thigh of Abraham, his lord, and swore to him upon his word.	The servant therefore put his hand under the thigh of Abraham his lord, and swore to him upon this word.
Gen.24.32	And he brought him into his lodging; and he unharnessed the camels, and gave straw and hay, and water to wash his feet, and the feet of the men that were come with him.	And he brought him in into his lodging: and he unharnessed the camels and gave straw and hay, and water to wash his feet, and the feet of the men that were come with him.
Gen.25.2	Who bore him Zamram, and Jecsan, and Madan, and Madian, and Jesboc, and Sue.	Who bore him Zamran, and Jecsan, and Madan, and Madian, and Jesboc, and Sue.
Gen.25.3	Jecsan also begot Saba, and Dadan. The children of Dadan were Assurim, and Latusim, and Loomim.	Jecsan also begot Saba and Dadan. The children of Dadan were Assurim, and Latusim, and Loomin.
Gen.25.27	And when they were grown up, Esau became a skilful hunter, and a husbandman: but Jacob, a plain man, dwelt in tents.	And when they were grown up, Esau became a skillful hunter, and a husbandman, but Jacob a plain man dwelt in tents.
Gen.25.34	And so taking bread and the pottage of lentils, he ate, and drank, and went on his way; making little account of having sold his first birthright.	And so taking bread and the pottage of lentils, he ate, and drank, and went his way; making little account of having sold his first birthright.
Gen.26.3	And sojourn in it, and I will be with thee, and will bless thee: for to thee and to thy seed I will give all these countries, to fulfil the oath which I swore to Abraham thy father.	And sojourn in it, and I will be with thee, and will bless thee: for to thee and to thy seed I will give all these countries, to fulfill the oath which I swore to Abraham thy father.
Gen.26.18	And he digged again other wells, which the servants of his father, Abraham, had digged, and which, after his death, the Philistines had of old stopped up: and he called them by the same names, by which his father before had called them.	And he digged again other wells, which the servants of his father Abraham had digged, and which, after his death, the Palestines had of old stopped up: and he called them by the same names by which his father before had called them.
Gen.27.3	Take thy arms, thy quiver, and bow, and go abroad; and when thou hast taken something by hunting,	Take thy arms, thy quiver, and bow, and go abroad: and when thou hast taken some thing by hunting,
Gen.27.4	Make me a savoury meat thereof, as thou knowest I like, and bring it that I may eat: and my soul may bless thee, before I die.	Make me savoury meat thereof, as thou knowest I like, and bring it, that I may eat: and my soul may bless thee before I die.
Gen.27.5	And when Rebecca had heard this, and he was gone into the field to fulfil his father's commandment,	And when Rebecca had heard this, and he was gone into the field to fulfill his father's commandment,
Gen.27.12	If my father should feel me, and perceive it, I fear lest he will think I would have mocked him, and I shall bring upon me a curse instead of a blessing.	If my father shall feel me, and perceive it, I fear lest he will think I would have mocked him, and I shall bring upon me a curse instead of a blessing.
Gen.27.21	And Isaac said: Come hither, that I may feel thee, my son, and may prove whether thou be my son Esau, or no.	And Isaac said: Come hither, that I may feel thee, my son, and may prove whether thou be my son Esau, or not.
Gen.27.28	God give thee of the dew of heaven, and of the fatness of the earth, abundance of corn and wine.	God give thee the dew of heaven, and of the fatness of the earth, abundance of corn and wine.
Gen.27.34	Esau having heard his father's words, roared out with a great cry; and, being in a consternation, said: Bless me also, my father.	Esau having heard his father's words, roared out with a great cry: and being in a great consternation, said: Bless me also, my father.
Gen.27.36	But he said again: Rightly is his name called Jacob; for he hath supplanted me lo this second time: My birthright he took away before, and now this second time he hath stolen away my blessing. And again he said to his father: Hast thou not reserved me also a blessing?	But he said again: Rightly is his name called Jacob; for he hath supplanted me lo this second time: my first birthright he took away before, and now this second time he hath stolen away my blessing. And again he said to his father: Hast thou not reserved me also a blessing?
Gen.27.41	Esau therefore always hated Jacob, for the blessing wherewith his father had blessed him; and he said in his heart: The days will come of the mourning for my father, and I will kill my brother Jacob.	Esau therefore always hated Jacob for the blessing wherewith his father had blessed him: and he said in his heart: The days will come of the mourning of my father, and I will kill my brother Jacob.
Gen.28.4	And give the blessings of Araham to thee, and to thy seed after thee: that thou mayst possess the land of thy sojournment, which he promised to thy grandfather.	And give the blessings of Abraham to thee, and to thy seed after thee: that thou mayst possess the land of thy sojournment, which he promised to thy grandfather.
Gen.29.10	And when Jacob saw her, and knew her to be his cousin german, and that they were the sheep of Laban, his uncle: he removed the stone wherewith the well was closed.	And when Jacob saw her, and knew her to be his cousin-german, and that they were the sheep of Laban, his uncle: he removed the stone wherewith the well was closed.
Gen.29.17	But Lia was blear-eyed: Rachel was well favoured, and of a beautiful countenance.	But Lia was blear eyed: Rachel was well favoured, and of a beautiful countenance.
Gen.29.25	And he said to his father-in-law: What is it that thou didst mean to do? did not I serve thee for Rachel? why hast thou deceived me?	And he said to his father in law: What is it that thou didst mean to do? did not I serve thee for Rachel? why hast thou deceived me?
Gen.30.8	For whom Rachel said: God hath compared me with my sister, and I have prevailed: and she called him Nephthali.	For whom Rachel said: God hath compared me with my sister, and I have prevailed: and she called him Nephtali.
Gen.30.9	Lia perceiving that she had left of bearing, gave Zelpha, her handmaid, to her husband.	Lia, perceiving that she had left off bearing, gave Zelpha her handmaid to her husband.
Gen.30.17	And God heard her prayers; and she conceived: and bore a fifth son:	And God heard her prayers: and she conceived and bore the fifth son,
Gen.30.25	And when Joseph was born, Jacob said to his father-in-law: Send me away, that I may return into my country, and to my land.	And when Joseph was born, Jacob said to his father in law: Send me away that I may return into my country, and to my land.
Gen.30.35	And he separated the same day the she-goats, and the sheep, and the he-goats, and the rams of divers colours, and spotted; and all the flock of one colour, that is, of white and black fleece, he delivered into the hands of his sons.	And he separated the same day the she goats, and the sheep, and the he goats, and the rams of divers colours, and spotted: and all the flock of one colour, that is, of white and black fleece, he delivered into the hands of his sons.
Gen.30.36	And he set the space of three days journey betwixt himself and his son-in-law, who fed the rest of his flock.	And he set the space of three days' journey betwixt himself and his son in law, who fed the rest of his flock.
Gen.30.37	And Jacob took green rods of poplar, and of almond, and of plane-trees, and pilled them in part: so when the bark was taken off, in the parts that were pilled, there appeared whiteness: but the parts that were whole, remained green: and by this means the colour was divers.	And Jacob took green rods of poplar, and of almond, and of plane trees, and pilled them in part: so when the bark was taken off, in the parts that were pilled, there appeared whiteness: but the parts that were whole remained green: and by this means the colour was divers.
Gen.30.42	But when the later coming was, and the last conceiving, he did not put them. And those that were lateward, became Laban's; and they of the first time, Jacob's.	But when the latter coming was, and the last conceiving, he did not put them. And those that were lateward, became Laban's: and they of the first time, Jacob's.
Gen.30.43	And the man was enriched exceedingly, and he had many flocks, maid-servants and men-servants, camels and asses.	And the man was enriched exceedingly, and he had many flocks, maid servants and men servants, camels and asses.
Gen.31.1	But after that he had heard the words of the sons of Laban, saying: Jacob hath taken away all that was our father's, and being enriched by his substance is become great.	But after that he heard the words of the sons of Laban, saying: Jacob hath taken away all that was our father's, and being enriched by his substance is become great:
Gen.31.7	Yea your father hath also overreached me, and hath changed my wages ten times: and yet God hath not suffered him to hurt me.	Yea, your father also hath overreached me, and hath changed my wages ten times: and yet God hath not suffered him to hurt me.
Gen.31.8	If at any time, he said: The speckled shall be thy wages: all the sheep brought forth speckled: but when he said on the contrary: Thou shalt take all the white one for thy wages: all the flocks brought forth white ones.	If at any time he said: The speckled shall be thy wages: all the sheep brought forth speckled: but when he said on the contrary: Thou shalt take all the white ones for thy wages: all the flocks brought forth white ones.
Gen.31.10	For after the time came of the ewes conceiving, I lifted up my eyes, and saw in my sleep, that the males which leaped upon the females were of divers colours, and spotted, and speckled.	For after that time came of the ewes conceiving, I lifted up my eyes, and saw in my sleep that the males which leaped upon the females were of divers colours, and spotted, and speckled.
Gen.31.20	And Jacob would not confess to his father-in-law that he was flying away.	And Jacob would not confess to his father in law that he was flying away.
Gen.32.14	Two hundred she-goats, twenty he-goats, two hundred ewes, and twenty rams,	Two hundred she goats, twenty he goats, two hundred ewes, and twenty rams,
Gen.32.15	Thirty milch camels with their colts, forty kine, and twenty bulls, twenty she-asses, and ten of their foals.	Thirty milch camels with their colts, forty kine, and twenty bulls, twenty she asses, and ten of their foals.
Gen.34.21	These men are peaceable, and are willing to dwell with us: let them trade in the land, and till it, which being large and wide wanteth men to till it: we shall take their daughters for wives, and we will give them ours.	These men are peaceable and willing to dwell with us: let them trade in the land, and till it, which being large and wide wanteth men to till it: we shall take their daughters for wives, and we will give them ours.
Gen.34.28	And they took their sheep, and their herds, and their asses, wasting all they had in their houses and in their fields.	And they took their sheep and their herds and their asses, wasting all they had in their houses and in the fields.
Gen.35.1	In the mean time God said to Jacob: Arise and go up to Bethel, and dwell there, and make there an altar to God, who appeared to thee when thou didst flee from Esau, thy brother.	In the meantime God said to Jacob: Arise, and go up to Bethel, and dwell there, and make there an altar to God, who appeared to thee when thou didst flee from Esau thy brother.
Gen.35.3	Arise, and let us go up to Bethel, that we may make there an altar to God; who heard me in the day of my affliction, and accompained me in my journey.	Arise, and let us go up to Bethel, that we may make there an altar to God: who heard me in the day of my affliction, and accompanied me in my journey.
Gen.35.14	But he set up a monument of stone, in the place where God had spoken to him: pouring drink-offerings upon it, and pouring oil thereon:	But he set up a monument of stone, in the place where God had spoken to him: pouring drink offerings upon it, and pouring oil thereon:
Gen.35.16	And going forth from thence, he came in the spring time to the land which leadeth to Ephrata: wherein when Rachel was in travail,	And going forth from thence, he came in the springtime to the land which leadeth to Ephrata: wherein when Rachel was in travail,
Gen.35.25	The sons of Bala, Rachel's handmaid: Dan and Nephthali.	The sons of Bala, Rachel's handmaid: Dan and Nephtali.
Gen.36.23	And these the sons of Sobal: Alvan, and Manahat, and Ebal, and Sepho, and Onam.	And these the sons of Sobal: Alvan and Manahat, and Ebal, and Sepho, and Oman.
Gen.36.28	And Dison had sons: Hus and Aram.	And Disan had sons: Hus, and Aram.
Gen.37.12	And when his brethren abode in Sechem, feeding their father's flocks,	And when his brethren abode in Sichem feeding their father's flocks,
Gen.37.24	And cast him into an old pit where there was not water.	And cast him into an old pit, where there was no water.
Gen.38.6	And Juda took a wife for Her, his first born, whose name was Thamar.	And Juda took a wife for Her his firstborn, whose name was Thamar.
Gen.38.7	And Her, the first born of Juda, was wicked in the sight of the Lord: and was slain by him.	And Her, the firstborn of Juda, was wicked in the sight of the Lord: and was slain by him.
Gen.38.9	He knowing that the children should not be his, when he went in to his brother's wife, he spilled his seed upon the ground, lest children should be born in his brother's name.	He knowing that the children should not be his, when he went in to his brother's wife, spilled his seed upon the ground, lest children should be born in his brother's name.
Gen.38.11	Wherefore Juda said to Thamar his daughter-in-law: Remain a widow in thy father's house, till Sela my son grow up: for he was afraid lest he also might die, as his brethren did. She went her way, and dwelt in her father's house.	Wherefore Juda said to Thamar his daughter in law: Remain a widow in thy father's house, till Sela my son grow up: for he was afraid lest he also might die, as his brethren did. She went her way and dwelt in her father's house.
Gen.38.13	And it was told Thamar that her father-in-law was come up to Thamnas to shear his sheep.	And it was told Thamar that her father in law was come up to Thamnas to shear his sheep.
Gen.38.16	And going to her, he said: Suffer me to lie with thee: for he knew her not to be his daughter-in-law. And she answered: What wilt thou give me to enjoy my company?	And going to her, he said: Suffer me to lie with thee: for he knew her not to be his daughter in law. And she answered: What wilt thou give me to enjoy my company?
Gen.38.17	He said: I will send thee a kid out of the flock. And when she said again: I will suffer what thou wilt, if thou give me a pledge, till thou send what thou promisest.	He said: I will send thee a kid out of the flock. And when she said again: I will suffer what thou wilt, if thou give a pledge, till thou send what thou promisest,
Gen.38.24	And behold, after three months, they told Juda, saying: Thamar, thy daughter-in-law, hath played the harlot, and she appeareth to have a big belly. And Juda said: Bring her out that she may be burnt.	And behold after three months they told Juda, saying: Thamar, thy daughter in law hath played the harlot, and she appeareth to have a big belly. And Juda said: Bring her out that she may be burnt.
Gen.38.30	Afterwards his brother came out, on whose hand was the scarlet thread: and she called his name Zara.	Afterwards his brother came out, on whose hand was the scarlet thread: and she called him Zara.
Gen.40.6	And when Joseph was come into them in the morning, and saw them sad,	And when Joseph was come in to them in the morning, and saw them sad,
Gen.40.13	After which Pharao will remember thy service, and will restore thee to thy former place: and thou shalt present him the cup according to thy office, as before thou was wont to do.	After which Pharao will remember thy service, and will restore thee to thy former place: and thou shalt present him the cup according to thy office, as before thou wast wont to do.
Gen.41.3	Other seven also came up out of the river, ill-favoured, and lean fleshed: and they fed on the very bank of the river, in green places:	Other seven also came up out of the river, ill favoured, and leanfleshed: and they fed on the very bank of the river, in green places:
Gen.41.19	And behold, there followed these, other seven kine, so very ill-favoured and lean, that I never saw the like in the land of Egypt:	And behold, there followed these, other seven kine, so very ill favoured and lean, that I never saw the like in the land of Egypt:
Gen.41.21	And yet gave no mark of their being full: but were as lean and ill-favoured as before. I awoke, and then fell asleep again,	And yet gave no mark of their being full: but were as lean and ill favoured as before. I awoke, and then fell asleep again,
Gen.41.22	And dreamed a dream: Seven ears of corn grew up upon one stalk, full and very fair.	And dreamed a dream: Seven ears of corn grew upon one stalk, full and very fair.
Gen.41.23	Other seven also thin and blasted, sprung of the stalk:	Other seven also thin and blasted, sprung of the stock:
Gen.41.53	Now when the seven years of plenty that had been in Egypt were passed:	Now when the seven years of the plenty that had been in Egypt were past:
Gen.42.38	But he said: My son shall not go down with you: his brother is dead, and he is left alone: if any mischief befall him in the land to which you go, you will bring down my grey hairs with sorrow to hell.	But he said: My son shall not go down with you: his brother is dead, and he is left alone: if any mischief befall him in the land to which you go, you will bring down my gray hairs with sorrow to hell.
Gen.43.21	And when we had bought, and were come to the inn, we opened our sacks, and found our money in the mouths of the sacks: which we have now brought again in the same weight.	And when we had bought, and come to the inn, we opened our sacks, and found our money in the mouths of the sacks: which we have now brought again in the same weight.
Gen.43.26	Then Joseph came in to his house, and they offered him the presents, holding them in their hands; and they bowed down with their face to the ground.	Then Joseph came into his house, and they offered him the presents holding them in their hands, and they bowed down with their face to the ground.
Gen.44.14	And Juda at the head of his brethren went in to Joseph (for he was not yet gone out of the place) and they all together fell down before him on the ground.	And Juda at the head of his brethren went in to Joseph, (for he was not yet gone out of the place), and they altogether fell down before him on the ground.
Gen.44.29	If you take this also, and any thing befall him in the way, you will bring down my grey hairs with sorrow unto hell.	If you take this also, and any thing befall him in the way you will bring down my gray hairs with sorrow unto hell.
Gen.44.31	And he shall see that he is not with us, he will die, and thy servants shall bring down his grey hairs with sorrow unto hell.	And he shall see that he is not with us, he will die, and thy servants shall bring down his gray hairs with sorrow unto hell.
Gen.45.16	And it was heard, and the fame was spread abroad in the king's court: The brethren of Joseph are come; and Pharao with all his family was glad.	And it was heard, and the fame was abroad in the king's court: The brethren of Joseph are come: and Pharao with all his family was glad.
Gen.45.23	Sending to his father as much money and raiment; adding besides, ten he-asses, to carry off all the riches of Egypt, and as many she-asses, carrying wheat and bread for the journey.	Sending to his father as much money and raiment, adding besides ten he asses to carry off all the riches of Egypt, and as many she asses, carrying wheat and bread for the journey.
Gen.46.16	The sons of Gad: Sephion and Haggi, and Suni and Esebon, and Heri and Arodi, and Areli.	The sons of Gad: Sephian and Haggi and Suni and Esebon and Heri and Arodi and Areli.
Gen.46.21	The sons of Benjamin: Bela and Bechor, and Asbel and Gera, and Naaman and Echi, and Ross and Mophim, and Ophim and Ared.	The sons of Benjamin: Bela and Bechor and Asbel and Gera and Naaman and Echi and Ros and Mophim and Ophim and Ared.
Gen.46.24	The sons of Nephthali: Jaziel and Guni, and Jeser and Sallem.	The sons of Nephtali: Jaziel and Guni and Jeser and Sallem.
Gen.47.6	The land of Egypt is before thee: and make them dwell in the best place, and give them the land of Gessen. And if thou knowest that there are industrious men among them, make them rulers over my cattle.	The land of Egypt is before thee: make them dwell in the best place, and give them the land of Gessen. And if thou knowest that there are industrious men among them, make them rulers over my cattle.
Gen.47.14	Out of which he gathered up all the money for the corn which they bought, and brought it in to the king's treasure.	Out of which he gathered up all the money for the corn which they bought, and brought it into the king's treasure.
Gen.47.26	From that time unto this day, in the whole land of Egypt, the fifth part is paid to the kings, and it is become as a law, except the land of the priests, which was free from this covenant.	From that time unto this day, in the whole land of Egypt, the fifth part is paid to the king, and it is become as a law, except the land of the priests, which was free from this covenant.
Gen.48.4	And said: I will cause thee to increase and multiply, and I will make of thee a multitude of people: and I will give this land to thee, and to thy seed after thee for an everlasting possession.	And he said: I will cause thee to increase and multiply, and I will make of thee a multitude of people: and I will give this land to thee, and to thy seed after thee for an everlasting possession.
Gen.48.7	For, when I came out of Mesopotamia, Rachel died from me in the land of Chanaan in the very journey, and it was spring time: and I was going to Ephrata, and I buried her near the way of Ephrata, which by another name is called Bethlehem.	For, when I came out of Mesopotamia, Rachel died from me in the land of Chanaan in the very journey, and it was springtime: and I was going to Ephrata, and I buried her near the way of Ephrata, which by another name is called Bethlehem.
Gen.48.19	But he refusing, said: I know, my son, I know: and this also shall become a people, and shall be multiplied; but his younger brother shall be greater than he; and his seed shall grow into nations.	But he refusing, said: I know, my son, I know: and this also shall become peoples, and shall be multiplied: but this younger brother shall be greater than he: and his seed shall grow into nations.
Gen.49.8	Juda, thee shall thy brethren praise: thy hand shall be on the necks of thy enemies; the sons of thy father shall bow down to thee.	Juda, thee shall thy brethren praise: thy hands shall be on the necks of thy enemies: the sons of thy father shall bow down to thee.
Gen.49.13	Zabulon shall dwell on the seashore, and in the road of ships, reaching as far as Sidon.	Zabulon shall dwell on the sea shore, and in the road of ships, reaching as far as Sidon.
Gen.49.21	Nephthali, a hart let loose, and giving words of beauty.	Nephtali, a hart let loose, and giving words of beauty.
Gen.50.10	And they came to the threshing floor of Atad, which is situated beyond the Jordan: where celebrating the exequies with a great and vehement lamentation, they spent full seven days.	And they came to the threshingfloor of Atad, which is situated beyond the Jordan: where celebrating the exequies with a great and vehement lamentation, they spent full seven days.
Gen.50.13	And carrying him into the land of Chanaan, they buried him in the double cave, which Abraham had bought together with the field for a possession of a burying place, of Ephron, the Hethite, over against Mambre.	And carrying him into the land of Chanaan, they buried him in the double cave which Abraham had bought together with the field for a possession of a buryingplace, of Ephron the Hethite over against Mambre.
Gen.50.17	That we should say thus much to thee from him: I beseech thee to forget the wickedness of thy brethren, and the sin and malice they practised against thee: we also pray thee, to forgive the servants of the God of thy father this wickedness. And when Joseph heard this, he wept.	That we should say thus much to thee from him: I beseech thee to forget the wickedness of thy brethren, and the sin and malice they practiced against thee: we also pray thee, to forgive the servants of the God of thy father this wickedness. And when Joseph heard this, he wept.
Gen.50.22	And he dwelt in Egypt with all his father's house; and lived a hundred and ten years. And he saw the children of Ephraim to the third generation. The children also of Machir, the sons of Manasses, were born on Joseph's knees.	And he dwelt in Egypt with all his father's house: and lived a hundred and ten years. And he saw the children of Ephraim to the third generation. The children also of Machir the son of Manasses were born on Joseph's knees.
Ex.1.4	Dan, and Nephthali, Gad and Aser.	Dan, and Nephtali, Gad and Aser.
Ex.1.18	And the king called for them and said: What is it that you meant to do, that you would save the men children?	And the king called for them and said: What is that you meant to do, that you would save the men children?
Ex.1.19	They answered: The Hebrew women are not as the Egyptian women: for they themselves are skilful in the office of a midwife; and they are delivered before we come to them.	They answered: The Hebrew women are not as the Egyptian women: for they themselves are skillful in the office of a midwife; and they are delivered before we come to them.
Ex.3.13	Moses said to God: Lo, I shall go to the children of Israel, and say to them: The God of your fathers hath sent me to you. If they shall say to me: What is his name? What shall I say to them?	Moses said to God: Lo, I shall go to the children of Israel, and say to them: The God of your fathers hath sent me to you. If they should say to me: What is his name? what shall I say to them?
Ex.3.16	Go and gather together the ancients of Israel, and thou shalt say to them: The Lord God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath appeared to me, saying: Visiting I have visited you; and I have seen all that hath befallen you in Egypt.	Go, gather together the ancients of Israel, and thou shalt say to them: The Lord God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath appeared to me, saying: Visiting I have visited you: and I have seen all that hath befallen you in Egypt.
Ex.3.17	And I have said the word to bring you forth out of the affliction of Egypt, into the land of the Chanaanite, and Hethite, and Amorrhite, and Pherezite, and Hevite, and Jebusite, to a land that floweth with milk and honey.	And I have said the word to bring you forth out of the affliction of Egypt, into the land of the Chanaanite, the Hethite, and the Amorrhite, and Pherezite, and Hevite, and Jebusite, to a land that floweth with milk and honey.
Ex.4.25	Immediately Sephora took a very sharp stone, and circumcised the foreskin of her son, and touched his feet, and said: A bloody spouse art thou to me.	Immediately Sephora took a very sharp stone, and circumcised the fore skin of her son, and touched his feet and said: A bloody spouse art thou to me.
Ex.5.5	And Pharao said: The people of the land are numerous; you see that the multitude is increased; how much more if you give them rest from their works?	And Pharao said: The people of the land is numerous: you see that the multitude is increased: how much more if you give them rest from their works?
Ex.5.9	Let them be oppressed with works, and let them fulfil them; that they may not regard lying words.	Let them be oppressed, with works, and let them fulfill them: that they may not regard lying words.
Ex.5.13	And the overseers of the works pressed them, saying: Fulfil your work every day, as before ye were wont to do, when straw was given you.	And the overseers of the works pressed them, saying: Fulfill your work every day as before you were wont to do when straw was given you.
Ex.5.14	And they that were over the works of the children of Israel, were scourged by Pharao's taskmasters, saying: Why have you not made up the task of bricks, both yesterday and to day, as before?	And they that were over the works of the children of Israel were scourged by Pharao's taskmasters, saying: Why have you not made up the task of bricks both yesterday and today as before?
Ex.6.6	Therefore say to the children of Israel: I am the Lord who will bring you out from the work-prison of the Egyptians, and will deliver you from bondage: and redeem you with a high arm, and great judgments.	Therefore say to the children of Israel: I am the Lord who will bring you out from the work prison of the Egyptians, and will deliver you from bondage: and redeem you with a high arm, and great judgments.
Ex.6.7	And I will take you to myself for my people, I will be your God: and you shall know that I am the Lord your God, who brought you out from the work-prison of the Egyptians:	And I will take you to myself for my people, I will be your God: and you shall know that I am the Lord your God who brought you out from the work prison of the Egyptians.
