ordinal	token	file	testament	edition_title	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
12	4Kings	12-2-kings.tsv	old	THE SECOND BOOK OF THE KINGS.	The Fourth Book of Kings	2 Kings	4 Reg.	4 Kings; 2 Kings (modern)	25	719	TRAP: Douay 4 Kings is this edition's 2 Kings.
13	1Par	13-1-chronicles.tsv	old	THE FIRST BOOK OF THE CHRONICLES.	The First Book of Paralipomenon	1 Chronicles	1 Paral.	1 Paralipomenon; 1 Par	29	942	
14	2Par	14-2-chronicles.tsv	old	THE SECOND BOOK OF THE CHRONICLES	The Second Book of Paralipomenon	2 Chronicles	2 Paral.	2 Paralipomenon; 2 Par	36	822	
15	1Esd	15-ezra.tsv	old	EZRA.	The First Book of Esdras	Ezra	1 Esdr.	Esdras (Douay 1)	10	280	TRAP: the Douay-Rheims calls this book 1 Esdras. In this edition the name “1 Esdras” belongs to the apocryphal book under token 1Esdras, so the Douay name is deliberately not registered as an alias here.
16	2Esd	16-nehemiah.tsv	old	THE BOOK OF NEHEMIAH.	The Book of Nehemias, which is called the Second of Esdras	Nehemiah	2 Esdr.	Nehemias; Neh	13	406	TRAP: the Douay-Rheims calls this book 2 Esdras. In this edition the name “2 Esdras” belongs to the apocryphal book under token 2Esdras, so the Douay name is deliberately not registered as an alias here.
17	Esth	17-esther.tsv	old	THE BOOK OF ESTHER.	The Book of Esther	Esther	Esth.	Est	10	167	This is the Hebrew Esther only, ten chapters ending at 10:3. The Greek additions the Vulgate and the Douay-Rheims print inside Esther at 10:4-16:24 stand in this edition as a separate book under token EsthGr, and that book keeps the Vulgate's own chapter and verse numbers, so a Vulgate citation of Esther 13 or 14 addresses it and not this book.
18	Job	18-job.tsv	old	THE BOOK OF JOB.	The Book of Job	Job	Job	Jb	42	1070	
19	Ps	19-psalms.tsv	old	THE PSALMS.	The Book of Psalms	Psalms	Ps.	Psalmi; Pss; Psalm	150	2461	Psalm numbers are Hebrew/Masoretic numbers throughout, not the Vulgate and Septuagint numbers the 1962 Missal cites. Psalm inscriptions are printed as unnumbered headings, so this edition's verse numbers run one or two lower than the Hebrew numbering the psalm concordance records; see the edition record.
20	Prov	20-proverbs.tsv	old	THE PROVERBS.	The Book of Proverbs	Proverbs	Prov.	Prv	31	915	
21	Eccles	21-ecclesiastes.tsv	old	ECCLESIASTES; OR, THE PREACHER.	Ecclesiastes	Ecclesiastes	Eccle.	Qoheleth; Eccl	12	222	TRAP: the Missal abbreviation “Eccle.” is Ecclesiastes; “Eccli.” is Ecclesiasticus, which is under token Ecclus.
22	Cant	22-song-of-solomon.tsv	old	THE SONG OF SONGS.	Solomon’s Canticle of Canticles	Song of Songs	Cant.	Canticle of Canticles; Song of Solomon; Sg	8	117	
23	Is	23-isaiah.tsv	old	THE BOOK OF THE PROPHET ISAIAH.	The Prophecy of Isaias	Isaiah	Is.	Isaias; Isa	66	1292	
24	Jer	24-jeremiah.tsv	old	THE BOOK OF THE PROPHET JEREMIAH.	The Prophecy of Jeremias	Jeremiah	Jer.	Jeremias	52	1364	
25	Lam	25-lamentations.tsv	old	THE LAMENTATIONS OF JEREMIAH.	The Lamentations of Jeremias	Lamentations	Thren.	Threni; Lam	5	154	
26	Ezech	26-ezekiel.tsv	old	THE BOOK OF THE PROPHET EZEKIEL.	The Prophecy of Ezechiel	Ezekiel	Ezech.	Ezechiel; Ez	48	1273	
27	Dan	27-daniel.tsv	old	THE BOOK OF DANIEL.	The Prophecy of Daniel	Daniel	Dan.	Dn	12	357	This is the Hebrew and Aramaic Daniel only, twelve chapters, and chapter 3 ends at verse 30. The three Greek additions the Vulgate and the Douay-Rheims print inside Daniel stand in this edition as three separate books: the Song of the Three Holy Children, at Vulgate Daniel 3:24-90, under token SgThree; Susanna, Vulgate Daniel 13, under token Sus; and Bel and the Dragon, Vulgate Daniel 14, under token Bel.
28	Os	28-hosea.tsv	old	HOSEA.	The Prophecy of Osee	Hosea	Os.	Osee; Hos	14	197	
29	Joel	29-joel.tsv	old	JOEL.	The Prophecy of Joel	Joel	Joel	Jl	3	73	
30	Amos	30-amos.tsv	old	AMOS.	The Prophecy of Amos	Amos	Amos	Am	9	146	
31	Abd	31-obadiah.tsv	old	OBADIAH.	The Prophecy of Abdias	Obadiah	Abd.	Abdias; Ob	1	21	
32	Jon	32-jonah.tsv	old	JONAH.	The Prophecy of Jonas	Jonah	Jonae	Jonas; Jon	4	48	
33	Mich	33-micah.tsv	old	MICAH.	The Prophecy of Micheas	Micah	Mich.	Micheas; Mic	7	105	
34	Nah	34-nahum.tsv	old	NAHUM.	The Prophecy of Nahum	Nahum	Nah.	Na	3	47	
35	Hab	35-habakkuk.tsv	old	HABAKKUK.	The Prophecy of Habacuc	Habakkuk	Hab.	Habacuc	3	56	
36	Soph	36-zephaniah.tsv	old	ZEPHANIAH.	The Prophecy of Sophonias	Zephaniah	Soph.	Sophonias; Zep	3	53	
37	Agg	37-haggai.tsv	old	HAGGAI.	The Prophecy of Aggeus	Haggai	Agg.	Aggeus; Hag	2	38	
38	Zach	38-zechariah.tsv	old	ZECHARIAH.	The Prophecy of Zacharias	Zechariah	Zach.	Zacharias; Zec	14	211	
39	Mal	39-malachi.tsv	old	MALACHI.	The Prophecy of Malachias	Malachi	Mal.	Malachias	4	55	
40	1Esdras	40-1-esdras.tsv	apocrypha	THE FIRST BOOK OF ESDRAS.		1 Esdras		3 Esdras; Esdras A; Greek Ezra	9	448	NOT in the Catholic canon. The Vulgate prints this book in an appendix after the New Testament as 3 Esdras, outside the canon fixed at Trent. It is a Greek reworking of Paralipomenon, Esdras and Nehemias, not the Douay-Rheims 1 Esdras, which is Ezra and stands under token 1Esd.
41	2Esdras	41-2-esdras.tsv	apocrypha	THE SECOND BOOK OF ESDRAS.		2 Esdras		4 Esdras; 4 Esd; Esdras IV; Apocalypse of Ezra; 2 Esdras (Apocrypha)	16	944	NOT in the Catholic canon. The Vulgate prints this book in an appendix after the New Testament as 4 Esdras, outside the canon fixed at Trent, and the postconciliar Lectionary cites it by that name, so the name is registered as an alias here. This edition restores the long passage at 7:36-105 that the King James Apocrypha lacks, so it has 944 verses against that edition's 874.
42	Tob	42-tobit.tsv	apocrypha	Tobit	The Book of Tobias	Tobit	Tob.	Tobias; Tb	14	244	Deuterocanonical, and in the Catholic canon. This edition follows the Greek, whose chapter and verse division differs from the Vulgate the Douay-Rheims translates: 244 verses here against the Douay-Rheims's 298. A Vulgate-numbered citation may land on different words.
43	Jdt	43-judith.tsv	apocrypha	JUDITH.	The Book of Judith	Judith	Judith	Jdt	16	339	Deuterocanonical, and in the Catholic canon. This edition follows the Greek: 339 verses here against the Douay-Rheims's 345.
44	EsthGr	44-rest-of-esther.tsv	apocrypha	THE REST OF THE CHAPTERS OF THE BOOK OF ESTHER WHICH ARE FOUND NEITHER IN THE HEBREW, NOR IN THE CHALDEE.		Rest of Esther		Esther (Greek); Greek Esther; Additions to Esther; Rest of the Chapters of Esther	7	105	Deuterocanonical, and in the Catholic canon, but printed here as a separate book rather than integrated. It carries the Vulgate's own chapter and verse numbers, 10:4 through 16:24, so a Vulgate citation of Esther 13-16 addresses this book and not the Esther under token Esth.
45	Wis	45-wisdom.tsv	apocrypha	THE WISDOM OF SOLOMON.	The Book of Wisdom	Wisdom	Sap.	Sapientia; Ws	19	436	Deuterocanonical, and in the Catholic canon. 436 verses here against the Douay-Rheims's 439.
46	Ecclus	46-ecclesiasticus.tsv	apocrypha	THE WISDOM OF JESUS THE SON OF SIRACH, OR ECCLESIASTICUS.	Ecclesiasticus	Sirach	Eccli.	Ecclesiasticus; Sir	51	1356	Deuterocanonical, and in the Catholic canon. TRAP: “Eccli.” is this book, not Ecclesiastes. This edition follows the Greek, whose chapter and verse division differs from the Vulgate throughout and often by several verses: 1356 verses here against the Douay-Rheims's 1591. It also omits verses the Vulgate carries, marking each as omitted by the best authorities: 1:5, 1:7, 1:21, 3:19, 3:25, 10:21, 11:15-16, 13:14, 16:15-16, 17:5, 17:9, 17:16, 17:18, 17:21, 18:3, 19:18-19, 19:21, 20:3, 22:9-10, 24:18, 24:24, 25:12 and 26:19-27.
47	Bar	47-baruch.tsv	apocrypha	BARUCH.	The Prophecy of Baruch	Baruch	Bar.	Bar	6	213	Deuterocanonical, and in the Catholic canon. Chapter 6 is the Epistle of Jeremias, as in the Vulgate, and the book has the same 213 verses as the Douay-Rheims.
48	SgThree	48-song-of-the-three.tsv	apocrypha	THE SONG OF THE THREE HOLY CHILDREN		Song of the Three Holy Children		Prayer of Azariah; Song of the Three Children; Benedicite; Azariah	1	65	Deuterocanonical, and in the Catholic canon, but printed here as a separate book of 65 verses rather than integrated. The Vulgate and the Douay-Rheims print this matter inside Daniel at 3:24-90. The correspondence is not a uniform offset, so this edition asserts none: a Daniel 3:24-90 citation is withheld rather than resolved here. Verses 45, 46 and 49 are absent, the revisers marking them as omitted by the best authorities.
49	Sus	49-susanna.tsv	apocrypha	THE HISTORY OF SUSANNA		Susanna		History of Susanna	1	64	Deuterocanonical, and in the Catholic canon, but printed here as a separate book of 64 verses rather than integrated. The Vulgate and the Douay-Rheims print this matter as Daniel 13.
50	Bel	50-bel-and-the-dragon.tsv	apocrypha	BEL AND THE DRAGON.		Bel and the Dragon		Bel; Bel and the Dragon; Destruction of Bel	1	42	Deuterocanonical, and in the Catholic canon, but printed here as a separate book of 42 verses rather than integrated. The Vulgate and the Douay-Rheims print this matter as Daniel 14.
51	PrMan	51-prayer-of-manasses.tsv	apocrypha	THE PRAYER OF MANASSES KING OF JUDAH, WHEN HE WAS HOLDEN CAPTIVE IN BABYLON.		Prayer of Manasses		Prayer of Manasseh; Manasses; Manasseh; Oratio Manassae	1	15	NOT in the Catholic canon. The Vulgate prints it in an appendix after the New Testament, outside the canon fixed at Trent.
52	1Mach	52-1-maccabees.tsv	apocrypha	THE FIRST BOOK OF THE MACCABEES.	The First Book of Machabees	1 Maccabees	1 Mach.	1 Machabees; 1 Mc	16	924	Deuterocanonical, and in the Catholic canon. 924 verses here against the Douay-Rheims's 929.
53	2Mach	53-2-maccabees.tsv	apocrypha	THE SECOND BOOK OF THE MACCABEES.	The Second Book of Machabees	2 Maccabees	2 Mach.	2 Machabees; 2 Mc	15	555	Deuterocanonical, and in the Catholic canon. 555 verses here against the Douay-Rheims's 558.
54	Matt	54-matthew.tsv	new	THE GOSPEL ACCORDING TO S. MATTHEW.	The Holy Gospel of Jesus Christ according to St. Matthew	Matthew	Matt.	Mt	28	1068	This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 17:21, 18:11 and 23:14.
55	Mark	55-mark.tsv	new	THE GOSPEL ACCORDING TO S. MARK.	The Holy Gospel of Jesus Christ according to St. Mark	Mark	Marc.	Mk	16	673	This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 7:16, 9:44, 9:46, 11:26 and 15:28.
56	Luke	56-luke.tsv	new	THE GOSPEL ACCORDING TO S. LUKE.	The Holy Gospel of Jesus Christ according to St. Luke	Luke	Luc.	Lk	24	1149	This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 17:36 and 23:17.
57	John	57-john.tsv	new	THE GOSPEL ACCORDING TO S. JOHN.	The Holy Gospel of Jesus Christ according to St. John	John	Joan.	Jn	21	878	TRAP: do not confuse the token John with Jon (Jonas) or 1John/2John/3John. This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 5:4.
58	Acts	58-acts.tsv	new	THE ACTS OF THE APOSTLES.	The Acts of the Apostles	Acts	Act.	Acts of the Apostles	28	1003	This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 8:37, 15:34, 24:7 and 28:29.
59	Rom	59-romans.tsv	new	THE EPISTLE OF PAUL THE APOSTLE TO THE ROMANS.	The Epistle of St. Paul the Apostle to the Romans	Romans	Rom.	Rm	16	432	This edition omits verses the Vulgate carries. The revisers printed the verse number with a note that the words are omitted by the best authorities; those numbers are absent from this text and a citation of them refuses for want of the verse: 16:24.
60	1Cor	60-1-corinthians.tsv	new	THE FIRST EPISTLE OF PAUL THE APOSTLE TO THE CORINTHIANS.	The First Epistle of St. Paul to the Corinthians	1 Corinthians	1 Cor.	1 Co	16	437	
61	2Cor	61-2-corinthians.tsv	new	THE SECOND EPISTLE OF PAUL THE APOSTLE TO THE CORINTHIANS.	The Second Epistle of St. Paul to the Corinthians	2 Corinthians	2 Cor.	2 Co	13	257	
62	Gal	62-galatians.tsv	new	THE EPISTLE OF PAUL TO THE GALATIANS.	The Epistle of St. Paul to the Galatians	Galatians	Gal.	Ga	6	149	
63	Eph	63-ephesians.tsv	new	THE EPISTLE OF PAUL THE APOSTLE TO THE EPHESIANS.	The Epistle of St. Paul to the Ephesians	Ephesians	Ephes.	Eph	6	155	
64	Phil	64-philippians.tsv	new	THE EPISTLE OF PAUL THE APOSTLE TO THE PHILIPPIANS.	The Epistle of St. Paul to the Philippians	Philippians	Philipp.	Php	4	104	TRAP: the token Phil is Philippians; Philemon is Philem.
65	Col	65-colossians.tsv	new	THE EPISTLE OF PAUL THE APOSTLE TO THE COLOSSIANS.	The Epistle of St. Paul to the Colossians	Colossians	Coloss.	Col	4	95	
66	1Thess	66-1-thessalonians.tsv	new	THE FIRST EPISTLE OF PAUL THE APOSTLE TO THE THESSALONIANS.	The First Epistle of St. Paul to the Thessalonians	1 Thessalonians	1 Thess.	1 Th	5	89	
67	2Thess	67-2-thessalonians.tsv	new	THE SECOND EPISTLE OF PAUL THE APOSTLE TO THE THESSALONIANS.	The Second Epistle of St. Paul to the Thessalonians	2 Thessalonians	2 Thess.	2 Th	3	47	
68	1Tim	68-1-timothy.tsv	new	THE FIRST EPISTLE OF PAUL THE APOSTLE TO TIMOTHY.	The First Epistle of St. Paul to Timothy	1 Timothy	1 Tim.	1 Tm	6	113	
69	2Tim	69-2-timothy.tsv	new	THE SECOND EPISTLE OF PAUL THE APOSTLE TO TIMOTHY.	The Second Epistle of St. Paul to Timothy	2 Timothy	2 Tim.	2 Tm	4	83	
70	Tit	70-titus.tsv	new	THE EPISTLE OF PAUL TO TITUS.	The Epistle of St. Paul to Titus	Titus	Tit.	Tt	3	46	
71	Philem	71-philemon.tsv	new	THE EPISTLE OF PAUL TO PHILEMON.	The Epistle of St. Paul to Philemon	Philemon	Philem.	Phm	1	25	
72	Heb	72-hebrews.tsv	new	THE EPISTLE OF PAUL THE APOSTLE TO THE HEBREWS.	The Epistle of St. Paul to the Hebrews	Hebrews	Hebr.	Heb	13	303	
73	James	73-james.tsv	new	THE GENERAL EPISTLE OF JAMES.	The Catholic Epistle of St. James the Apostle	James	Jac.	Jas	5	108	
74	1Pet	74-1-peter.tsv	new	THE FIRST EPISTLE GENERAL OF PETER.	The First Epistle of St. Peter the Apostle	1 Peter	1 Pet.	1 P	5	105	
75	2Pet	75-2-peter.tsv	new	THE SECOND EPISTLE GENERAL OF PETER.	The Second Epistle of St. Peter the Apostle	2 Peter	2 Pet.	2 P	3	61	
76	1John	76-1-john.tsv	new	THE FIRST EPISTLE GENERAL OF JOHN.	The First Epistle of St. John the Apostle	1 John	1 Joan.	1 Jn	5	105	
77	2John	77-2-john.tsv	new	THE SECOND EPISTLE OF JOHN.	The Second Epistle of St. John the Apostle	2 John	2 Joan.	2 Jn	1	13	
78	3John	78-3-john.tsv	new	THE THIRD EPISTLE JOF JOHN.	The Third Epistle of St. John the Apostle	3 John	3 Joan.	3 Jn	1	14	
79	Jude	79-jude.tsv	new	THE GENERAL EPISTLE OF JUDE.	The Catholic Epistle of St. Jude the Apostle	Jude	Judae	Jud	1	25	TRAP: Jude is the epistle; Judith is Jdt and Judges is Judg.
80	Apoc	80-revelation.tsv	new	THE REVELATION OF S. JOHN THE DIVINE.	The Apocalypse of St. John the Apostle	Revelation	Apoc.	Apocalypse; Rv	22	404	
