ordinal	token	file	testament	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
27	Is	27-isaias.tsv	old	The Prophecy of Isaias	Isaiah	Is.	Isaias; Isa	66	1292	
28	Jer	28-jeremias.tsv	old	The Prophecy of Jeremias	Jeremiah	Jer.	Jeremias	52	1363	
29	Lam	29-lamentations.tsv	old	The Lamentations of Jeremias	Lamentations	Thren.	Threni; Lam	5	154	
30	Bar	30-baruch.tsv	old	The Prophecy of Baruch	Baruch	Bar.	Bar	6	213	deuterocanonical; chapter 6 is the Epistle of Jeremias
31	Ezech	31-ezechiel.tsv	old	The Prophecy of Ezechiel	Ezekiel	Ezech.	Ezechiel; Ez	48	1272	
32	Dan	32-daniel.tsv	old	The Prophecy of Daniel	Daniel	Dan.	Dn	14	531	the Vulgate additions stand inline: the Prayer of Azarias and Canticle of the Three Children at 3:24-90, Susanna as chapter 13, Bel and the Dragon as chapter 14
33	Os	33-osee.tsv	old	The Prophecy of Osee	Hosea	Os.	Osee; Hos	14	198	
34	Joel	34-joel.tsv	old	The Prophecy of Joel	Joel	Joel	Jl	3	73	
35	Amos	35-amos.tsv	old	The Prophecy of Amos	Amos	Amos	Am	9	146	
36	Abd	36-abdias.tsv	old	The Prophecy of Abdias	Obadiah	Abd.	Abdias; Ob	1	21	
37	Jon	37-jonas.tsv	old	The Prophecy of Jonas	Jonah	Jonae	Jonas; Jon	4	48	
38	Mich	38-micheas.tsv	old	The Prophecy of Micheas	Micah	Mich.	Micheas; Mic	7	104	
39	Nah	39-nahum.tsv	old	The Prophecy of Nahum	Nahum	Nah.	Na	3	47	
40	Hab	40-habacuc.tsv	old	The Prophecy of Habacuc	Habakkuk	Hab.	Habacuc	3	56	
41	Soph	41-sophonias.tsv	old	The Prophecy of Sophonias	Zephaniah	Soph.	Sophonias; Zep	3	53	
42	Agg	42-aggeus.tsv	old	The Prophecy of Aggeus	Haggai	Agg.	Aggeus; Hag	2	38	
43	Zach	43-zacharias.tsv	old	The Prophecy of Zacharias	Zechariah	Zach.	Zacharias; Zec	14	211	
44	Mal	44-malachias.tsv	old	The Prophecy of Malachias	Malachi	Mal.	Malachias	4	55	
45	1Mach	45-1-machabees.tsv	old	The First Book of Machabees	1 Maccabees	1 Mach.	1 Machabees; 1 Mc	16	929	deuterocanonical
46	2Mach	46-2-machabees.tsv	old	The Second Book of Machabees	2 Maccabees	2 Mach.	2 Machabees; 2 Mc	15	558	deuterocanonical
47	Matt	47-matthew.tsv	new	The Holy Gospel of Jesus Christ according to St. Matthew	Matthew	Matt.	Mt	28	1070	
48	Mark	48-mark.tsv	new	The Holy Gospel of Jesus Christ according to St. Mark	Mark	Marc.	Mk	16	677	
49	Luke	49-luke.tsv	new	The Holy Gospel of Jesus Christ according to St. Luke	Luke	Luc.	Lk	24	1151	
50	John	50-john.tsv	new	The Holy Gospel of Jesus Christ according to St. John	John	Joan.	Jn	21	879	TRAP: do not confuse the token John with Jon (Jonas) or 1John/2John/3John
51	Acts	51-acts.tsv	new	The Acts of the Apostles	Acts	Act.	Acts of the Apostles	28	1004	
52	Rom	52-romans.tsv	new	The Epistle of St. Paul the Apostle to the Romans	Romans	Rom.	Rm	16	433	
53	1Cor	53-1-corinthians.tsv	new	The First Epistle of St. Paul to the Corinthians	1 Corinthians	1 Cor.	1 Co	16	437	
54	2Cor	54-2-corinthians.tsv	new	The Second Epistle of St. Paul to the Corinthians	2 Corinthians	2 Cor.	2 Co	13	255	
55	Gal	55-galatians.tsv	new	The Epistle of St. Paul to the Galatians	Galatians	Gal.	Ga	6	149	
56	Eph	56-ephesians.tsv	new	The Epistle of St. Paul to the Ephesians	Ephesians	Ephes.	Eph	6	155	
57	Phil	57-philippians.tsv	new	The Epistle of St. Paul to the Philippians	Philippians	Philipp.	Php	4	104	TRAP: the token Phil is Philippians; Philemon is Philem
58	Col	58-colossians.tsv	new	The Epistle of St. Paul to the Colossians	Colossians	Coloss.	Col	4	95	
59	1Thess	59-1-thessalonians.tsv	new	The First Epistle of St. Paul to the Thessalonians	1 Thessalonians	1 Thess.	1 Th	5	88	
60	2Thess	60-2-thessalonians.tsv	new	The Second Epistle of St. Paul to the Thessalonians	2 Thessalonians	2 Thess.	2 Th	3	46	
61	1Tim	61-1-timothy.tsv	new	The First Epistle of St. Paul to Timothy	1 Timothy	1 Tim.	1 Tm	6	113	
62	2Tim	62-2-timothy.tsv	new	The Second Epistle of St. Paul to Timothy	2 Timothy	2 Tim.	2 Tm	4	83	
63	Tit	63-titus.tsv	new	The Epistle of St. Paul to Titus	Titus	Tit.	Tt	3	46	
64	Philem	64-philemon.tsv	new	The Epistle of St. Paul to Philemon	Philemon	Philem.	Phm	1	25	
65	Heb	65-hebrews.tsv	new	The Epistle of St. Paul to the Hebrews	Hebrews	Hebr.	Heb	13	303	
66	James	66-james.tsv	new	The Catholic Epistle of St. James the Apostle	James	Jac.	Jas	5	108	
67	1Pet	67-1-peter.tsv	new	The First Epistle of St. Peter the Apostle	1 Peter	1 Pet.	1 P	5	105	
68	2Pet	68-2-peter.tsv	new	The Second Epistle of St. Peter the Apostle	2 Peter	2 Pet.	2 P	3	61	
69	1John	69-1-john.tsv	new	The First Epistle of St. John the Apostle	1 John	1 Joan.	1 Jn	5	105	
70	2John	70-2-john.tsv	new	The Second Epistle of St. John the Apostle	2 John	2 Joan.	2 Jn	1	13	
71	3John	71-3-john.tsv	new	The Third Epistle of St. John the Apostle	3 John	3 Joan.	3 Jn	1	14	
72	Jude	72-jude.tsv	new	The Catholic Epistle of St. Jude the Apostle	Jude	Judae	Jud	1	25	TRAP: Jude is the epistle; Judith is Jdt and Judges is Judg
73	Apoc	73-apocalypse.tsv	new	The Apocalypse of St. John the Apostle	Revelation	Apoc.	Apocalypse; Rv	22	405	Douay "Apocalypse" is modern "Revelation"
