seq	element_key	part	printed_page	ia_leaf	latin	notes
16	forma-sanguinis	canon	xxxvi	46	ACCIPITE ET BIBITE EX EO OMNES, HIC EST ENIM CALIX SANGUINIS MEI NOVI ET ÆTERNI TESTAMENTI: MYSTERIUM FIDEI: QUI PRO VOBIS ET PRO MULTIS EFFUNDETUR IN REMISSIONEM PECCATORUM.	Set in small capitals beginning at `ACCIPITE`, so the extent of the capitals differs from the form over the bread, which begins at `HOC`; both are given here in capitals. `MYSTERIUM FIDEI` stands INSIDE the form. `ÆTERNI` with the ae-ligature.
17	haec-quotiescumque	canon	xxxvi	46	Hæc quotiescumque feceritis, in mei memoriam facietis.	Printed as a separate paragraph after the form and not in small capitals. `Hæc` with the ae-ligature.
19	unde-et-memores	canon	xxxvi	46	Unde et memores, Domine, nos servi tui, sed et plebs tua sancta ejusdem Christi Filii tui, Domini nostri, tam beatæ passionis, necnon et ab inferis, Resurrectionis, sed et in Cœlos gloriosæ ascensionis, offerimus præclaræ Majestati tuæ, de tuis donis ac datis, Hostiam puram, Hostiam sanctam, Hostiam immaculatam, panem sanctum vitæ æternæ, et Calicem salutis perpetuæ.	`Cœlos` capitalised and with the oe-ligature. No cross signs are printed over `Hostiam ... Calicem`.
20	supra-quae	canon	xxxvi-xxxvii	46-47	Supra quæ propitio ac sereno vultu respicere digneris, et accepta habere, sicuti accepta habere dignatus es munera pueri tui justi Abel, et sacrificium Patriarchæ nostri Abrahæ; et quod tibi obtulit summus sacerdos tuus Melchisedech, sanctum sacrificium, immaculatam Hostiam.	Runs over the page break xxxvi/xxxvii, breaking at `respicere` / `digneris`. Heavy inking at the left edge of the Latin column of xxxvii damages the first letters of `habere` twice, of `sacerdos` and of `Melchisedech` at the line turn `Melchise-` / `dech`; every one is read from the surviving strokes on the leaf and none is repaired from another book.
21	supplices	canon	xxxvii-xxxviii	47-48	Supplices te rogamus, omnipotens Deus, jube hæc præferri per manus sancti angeli tui in sublime altare tuum, in conspectu divinæ Majestatis tuæ, ut quotquot ex hac altaris participatione, sacro-sanctum Filii tui corpus et sanguinem sumpserimus, omni benedictione cælesti et gratia repleamur. Per eumdem Christum Dominum nostrum. Amen.	`sacro-sanctum` is printed with its own hyphen, over and above the line-break hyphen after `sa-`. `corpus` and `sanguinem` lower-case here, where seq 11 sets `Corpus et Sanguis` with capitals. The book prints `cælesti` with the ae-ligature here, though it sets `cœlum`, `cœlis` and `Cœlos` with the oe-ligature elsewhere in this Canon; both are transcribed as printed and neither is harmonised. `Amen.` italic.
23	memento-etiam	canon	xxxviii	48	Memento etiam, Domine, famulorum famularumque tuarum N. et N. qui nos præcesserunt cum signo Fidei, et dormiunt in somno pacis.	`Fidei` capitalised as printed.
25	ipsis-domine	canon	xxxviii	48	Ipsis, Domine, et omnibus in Christo quiescentibus, locum refrigerii, lucis et pacis, ut indulgeas deprecamur: per eumdem Christum Dominum nostrum. Amen.	Runs over the page break xxxvii/xxxviii, breaking at `in Christo quies-` / `centibus`; the printed page and leaf given here are those of the block's greater part, as the sibling English row gives them. `per` lower-case in the conclusion, as printed. `Amen.` italic.
27	nobis-quoque	canon	xxxviii	48	Nobis quoque peccatoribus famulis tuis de multitudine miserationum tuarum sperantibus, partem aliquam et societatem donare digneris, cum tuis sanctis apostolis et martyribus; cum Joanne, Stephano, Matthia, Barnaba, Ignatio, Alexandro, Marcellino, Petro, Felicitate, Perpetua, Agatha, Lucia, Agnete, Cæcilia, Anastasia, et omnibus sanctis tuis: intra quorum nos consortium, non æstimator meriti, sed veniæ, quæsumus largitor admitte. Per Christum Dominum nostrum.	`Cæcilia` and `æstimator` with the ae-ligature.
28	per-quem	canon	xxxviii	48	Per quem hæc omnia, Domine, semper bona ereas, sanctificas, vivificas, benedicis, et præstas nobis.	The Latin column misprints `ereas` for `creas`: the first letter carries the crossbar of an e and is not a c, read at 250 per cent on leaf n48. Transcribed as printed and not corrected. No cross signs are printed over the three verbs.
29	per-ipsum	canon	xxxviii	48	Per ipsum, et cum ipso, et in ipso, est tibi Deo Patri omnipotenti, in unitate Spiritus Sancti, omnis honor et gloria.	No cross signs are printed in this block, which the Roman rite marks five times.
30	per-omnia-saecula	canon	xxxix	49	P. Per omnia sæcula sæculorum. R. Amen.	The first two lines of xxxix, closing the Canon. Here `sæcula sæculorum` is set unbroken, where the same versicle at the foot of xxvii prints a full stop after `sæcula`. `Amen.` italic.
