left_arrangement	left_book	left_chapter	left_verses	right_arrangement	right_book	right_chapter	right_verses	relation	left_opening	right_opening	note
vulgate	Dan	3	54	greek	SgThree	1	33	one-to-one	blessed art thou on the throne of	blessed art thou on the throne of	the throne and the depths stand in the other order in the Greek
vulgate	Dan	3	55	greek	SgThree	1	32	one-to-one	blessed art thou that beholdest the depths	blessed art thou that beholdest the depths	
vulgate	Dan	3	56-57	greek	SgThree	1	34-35	one-to-one	blessed art thou in the firmament of	blessed art thou in the firmament of	
vulgate	Dan	3	58	greek	SgThree	1	37	one-to-one	o ye angels of the lord bless	o ye angels of the lord bless	the angels and the heavens stand in the other order in the Greek
vulgate	Dan	3	59	greek	SgThree	1	36	one-to-one	o ye heavens bless the lord praise	o ye heavens bless ye the lord	
vulgate	Dan	3	60-66	greek	SgThree	1	38-44	one-to-one	o all ye waters that are above	o all ye waters that be above	
vulgate	Dan	3	67	greek	SgThree	1	45	one-to-one	o ye cold and heat bless the		
vulgate	Dan	3	68	greek	SgThree	1	46	one-to-one	o ye dews and hoar frost bless		
vulgate	Dan	3	69	greek	SgThree	1	49	one-to-one	o ye frost and cold bless the		the Vulgate keeps its four couplets of cold together as frigus, rores, gelu, glacies; the Greek sets nights and days and light and darkness between them
vulgate	Dan	3	70	greek	SgThree	1	50	one-to-one	o ye ice and snow bless the	o ye frost and snow bless ye	
vulgate	Dan	3	71	greek	SgThree	1	47	one-to-one	o ye nights and days bless the	o ye nights and days bless ye	
vulgate	Dan	3	72	greek	SgThree	1	48	one-to-one	o ye light and darkness bless the	o ye light and darkness bless ye	
vulgate	Dan	3	73-76	greek	SgThree	1	51-54	one-to-one	o ye lightnings and clouds bless the	o ye lightnings and clouds bless ye	
vulgate	Dan	3	77	greek	SgThree	1	56	one-to-one	o ye fountains bless the lord praise	o ye fountains bless ye the lord	the fountains and the seas stand in the other order in the Greek
vulgate	Dan	3	78	greek	SgThree	1	55	one-to-one	o ye seas and rivers bless the	o sea and rivers bless ye the	
vulgate	Dan	3	79-90	greek	SgThree	1	57-68	one-to-one	o ye whales and all that move	o ye whales and all that move	
vulgate	Dan	3	91-97	greek	Dan	3	24-30	one-to-one	then nabuchodonosor the king was astonished and	then nebuchadnezzar the king was astonied and	the Aramaic chapter resumes; the Greek numbers it straight on from its own 3:23
vulgate	Dan	3	98-100	greek	Dan	4	1-3	one-to-one	nabuchodonosor the king to all peoples nations	nebuchadnezzar the king unto all the peoples	Nabuchodonosor's letter closes chapter 3 in the Vulgate and opens chapter 4 in the Greek and the Aramaic
vulgate	Dan	4	1-34	greek	Dan	4	4-37	one-to-one	i nabuchodonosor was at rest in my	i nebuchadnezzar was at rest in mine	
vulgate	Dan	5	1-31	greek	Dan	5	1-31	one-to-one	baltasar the king made a great feast	belshazzar the king made a great feast	
vulgate	Dan	6	1-28	greek	Dan	6	1-28	one-to-one	it seemed good to darius and he	it pleased darius to set over the	
vulgate	Dan	7	1-28	greek	Dan	7	1-28	one-to-one	in the first year of baltasar king	in the first year of belshazzar king	
vulgate	Dan	8	1-27	greek	Dan	8	1-27	one-to-one	in the third year of the reign	in the third year of the reign	
vulgate	Dan	9	1-27	greek	Dan	9	1-27	one-to-one	in the first year of darius the	in the first year of darius the	
vulgate	Dan	10	1-21	greek	Dan	10	1-21	one-to-one	in the third year of cyrus king	in the third year of cyrus king	
vulgate	Dan	11	1-45	greek	Dan	11	1-45	one-to-one	and from the first year of darius	and as for me in the first	
vulgate	Dan	12	1-13	greek	Dan	12	1-13	one-to-one	but at that time shall michael rise	and at that time shall michael stand	
vulgate	Dan	13	1-64	greek	Sus	1	1-64	one-to-one	now there was a man that dwelt	there dwelt a man in babylon and	Susanna, which the Greek prints as a book of its own
vulgate	Dan	13	65	greek	Bel	1	1	one-to-one	and king astyages was gathered to his	and king astyages was gathered to his	the death of Astyages closes Susanna in the Vulgate and opens Bel in the Greek, so Bel runs one verse ahead of Vulgate Daniel 14 throughout
vulgate	Dan	14	1-41	greek	Bel	1	2-42	one-to-one	and daniel was the king s guest	and daniel lived with the king and	at the close the clause "and he drew him out of the lions' den" stands in Vulgate 14:40 and in Bel 42; the verse boundaries still correspond
vulgate	Dan	14	42	greek				absent-right	then the king said let all the		"let all the inhabitants of the whole earth fear the God of Daniel"; Bel ends at 42, which is Vulgate 14:41
vulgate	Ecclus	1	1-40	greek	Ecclus	1	1-30	not-recorded	all wisdom is from the lord god		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	2	1-23	greek	Ecclus	2	1-18	not-recorded	son when thou comest to the service		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	3	1-34	greek	Ecclus	3	1-31	not-recorded	the sons of wisdom are the church		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	4	1-36	greek	Ecclus	4	1-31	not-recorded	son defraud not the poor of alms		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	5	1-18	greek	Ecclus	5	1-15	not-recorded	set not thy heart upon unjust possessions		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	6	1-37	greek	Ecclus	6	1-37	not-recorded	instead of a friend become not an		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	7	1-40	greek	Ecclus	7	1-36	not-recorded	do no evils and no evils shall		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	8	1-22	greek	Ecclus	8	1-19	not-recorded	strive not with a powerful man lest		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	9	1-25	greek	Ecclus	9	1-18	not-recorded	be not jealous over the wife of		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	10	1-34	greek	Ecclus	10	1-31	not-recorded	a wise judge shall judge his people		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	11	1-36	greek	Ecclus	11	1-34	not-recorded	the wisdom of the humble shall exalt		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	12	1-19	greek	Ecclus	12	1-18	not-recorded	if thou do good know to whom		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	13	1-32	greek	Ecclus	13	1-26	not-recorded	he that toucheth pitch shall be defiled		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	14	1-27	greek	Ecclus	14	1-27	not-recorded	blessed is the man that hath not		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	15	1-22	greek	Ecclus	15	1-20	not-recorded	he that feareth god will do good		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	16	1-31	greek	Ecclus	16	1-30	not-recorded	rejoice not in ungodly children if they		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	17	1-31	greek	Ecclus	17	1-32	not-recorded	god created man of the earth and		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	18	1-33	greek	Ecclus	18	1-33	not-recorded	he that liveth for ever created all		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	19	1-28	greek	Ecclus	19	1-30	not-recorded	a workman that is a drunkard shall		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	20	1-33	greek	Ecclus	20	1-31	not-recorded	how much better is it to reprove		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	21	1-31	greek	Ecclus	21	1-28	not-recorded	my son hast thou sinned do so		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	22	1-33	greek	Ecclus	22	1-27	not-recorded	the sluggard is pelted with a dirty		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	23	1-38	greek	Ecclus	23	1-27	not-recorded	o lord father and sovereign ruler of		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	24	1-47	greek	Ecclus	24	1-34	not-recorded	wisdom shall praise her own self and		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	25	1-36	greek	Ecclus	25	1-26	not-recorded	with three things my spirit is pleased		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	26	1-28	greek	Ecclus	26	1-29	not-recorded	happy is the husband of a good		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	27	1-33	greek	Ecclus	27	1-30	not-recorded	through poverty many have sinned and he		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	28	1-30	greek	Ecclus	28	1-26	not-recorded	he that seeketh to revenge himself shall		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	29	1-34	greek	Ecclus	29	1-28	not-recorded	he that sheweth mercy lendeth to his		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	30	1-27	greek	Ecclus	30	1-25	not-recorded	he that loveth his son frequently chastiseth		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	31	1-42	greek	Ecclus	31	1-31	not-recorded	watching for riches consumeth the flesh and		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	32	1-28	greek	Ecclus	32	1-24	not-recorded	have they made thee ruler be not		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	33	1-33	greek	Ecclus	33	1-31	not-recorded	no evils shall happen to him that		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	34	1-31	greek	Ecclus	34	1-26	not-recorded	the hopes of a man that is		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	35	1-26	greek	Ecclus	35	1-20	not-recorded	he that keepeth the law multiplieth offerings		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	36	1-17	greek	Ecclus	36	1-15	not-recorded	have mercy upon us o god of		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	36	18	greek	Ecclus	36	16	one-to-one	reward them that patiently wait for thee	give reward unto them that wait for	established by reading the verse: the introit Da pacem Domine sustinentibus te is Vulgate 36:18 and Greek 36:16, and Greek 36:18 is the proverb of the belly
vulgate	Ecclus	36	19-28	greek	Ecclus	36	17-26	not-recorded	according to the blessing of aaron over		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	37	1-34	greek	Ecclus	37	1-31	not-recorded	every friend will say i also am		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	38	1-39	greek	Ecclus	38	1-34	not-recorded	honour the physician for the need thou		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	39	1-41	greek	Ecclus	39	1-35	not-recorded	the wise man will seek out the		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	40	1-32	greek	Ecclus	40	1-30	not-recorded	great labour is created for all men		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	41	1-28	greek	Ecclus	41	1-24	not-recorded	o death how bitter is the remembrance		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	42	1-26	greek	Ecclus	42	1-25	not-recorded	repeat not the word which thou hast		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	43	1-37	greek	Ecclus	43	1-33	not-recorded	the firmament on high is his beauty		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	44	1-27	greek	Ecclus	44	1-23	not-recorded	let us now praise men of renown		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	45	1-31	greek	Ecclus	45	1-26	not-recorded	moses was beloved of god and men		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	46	1-23	greek	Ecclus	46	1-20	not-recorded	valiant in war was jesus the son		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	47	1-31	greek	Ecclus	47	1-25	not-recorded	then nathan the prophet arose in the		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	48	1-28	greek	Ecclus	48	1-25	not-recorded	and elias the prophet stood up as		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	49	1-19	greek	Ecclus	49	1-16	not-recorded	the memory of josias is like the		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	50	1-31	greek	Ecclus	50	1-29	not-recorded	simon the high priest the son of		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
vulgate	Ecclus	51	1-38	greek	Ecclus	51	1-30	not-recorded	a prayer of jesus the son of		the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
greek	Dan	1	1-21	world-english-catholic	Dan	1	1-21	one-to-one	in the third year of the reign	in the third year of the reign	
greek	Dan	2	1-49	world-english-catholic	Dan	2	1-49	one-to-one	and in the second year of the	in the second year of the reign	
greek	Dan	3	1-23	world-english-catholic	Dan	3	1-23	one-to-one	nebuchadnezzar the king made an image of	nebuchadnezzar the king made an image of	
greek	SgThree	1	1-44	world-english-catholic	Dan	3	24-67	one-to-one	and they walked in the midst of	they walked in the midst of the	this edition sets the Prayer of Azarias and the Canticle inside Daniel 3, as the Greek Daniel does, at the Greek's own numbers
greek	SgThree	1	45	world-english-catholic				not-recorded			this edition prints one couplet of cold where the Greek prints two: its 3:71 reads "cold and heat", and nothing in the tracked text settles whether that is the Greek's 45 or its 49
greek	SgThree	1	46-48	world-english-catholic	Dan	3	68-70	one-to-one		o you dews and storms of snow	
greek	SgThree	1	49	world-english-catholic				not-recorded			see SgThree 45: one of the two couplets is unprinted here and which one is not established
greek				world-english-catholic	Dan	3	71	not-recorded			"O you cold and heat": this edition prints one couplet of cold where the Greek prints two, and nothing in the tracked text settles which of the Greek's 45 and 49 this is
greek	SgThree	1	50-68	world-english-catholic	Dan	3	72-90	one-to-one	o ye frost and snow bless ye	o you frost and snow bless the	
greek	Dan	3	24-30	world-english-catholic	Dan	3	91-97	one-to-one	then nebuchadnezzar the king was astonied and	then nebuchadnezzar the king was astonished and	
greek	Dan	4	1-37	world-english-catholic	Dan	4	1-37	one-to-one	nebuchadnezzar the king unto all the peoples	nebuchadnezzar the king to all the peoples	
greek	Dan	5	1-31	world-english-catholic	Dan	5	1-31	one-to-one	belshazzar the king made a great feast	belshazzar the king made a great feast	
greek	Dan	6	1-28	world-english-catholic	Dan	6	1-28	one-to-one	it pleased darius to set over the	it pleased darius to set over the	
greek	Dan	7	1-28	world-english-catholic	Dan	7	1-28	one-to-one	in the first year of belshazzar king	in the first year of belshazzar king	
greek	Dan	8	1-27	world-english-catholic	Dan	8	1-27	one-to-one	in the third year of the reign	in the third year of the reign	
greek	Dan	9	1-27	world-english-catholic	Dan	9	1-27	one-to-one	in the first year of darius the	in the first year of darius the	
greek	Dan	10	1-21	world-english-catholic	Dan	10	1-21	one-to-one	in the third year of cyrus king	in the third year of cyrus king	
greek	Dan	11	1-45	world-english-catholic	Dan	11	1-45	one-to-one	and as for me in the first	as for me in the first year	
greek	Dan	12	1-13	world-english-catholic	Dan	12	1-13	one-to-one	and at that time shall michael stand	at that time michael will stand up	
greek	Sus	1	1-64	world-english-catholic	Dan	13	1-64	one-to-one	there dwelt a man in babylon and	a man lived in babylon and his	Susanna stands as Daniel 13 here, at Susanna's own numbers, so this edition's Daniel 13 ends at 64 where the Vulgate's ends at 65
greek	Bel	1	1-42	world-english-catholic	Dan	14	1-42	one-to-one	and king astyages was gathered to his	king astyages was gathered to his fathers	Bel stands as Daniel 14 here, at Bel's own numbers, so this edition's Daniel 14 runs one verse ahead of the Vulgate's throughout
greek	Ecclus	1	1-30	world-english-catholic	Ecclus	1	1-30	one-to-one	all wisdom cometh from the lord and	all wisdom comes from the lord and	
greek	Ecclus	2	1-18	world-english-catholic	Ecclus	2	1-18	one-to-one	my son if thou comest to serve	my son if you come to serve	
greek	Ecclus	3	1-31	world-english-catholic	Ecclus	3	1-31	one-to-one	hear me your father o my children	hear me your father o my children	
greek	Ecclus	4	1-31	world-english-catholic	Ecclus	4	1-31	one-to-one	my son deprive not the poor of	my son don t deprive the poor	
greek	Ecclus	5	1-15	world-english-catholic	Ecclus	5	1-15	one-to-one	set not thy heart upon thy goods	don t set your heart upon your	
greek	Ecclus	6	1-37	world-english-catholic	Ecclus	6	1-37	one-to-one	and instead of a friend become not	don t become an enemy instead of	
greek	Ecclus	7	1-36	world-english-catholic	Ecclus	7	1-36	one-to-one	do no evil so shall no evil	do no evil so no evil will	
greek	Ecclus	8	1-19	world-english-catholic	Ecclus	8	1-19	one-to-one	contend not with a mighty man lest	don t contend with a mighty man	
greek	Ecclus	9	1-18	world-english-catholic	Ecclus	9	1-18	one-to-one	be not jealous over the wife of	don t be jealous over the wife	
greek	Ecclus	10	1-31	world-english-catholic	Ecclus	10	1-31	one-to-one	a wise judge will instruct his people	a wise judge will instruct his people	
greek	Ecclus	11	1-34	world-english-catholic	Ecclus	11	1-34	one-to-one	the wisdom of the lowly shall lift	the wisdom of the lowly will lift	
greek	Ecclus	12	1-18	world-english-catholic	Ecclus	12	1-18	one-to-one	if thou do good know to whom	if you do good know to whom	
greek	Ecclus	13	1-26	world-english-catholic	Ecclus	13	1-26	one-to-one	he that toucheth pitch shall be defiled	he who touches pitch will be defiled	
greek	Ecclus	14	1-27	world-english-catholic	Ecclus	14	1-27	one-to-one	blessed is the man that hath not	blessed is the man who has not	
greek	Ecclus	15	1-20	world-english-catholic	Ecclus	15	1-20	one-to-one	he that feareth the lord will do	he who fears the lord will do	
greek	Ecclus	16	1-30	world-english-catholic	Ecclus	16	1-30	one-to-one	desire not a multitude of unprofitable children	don t desire a multitude of unprofitable	
greek	Ecclus	17	1-32	world-english-catholic	Ecclus	17	1-32	one-to-one	the lord created man of the earth	the lord created mankind out of earth	
greek	Ecclus	18	1-33	world-english-catholic	Ecclus	18	1-33	one-to-one	he that liveth for ever created all	he who lives forever created the whole	
greek	Ecclus	19	1-30	world-english-catholic	Ecclus	19	1-30	one-to-one	a workman that is a drunkard shall	a worker who is a drunkard will	
greek	Ecclus	20	1-31	world-english-catholic	Ecclus	20	1-31	one-to-one	there is a reproof that is not	there is a reproof that is not	
greek	Ecclus	21	1-28	world-english-catholic	Ecclus	21	1-28	one-to-one	my son hast thou sinned add no	my son have you sinned do it	
greek	Ecclus	22	1-27	world-english-catholic	Ecclus	22	1-27	one-to-one	a slothful man is compared to a	a slothful man is compared to a	
greek	Ecclus	23	1-27	world-english-catholic	Ecclus	23	1-27	one-to-one	o lord father and master of my	o lord father and master of my	
greek	Ecclus	24	1-34	world-english-catholic	Ecclus	24	1-34	one-to-one	wisdom shall praise herself and shall glory	wisdom will praise her own soul and	
greek	Ecclus	25	1-26	world-english-catholic	Ecclus	25	1-26	one-to-one	in three things i was beautified and	i enjoy three things and they are	
greek	Ecclus	26	1-29	world-english-catholic	Ecclus	26	1-29	one-to-one	happy is the husband of a good	happy is the husband of a good	
greek	Ecclus	27	1-30	world-english-catholic	Ecclus	27	1-30	one-to-one	many have sinned for a thing indifferent	many have sinned for profit he who	
greek	Ecclus	28	1-26	world-english-catholic	Ecclus	28	1-26	one-to-one	he that taketh vengeance shall find vengeance	he who takes vengeance will find vengeance	
greek	Ecclus	29	1-28	world-english-catholic	Ecclus	29	1-28	one-to-one	he that sheweth mercy will lend unto	he who shows mercy will lend to	
greek	Ecclus	30	1-25	world-english-catholic	Ecclus	30	1-25	one-to-one	he that loveth his son will continue	he who loves his son will continue	
greek	Ecclus	31	1-31	world-english-catholic	Ecclus	31	1-31	one-to-one	wakefulness that cometh of riches consumeth the	wakefulness that comes from riches consumes the	
greek	Ecclus	32	1-24	world-english-catholic	Ecclus	32	1-24	one-to-one	have they made thee ruler of a	have they made you ruler of a	
greek	Ecclus	33	1-15	world-english-catholic	Ecclus	33	1-15	one-to-one	there shall no evil happen unto him	no evil will happen to him who	
greek	Ecclus	33	16	world-english-catholic	Ecclus	33	16-17	split-right	and i waked up last as one	i was the last on watch like	the Greek holds the gleaning and the winepress in one verse; this edition divides them
greek	Ecclus	33	17-30	world-english-catholic	Ecclus	33	18-31	one-to-one	consider that i laboured not for myself	consider that i labored not for myself	
greek	Ecclus	33	31	world-english-catholic	Ecclus	33	32-33	split-right	if thou hast a servant treat him	if you have a slave treat him	the Greek holds "treat him as thyself" and "which way wilt thou go to seek him" in one verse; this edition divides them
greek	Ecclus	34	1-26	world-english-catholic	Ecclus	34	1-26	one-to-one	vain and false hopes are for a	vain and false hopes are for a	
greek	Ecclus	35	1-20	world-english-catholic	Ecclus	35	1-20	one-to-one	he that keepeth the law multiplieth offerings	he who keeps the law multiplies offerings	
greek	Ecclus	36	1-26	world-english-catholic	Ecclus	36	1-26	one-to-one	have mercy upon us o lord the	have mercy upon us o lord the	
greek	Ecclus	37	1-31	world-english-catholic	Ecclus	37	1-31	one-to-one	every friend will say i also am	every friend will say i also am	
greek	Ecclus	38	1-34	world-english-catholic	Ecclus	38	1-34	one-to-one	honour a physician according to thy need	honor a physician according to your need	
greek	Ecclus	39	1-35	world-english-catholic	Ecclus	39	1-35	one-to-one	not so he that hath applied his	not so he who has applied his	
greek	Ecclus	40	1-30	world-english-catholic	Ecclus	40	1-30	one-to-one	great travail is created for every man	great travail is created for every man	
