formulary	oration	latin_incipit	printed_page	ia_leaf	english
nativitas-in-aurora	collect	Da nobis	74	84	Grant, we beseech thee, O Almighty God, that, as we are enlightened by the new light of thy Word become flesh, we may shew in our actions the effects of that faith that shineth in our minds. Thro’ the same.
nativitas-in-aurora	secret		76	86	May the offerings, O Lord, we make, be agreeable to the mystery of this day’s birth, and always pour forth peace upon us; that as he, who though born man, shewed himself also God: so may this earthly substance give us that which is divine.
nativitas-in-aurora	postcommunion	Hujus nos	76	86	May we, O Lord, always receive new light from this sacrament, which reneweth to us the memory of that wonderful birth, which destroyed the old man. Thro’.
nativitas-in-die	collect	Concede	77	87	Grant, we beseech thee, O Almighty God, that we who groan under the old captivity of sin, may be freed therefrom by the birth of thy only begotten Son. Thro’.
nativitas-in-die	secret		78	88	Sanctify, O Lord, our offerings, by the new birth of thy only begotten Son, and cleanse us from the stains of our sins. Thro’. the same.
nativitas-in-die	postcommunion	Præsta, quæsumus	78	88	Grant we beseech thee, O Almighty God, that as the Saviour of the world, who was born this day, procured for us a divine birth, he may also bestow on us immortality. Who liveth.
dom-infra-oct-nativitatis	collect	Omnipotens	86	96	O almighty and eternal God, regulate our actions according to thy divine will, that, in the name of thy beloved Son, we may abound in good works. Thro’.
dom-infra-oct-nativitatis	secret		88	98	Grant, we beseech thee, O Almighty God, that this sacrifice offered to thy Divine Majesty, may obtain for us the grace of true devotion, and a happy eternity. Thro’.
dom-infra-oct-nativitatis	postcommunion	Per hujus	88	98	May the efficacy of this sacrament, O Lord, cleanse us from our sins, and obtain for us the accomplishment of our just desires. Thro’.
in-octava-nativitatis	collect	Deus, qui salutis	88	98	O God, who by the fruitful virginity of the blessed Mary, hast given mankind the rewards of eternal salvation: grant, we beseech thee, that we may experience her intercession, through whom we deserved to receive the Author of Life, our Lord Jesus Christ thy Son, who, &c.
in-octava-nativitatis	secret		89	99	Receive, O Lord, our offerings, and prayers: cleanse us by these heavenly mysteries, and mercifully hear us. Thro’.
in-octava-nativitatis	postcommunion	Hæc nos	89	99	May this communion, O Lord, cleanse us from sin, and by the intercession of blessed Mary, the virgin-mother of God, make us partakers of thy heavenly remedy. Thro’.
epiphania	collect	Deus, qui hodierna	90	100	O God, who by the direction of a star didst this day manifest thy only Son to the Gentiles; mercifully grant that we, who now know thee by faith, may come at length to see the glory of thy Majesty. Thro’ the same.
epiphania	secret		92	102	Mercifully look down, O Lord, we beseech thee, on the offerings of thy church: among which gold, frankincense, and myrrh are no longer offered; but what was signified by those offerings is sacrificed and received, Jesus Christ, thy Son our Lord. Who liveth.
epiphania	postcommunion	Præsta, quæsumus	92	102	Grant, we beseech thee, O Almighty God, that our minds may be so purified, as to understand what we celebrate on this great solemnity. Thro’.
epiph-01	collect	Vota quæsumus	92	102	According to thy divine mercy, O Lord, receive the vows of thy people, who pour forth their prayers to thee; that they may know what their duty requireth of them, and be able to comply with what they know. Thro’.
epiph-01	secret		94	104	May the sacrifice we have offered to thee, O Lord, always enliven and defend us. Thro’.
epiph-01	postcommunion	Supplices	94	104	Grant we humbly beseech thee, O Almighty God, that those whom thou refreshest with thy sacraments, may, by a life well-pleasing to thee, worthily serve thee. Thro’.
epiph-02	collect	Omnipotens	95	105	O almighty and eternal God, supreme Ruler both of heaven and earth, mercifully give ear to the prayers of thy people, and grant us peace in our time. Thro’.
epiph-02	secret		96	106	Sanctify, O Lord, our offerings, and cleanse us from the stains of our sins. Thro’.
epiph-02	postcommunion	Augeatur	97	107	May the efficacy of thy power, O Lord, be increased in us, that being fed with thy divine sacraments, we may, thro’ thy bounty, be prepared to receive what they promise. Thro’.
epiph-03	collect	Omnipotens	98	108	O almighty and eternal God, mercifully regard our weakness, and stretch forth the right hand of thy majesty to protect us. Thro’.
epiph-03	secret		100	110	May this offering, O Lord, we beseech thee, cleanse away our sins: and sanctify the bodies and souls of thy servants, to prepare them for worthily celebrating this sacrifice. Thro’.
epiph-03	postcommunion	Quos tantis	100	110	We beseech thee, O Lord, that we, to whom thou vouchsafest the use of these great mysteries, may be made truly worthy to receive the benefits thereof. Thro’.
epiph-04	collect	Deus qui	100	110	O God, who knowest that thro’ human frailty we are not able to subsist amidst so many dangers, grant us health of soul and body; that whatsoever we suffer for our sins, we may overcome by thy assistance. Thro’.
epiph-04	secret		101	111	Grant, we beseech thee, O Almighty God, that the offering of this sacrifice may always cleanse our frailty from all evil, and be a protection to us. Thro’.
epiph-04	postcommunion	Munera tua	101	111	May thy gifts, which we have partaken of, O God, detach us from all earthly pleasures, and ever refresh and strengthen us with heavenly food. Thro’.
epiph-05	collect	Familiam	101	111	Preserve, we beseech thee, O Lord, thy family by thy constant mercy, that we, who confide solely in the support of thy heavenly grace, may be always defended by thy protection. Thro’.
epiph-05	secret		102	112	We offer thee, O Lord, this sacrifice of propitiation: that thou wouldst mercifully forgive us our sins, and guide our tottering hearts. Thro’.
epiph-05	postcommunion	Quæsumus	102	112	We beseech thee, O Almighty God, that we may one day receive the effects of that salvation, of which we have received the pledge in these mysteries. Thro’.
epiph-06	collect	Præsta	102	112	Grant, we beseech thee, O Almighty God, that being always intent upon what is reasonable and just, we may, both in word and deed, perform what is acceptable to thee. Thro’.
epiph-06	secret		104	114	May this oblation, O God, we beseech thee, cleanse, renew, govern and protect us.
epiph-06	postcommunion	Cælestibus	104	114	Being fed, O Lord, with heavenly dainties, we beseech thee, that we may always hunger after them, as they preserve our life. Thro’.
septuagesima	collect	Preces	104	114	Mercifully hear, we beseech thee, O Lord, the prayers of thy people: that we who are justly afflicted for our sins, may be mercifully delivered for the glory of thy name. Thro’.
septuagesima	secret		106	116	Having received, O Lord, our offerings and prayers, cleanse us, we beseech thee, by these heavenly mysteries, and mercifully hear us.
septuagesima	postcommunion	Fideles	107	117	May thy faithful, O God, be strengthened by these thy mysteries; that receiving them, they may still desire them; and desiring them may eternally receive them. Thro’.
sexagesima	collect	Deus qui	107	117	O God, who seest that we place no confidence in any thing we do: mercifully grant that, by the protection of the Doctor of the Gentiles, we may be defended against all adversity. Thro’.
sexagesima	secret		94	104	May the sacrifice we have offered to thee, O Lord, always enliven us and defend us. Thro’.
sexagesima	postcommunion	Supplices	110	120	Grant, we humbly beseech thee, O Almighty God, that those whom thou refreshest with thy sacraments, may, by a life well pleasing to thee, worthily serve thee. Thro’.
quinquagesima	collect	Preces	111	121	Mercifully hear our prayers, we beseech thee, O Lord, and being freed from the chains of our sins, preserve us from all adversity. Thro’.
quinquagesima	secret		113	123	May this offering, we beseech thee, O Lord, cleanse away our sins: and sanctify the bodies and souls of thy servants, to prepare them for worthily celebrating this sacrifice. Thro’.
quinquagesima	postcommunion	Quæsumus	113	123	We beseech thee, O Almighty God, that we who have taken this heavenly food, may by it be defended from all adversity. Thro’.
feria-iv-cinerum	collect	Præsta, Domine	116	126	Grant, O Lord, that thy faithful may enter on this solemn fast with suitable piety, and go through it with unmolested devotion. Thro’.
feria-iv-cinerum	secret		118	128	Grant, O Lord, that we may be duly prepared to present these our offerings, by which we celebrate the institution of this venerable mystery. Thro’.
feria-iv-cinerum	postcommunion	Percepta	119	129	May the mysteries we have received, O Lord, afford us help, that our fasting may be acceptable to thee, and become a remedy to us. Thro’.
quadr-01	collect	Deus qui	126	136	O God, who purifiest thy Church by the yearly observation of Lent: grant, that what thy children endeavour to obtain of thee by abstinence, they may put in execution by good works. Thro’.
quadr-01	secret		128	138	We offer thee, O Lord, in the most solemn manner, this sacrifice at the beginning of Lent, humbly beseeching thee, that as we retrench from the food of our bodies, we may also refrain from all noxious pleasures. Thro’.
quadr-01	postcommunion	Tui nos	128	138	May the holy oblation, O Lord, of thy sacrament, give us a new life, that, by laying aside the old man, it may bring us to the participation of this saving mystery. Thro’.
quadr-02	collect	Deus qui	146	156	O God, who seest how destitute we are of all strength, preserve us both within and without, that our bodies may be free from all adversity, and our souls purified from all evil thoughts. Thro’.
quadr-02	secret		148	158	Look down, O Lord, we beseech thee, on this our sacrifice, that it may increase our devotion, and procure our salvation. Thro’.
quadr-02	postcommunion	Supplices	148	158	Grant we humbly beseech thee, O Almighty God, that those, whom thou hast refreshed with thy sacraments, may worthily serve thee in the conduct of their lives. Thro’.
quadr-03	collect	Quæsumus	165	175	Be attentive, we beseech thee, O Almighty God, to the prayers of thy servants: and stretch forth the arm of thy divine majesty in our defence. Thro’.
quadr-03	secret		167	177	May this offering, O Lord, we beseech thee, cleanse us from our sins, and sanctify the bodies and souls of thy servants for the celebrating of this sacrifice. Thro’.
quadr-03	postcommunion	A cunctis	168	178	Mercifully, O Lord, we beseech thee, deliver us from all guilt and from all danger, since thou admittest us to be partakers of this great mystery. Thro’.
quadr-04	collect	Concede	188	198	Grant, we beseech thee, O Almighty God, that we, who are justly afflicted according to our demerits, may be relieved by thy comforting grace. Thro’.
quadr-04	secret		190	200	We beseech thee, O Lord, mercifully regard this present sacrifice, that it may both increase our devotion, and advance our salvation. Thro’.
quadr-04	postcommunion	Da nobis	190	200	Grant, we beseech thee, O merciful God, that we may sincerely respect, and receive with faith thy holy mysteries, with which thou daily feedest us.
dom-i-passionis	collect	Quæsumus	210	220	Mercifully look down on thy people, we beseech thee, O Almighty God, that, by thy bounty and protection, they may be governed and guarded both in body and soul. Thro’.
dom-i-passionis	secret		212	222	May these offerings, O Lord, both loosen the bonds of our wickedness, and obtain for us the gifts of thy mercy. Thro’.
dom-i-passionis	postcommunion	Adesto	212	222	Help us, O Lord our God, and forever protect those whom thou hast refreshed with thy sacred mysteries. Thro’.
dom-resurrectionis	collect	Deus, qui	330	338	O God, who, on this day, by thy only begotten Son’s victory over death, didst open for us a passage to eternity; grant that our prayers, which thy preventing grace inspireth, may by thy help become effectual. Thro’.
dom-resurrectionis	secret		331	339	Receive, O Lord, we beseech thee, the prayers of thy people, together with the offerings of these hosts, that what is consecrated by these paschal mysteries, may by the help of thy grace, avail us to eternal life. Thro’.
dom-resurrectionis	postcommunion	Spiritum nobis	332	340	Pour forth on us, O Lord, the spirit of thy love: that those whom thou hast filled with the paschal sacrament, may, by thy goodness, live in perfect concord. Thro’.
dom-in-albis	collect	Præsta	346	354	Grant, we beseech thee, O Almighty God, that we, who have celebrated the solemnity of Easter, may, by the assistance of thy divine grace, ever make the effects thereof manifest in our lives and actions. Thro’.
dom-in-albis	secret		348	356	Receive, we beseech thee, O Lord, the offerings of thy joyful Church: and as thou hast given occasion to this great joy, grant she may receive the fruits of that joy, which will never end. Thro’.
dom-in-albis	postcommunion	Quæsumus	348	356	Grant, we beseech thee, O Lord our God, that the sacred mysteries thou hast given us to preserve the grace of our redemption, may be our present and future remedy. Thro’.
post-pascha-02	collect	Deus	349	357	O God, who, by the humiliation of thy Son, hast raised up the fallen world: grant to thy people perpetual joy: that they whom thou hast delivered from the danger of everlasting death, may arrive at eternal happiness. Thro’.
post-pascha-02	secret		350	358	May this holy oblation, O Lord, draw down upon us thy saving blessing; and always produce in us the effect of what is represented in these sacred mysteries. Thro’.
post-pascha-02	postcommunion	Præsta	350	358	Grant, we beseech thee, O Almighty God, that, receiving from thee the grace of life, we may always glory in thy gift. Thro’.
post-pascha-03	collect	Deus, qui	351	359	O God, who shewest the light of thy truth to such as go astray, that they may return to the way of righteousness: grant that all, who profess the Christian name, may forsake whatever is contrary to that profession, and closely pursue what is agreeable to it. Thro’.
post-pascha-03	secret		352	360	May these sacred mysteries, O Lord, diminish in us the love of the things of this world, and increase the love of such as are eternal. Thro’.
post-pascha-03	postcommunion		352	360	May the sacrament we have received, O Lord, supply us with the spiritual food of the soul, and all necessary helps of the body. Thro’.
post-pascha-04	collect	Deus, qui	353	361	O God, who makest the faithful to be of one mind: grant that thy people may love what thou commandest, and desire what thou promisest: that, amidst the uncertainties of this world, we may place our affections where there are true joys. Thro’.
post-pascha-04	secret		354	362	O God, who madest us partakers of the one Supreme Divinity, by the frequent celebration and participation of this holy sacrifice: grant, we beseech thee, that as we know thy truth, so we may live up to it by a worthy conduct of life. Thro’.
post-pascha-04	postcommunion	Adesto	355	363	Help us, O God, our Lord, that our sins may be forgiven, and that we may be delivered from all dangers by the sacrament, which we have received with faith. Thro’.
post-pascha-05	collect	Deus	355	363	O God, from whom all that is good proceeds: grant that thy people, by thy inspiration, may resolve on what is right, and by thy direction, put it in practice. Thro’.
post-pascha-05	secret		356	364	Receive, O Lord, we beseech thee, the prayers of the faithful, together with these oblations; that by these duties of piety we may obtain eternal life. Thro’.
post-pascha-05	postcommunion	Tribue	357	365	Grant, O Lord, by the power of the heavenly nourishment we have received, that we desire what is right, and obtain our desire. Thro’.
in-ascensione-domini	collect	Concede	366	374	Grant, we beseech thee, O Almighty God, that we, who believe that thy only Son, our Redeemer, ascended this day into heaven, may also have our hearts always fixed on heavenly things. Thro’ the same.
in-ascensione-domini	secret		368	376	Receive, O Lord, the offerings we make in memory of the glorious ascension of thy Son: and mercifully grant, that we may be delivered from present danger, and arrive at everlasting life. Thro’ the same.
in-ascensione-domini	postcommunion	Præsta	369	377	Grant, we beseech thee, O almighty and most merciful God, that we may obtain the invisible effects of the visible mysteries we have received. Thro’.
dom-post-ascensionem	collect	Omnipotens	369	377	O almighty and eternal God, inspire thy servants with true devotion, and grant that we may serve thy divine Majesty with sincere hearts. Thro’.
dom-post-ascensionem	secret		370	378	May these unspotted sacrifices purify us, O Lord! and strengthen our souls with heavenly grace. Thro’.
dom-post-ascensionem	postcommunion	Repleti	370	378	Grant, we beseech thee, O Lord, that we may be always thankful for the sacred gifts with which we have been filled. Thro’.
dom-pentecostes	collect	Deus, qui	375	383	O God, who, by the light of the Holy Ghost, didst this day instruct the hearts of the faithful: grant, by the direction of the same Holy Spirit, that we may relish what is right, and always enjoy his consolation. Thro’.
dom-pentecostes	secret		377	385	Sanctify, we beseech thee, O Lord, these oblations, and purify our hearts by the light of the Holy Ghost. Thro’—in the unity of, &c.
dom-pentecostes	postcommunion	Sancti Spiritus	378	386	May the pouring forth of the Holy Ghost into our hearts cleanse them, O Lord, and render them fruitful by the inward dew of his grace. Thro’.
ssmae-trinitatis	collect	Omnipotens	392	400	O almighty and everlasting God who has granted thy servants, in the confession of the true faith to acknowledge the glory of an Eternal Trinity, and in the power of majesty, to adore an Unity: we beseech thee that, by the strength of this faith, we may be defended from all adversity. Thro’.
ssmae-trinitatis	secret		393	401	Sanctify, we beseech thee, O Lord, our God, by the invocation of thy holy name, the victim of this oblation: and by it make us an eternal offering to thee. Thro’.
ssmae-trinitatis	postcommunion	Proficiat	394	402	May the receiving of this sacrament, O Lord our God, avail us to the salvation of body and soul: together with the confession of an everlasting Holy Trinity, and of the undivided unity thereof. Thro’.
ssmi-corporis-christi	collect	Deus, qui	395	403	O God, who in this wonderful sacrament, has left us a perpetual memorial of thy Passion; grant us, we beseech thee, so to reverence the sacred mysteries of thy body and blood, that in our souls we may always be sensible of the fruit of the redemption thou hast purchased for us. Who livest.
ssmi-corporis-christi	secret		398	406	Mercifully grant thy Church, O Lord, we beseech thee, the gifts of Unity and Peace, which are mystically represented in these offerings. Thro’.
ssmi-corporis-christi	postcommunion	Fac nos	398	406	Grant us, O Lord, we beseech thee, the everlasting possession of thyself, as a pledge of which we have received thy body and blood. Who livest.
post-pentecosten-01	collect	Deus, in te	392	400	O God, the strength of such as hope in thee: mercifully hear us calling on thee: and since mortal weakness can do nothing without thee, grant us the assistance of thy grace; that in observing thy commandments, we may please thee both in will and action. Thro’.
post-pentecosten-01	secret		393	401	Mercifully receive, we beseech thee, O Lord, the sacrifice we offer thee, and grant that it may be a continual help to us. Thro’.
post-pentecosten-01	postcommunion	Tantis	394	402	Grant, we beseech thee, O Lord, that the great sacrifice we have partaken of, may avail us to salvation, and make us never cease praising thee. Thro’.
post-pentecosten-02	collect	Sancti	398	406	Grant us, O Lord, both a constant love and fear of thy holy name: since thou never withdrawest thy protection from those, whom thou solidly groundest in thy love. Thro’.
post-pentecosten-02	secret		400	408	May this sacrifice offered to thy name purify us, O Lord: and make us every day advance towards a heavenly life. Thro’.
post-pentecosten-02	postcommunion	Sumptis	400	408	Having received, O Lord, this sacred oblation, grant, that by frequenting these mysteries we may hasten our salvation.
post-pentecosten-03	collect	Protector	401	409	O God, the protector of those who hope in thee, without whose aid nothing is strong, nothing holy: increase thy mercy towards us; that under thy direction and conduct, we may so pass through the blessings of this life, as not to lose those which are eternal. Thro’.
post-pentecosten-03	secret		402	410	Look down, O Lord, on the offerings of thy suppliant Church; and grant that thy faithful may always worthily partake thereof in order to their salvation. Thro’.
post-pentecosten-03	postcommunion	Sancta	402	410	May thy sacred mysteries, O Lord, which we have received, give us life: and cleansing us from our sins, make us worthy of thy eternal mercy. Thro’.
post-pentecosten-04	collect	Da	403	411	Grant, we beseech thee, O Lord, that the world, with regard to us, may be governed in peace by thy providence, and thy Church pay her devotions to thee in tranquillity. Thro’.
post-pentecosten-04	secret		404	412	Receive our offerings, we beseech thee, O Lord, and be appeased thereby: and mercifully compel our wills to yield to thee, even when they rebel. Thro’.
post-pentecosten-04	postcommunion	Mysteria	405	413	May the mysteries we have received, both purify and defend us, O Lord, by the efficacy of what they contain. Thro’.
post-pentecosten-05	collect	Deus qui	405	413	O God, who hast prepared invisible good things for those that love thee: pour forth into our hearts an affectionate love for thee: that loving thee in all things, and above all things, we may come to the enjoyment of thy promises, which are above whatever we can desire. Thro’.
post-pentecosten-05	secret		406	414	Be appeased, O Lord, by our humble prayers, and mercifully receive these offerings of thy servants: that what each hath offered to the honour of thy name, may avail to the salvation of all.
post-pentecosten-05	postcommunion	Quos cælesti	407	415	Grant, O Lord, we beseech thee: that we, whom thou hast fed with this heavenly sacrifice, may be cleansed from our hidden sins, and delivered from the snares of our enemies. Thro’.
post-pentecosten-06	collect	Deus virtutum	407	415	O God of all power, to whom entirely belongeth whatever is best: implant in our hearts the love of thy name, and grant us an increase of religion; that thou mayest improve in us what is good, and preserve what thou thus improvest by the practice of piety. Thro’.
post-pentecosten-06	secret		409	417	Be appeased, O Lord, by our humble prayers, and mercifully receive the offerings of thy people: and that the vows and prayers of none may be in vain, grant we may effectually obtain what we ask. Thro’.
post-pentecosten-06	postcommunion	Repleti	409	417	We are filled, O Lord, with thy gifts: grant, therefore, we beseech thee, that we may be cleansed by their efficacy, and strengthened by their aid. Thro’.
post-pentecosten-07	collect	Deus cujus	409	417	O God, whose providence is never deceived in what it appointeth: we humbly beseech thee to remove whatever may be prejudicial to us: and grant us whatever may be to the advantage of our souls. Thro’.
post-pentecosten-07	secret		411	419	O God, who in one perfect sacrifice hast united all the various sacrifices of the law, accept from thy devout servants this sacrifice, and sanctify it by the like blessing as thou didst the offering of Abel: that what each hath offered to thy divine Majesty, may avail to the salvation of all. Thro’.
post-pentecosten-07	postcommunion	Tua nos	411	419	Grant, O Lord, that the healing efficacy of these thy mysteries may, through thy mercy, free us from all our sins, and bring us to the practice of what is right. Thro’.
post-pentecosten-08	collect	Largire nobis	411	419	Grant us, O Lord, we beseech thee, the spirit of thinking and doing what is right, that we, who cannot even subsist without thee, may live according to thee. Thro’.
post-pentecosten-08	secret		413	421	Receive, we beseech thee, O Lord, the offerings we bring, which are the gifts of thine own bounty: that these most holy mysteries may, by the power of thy grace, make our conduct in this life holy, and bring us to those joys that will never end. Thro’.
post-pentecosten-08	postcommunion	Sit nobis	413	421	May this heavenly mystery, O Lord, renew us both in soul and body: that we may find in ourselves the effects of what we celebrate. Thro’.
post-pentecosten-09	collect	Pateant	414	422	May the ears of thy mercy, O Lord, be open to the prayers of thy suppliants: and, that they may succeed in their desires, make them ask those things that are agreeable to thee. Thro’.
post-pentecosten-09	secret		415	423	Grant us, O Lord, we beseech thee, frequently and worthily to celebrate these mysteries: for as many times as this commemorative sacrifice is celebrated, so often is the work of our redemption performed. Thro’.
post-pentecosten-09	postcommunion	Tui nobis	415	423	May the participation of this thy sacrament, O Lord, we beseech thee, both purify us, and unite us. Thro’.
post-pentecosten-10	collect	Deus, qui	416	424	O God, who chiefly manifestest thy Almighty power in pardoning and shewing mercy, increase thy goodness towards us: that having recourse to thy promises, we may be partakers of thy heavenly blessing. Thro’.
post-pentecosten-10	secret		417	425	May the sacrifice, we offer, O Lord, be presented before thee: which thou hast appointed to be offered in honour of thy name; and at the same time become a remedy to us. Thro’.
post-pentecosten-10	postcommunion	Quæsumus	418	426	We beseech thee, O Lord our God, that in thy mercy thou wouldst never deprive those of thy help, whom thou continually strengthenest by these divine mysteries. Thro’.
post-pentecosten-11	collect	Omnipotens	418	426	O Almighty and eternal God, who, in the abundance of thy goodness, exceedest both the merits and requests of thy suppliants; pour forth thy mercy upon us: and both pardon what our consciences dreadeth, and grant such blessings as we dare not presume to ask. Thro’.
post-pentecosten-11	secret		420	428	Look down, O Lord, we beseech thee, on our homage: that the offerings we make may be acceptable to thee, and a help to our weakness. Thro’.
post-pentecosten-11	postcommunion	Sentiamus	420	428	May we receive, by the participation of these thy mysteries, we beseech thee, O Lord, help in body and mind: that in the salvation of both we may enjoy the full effect of this heavenly remedy. Thro’.
post-pentecosten-12	collect	Omnipotens	420	428	O Almighty and merciful God, from whose gift it proceedeth that thy people worthily serve thee; grant we beseech thee, that we may run on, without stumbling, to the obtaining the effects of thy promises. Thro’.
post-pentecosten-12	secret		422	430	Mercifully look down, O Lord, on the offerings we lay on thy holy altar; that they may be to the honour of thy name, by obtaining pardon for us. Thro’.
post-pentecosten-12	postcommunion	Vivificet	423	431	May the sacred participation of these thy mysteries, O Lord, we beseech thee, give us life; and be to us both an expiation and protection. Thro’.
post-pentecosten-13	collect	Omnipotens	423	431	O Almighty and eternal God, grant us an increase of faith, hope, and charity; and, that we may deserve what thou promisest, make us love what thou commandest. Thro’.
post-pentecosten-13	secret		424	432	Be thou propitious, O Lord, to thy people: and mercifully receive their offerings: that being appeased thereby, thou mayest grant us pardon, and hear our requests. Thro’.
post-pentecosten-13	postcommunion	Sumptis	425	433	May these heavenly mysteries, O Lord, which we have received, advance our eternal redemption. Thro’.
post-pentecosten-14	collect	Custodi	425	433	Preserve, O Lord, we beseech thee, thy Church by thy constant mercy: and since our weak mortality is continually falling without thy assistance, may thy grace withdraw it from what is hurtful, and direct it in the ways of salvation. Thro’.
post-pentecosten-14	secret		427	435	Grant, we beseech thee, O Lord, that this victim of salvation may both cleanse us from our sins, and render thy Majesty propitious to us. Thro’.
post-pentecosten-14	postcommunion	Purificent	427	435	May these thy mysteries, O God, continually purify us and strengthen us: and procure us eternal salvation. Thro’.
post-pentecosten-15	collect	Ecclesiam	428	436	May thy continual mercy purify and defend thy church: and since without thee it cannot be safe, may it always be directed by the influence of thy grace. Thro’.
post-pentecosten-15	secret		429	437	May thy mysteries, O Lord, preserve us, and always defend us against the attacks of the devil.
post-pentecosten-15	postcommunion	Mentes	429	437	May the efficacy of these divine mysteries, O Lord, possess both our souls and bodies: that their effects, not our own sensuality, may always take the lead in us. Thro’.
post-pentecosten-16	collect	Tua nos	429	437	May thy grace, O Lord, always prevent and follow us; and make us constantly zealous in the practice of good works. Thro’.
post-pentecosten-16	secret		431	439	Cleanse us, O Lord, we beseech thee, by the efficacy of this sacrifice: and by thy mercy make us worthy to partake thereof. Thro’.
post-pentecosten-16	postcommunion	Purifica	431	439	Mercifully, O Lord, we beseech thee, purify our souls, and renew them by these holy mysteries; that we may receive help thereby, both while we are in these mortal bodies and hereafter. Thro’.
post-pentecosten-17	collect	Da, quæsumus	431	439	Grant, we beseech thee, O Lord, that thy people may avoid all contagion of the devil: and with a clean heart follow thee, the only true God. Thro’.
post-pentecosten-17	secret		433	441	We humbly beseech thy Majesty, O Lord, that the sacred mysteries we celebrate may cleanse us from all past offences, and from those we may hereafter be guilty of. Thro’.
post-pentecosten-17	postcommunion	Sanctificationibus	433	441	May our vices be cured, O Almighty God! and an eternal remedy procured for us by these sacred mysteries. Thro’.
post-pentecosten-18	collect	Dirigat	444	452	May the influence of thy mercy, O Lord, direct our souls: for without thy help we can do nothing well pleasing to thee. Thro’.
post-pentecosten-18	secret		445	453	O God, who by the participation of this august sacrifice makest us partakers of the one supreme divine nature: grant, we beseech thee, that as we know thy truth, so we may shew it by a worthy conduct of life. Thro’.
post-pentecosten-18	postcommunion	Gratias	445	453	Being fed, O Lord, with this holy sacrifice: we give thee thanks, humbly beseeching thy mercy: that thou wouldst make us worthy of what we have received. Thro’.
post-pentecosten-19	collect	Omnipotens	446	454	O Almighty and merciful God, favourably defend us from all adversity: that being free both in soul and body, we may with security of mind perform thy service. Thro’.
post-pentecosten-19	secret		447	455	Grant, we beseech thee, O Lord, that the offerings we bring before thy divine Majesty may avail to our salvation. Thro’.
