seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
11	praefatio-de-epiphania	praefatio	prayer	priest	xxx	40	Quia cum unigenitus tuus in substantia	* Because when thy only begotten Son appeared in the substance of our mortal flesh, he repaired us by the new light of his immortality. † And therefore, &c.	The clause only; asterisk at the head, and the dagger cue at the end refers the reader to the conclusion of the Christmas Preface. The final line † And therefore, &c. is set flush left as a short line of its own, matching the Latin † Et ideo, &c.
12	praefatio-de-quadragesima-heading	praefatio	heading		xxx	40		In LENT till Passion-Sunday.	Centred across the full measure on one line. LENT in small capitals; In and till in italic, Passion-Sunday. roman.
13	praefatio-de-quadragesima	praefatio	prayer	priest	xxx	40	Qui corporali jejunio vitia comprimis	* Who by this bodily fast extinguishest our vices, elevatest our understanding, bestowest on us virtue and its reward. * Thro' &c.	The clause only. It closes with an asterisk, not a dagger, so it rejoins the common Preface: the English cue is * Thro' &c. with NO comma after Thro' (verified at 1600 dpi), where the parallel cue on the next Preface has one; the Latin cue is * Per Christum, &c.
14	praefatio-de-sancta-cruce-heading	praefatio	heading		xxx	40		On PASSION and PALM SUNDAYS, Maundy-Thursday, and Feasts of the Holy Cross.	Centred across the full measure in two lines. PASSION and PALM SUNDAYS in small capitals; On, and, and, of the in italic, the rest roman.
15	praefatio-de-sancta-cruce	praefatio	prayer	priest	xxx	40	Qui salutem humam generis in ligno	* Who hast appointed that the salvation of mankind should be wrought on the wood of the cross: that from whence death came, thence life might arise, and that he who overcame by the tree, might also by the tree be overcome. * Thro', &c.	The clause only; closes with an asterisk and so rejoins the common Preface, cue * Thro', &c. (with comma). Scan damage: man-kind is broken at the right margin but the hyphen survives. The Latin column prints humam generis for humani generis, a misprint of the book, verified at 1600 dpi; and closes Christum. &c. with a full stop where a comma is wanted. The latin_incipit above reproduces the misprint as printed.
16	praefatio-paschalis-heading	praefatio	heading		xxx	40		From HOLY SATURDAY till the Ascension.	Centred across the full measure on one line. HOLY SATURDAY in small capitals; From and till the in italic, Ascension. roman.
17	praefatio-paschalis	praefatio	prayer	priest	xxx-xxxi	40-41	Vere dignum et justum est	IT is truly meet and just, right and available to salvation, to praise thee, O Lord, at all times, but chiefly on this [night or day, or, at this time] when Christ our Passover was sacrificed for us. For he is the true Lamb who hath taken away the sins of the world. Who by dying has destroyed our death, and by rising again has restored us to life. † And	NOT a clause: this Preface is printed WHOLE, from Vere dignum, with the same two-line drop I and drop V as the common Preface, because its body differs from the common one. Runs over the page break, breaking at avail- / able between p. xxx and p. xxxi. DEFECT: the English column stops dead at † And at the foot of its last line and the Ascension heading follows immediately; therefore, &c. is simply not set, though the facing Latin closes † Et ideo, &c. Verified at 1600 dpi that nothing follows And and that no line has been lost to the gutter or the margin. Scan damage: after our death the comma has lost its tail and survives only as a dot below the line; read as a comma against the Latin destruxit, et vitam. The square brackets round night or day, or, at this time are the book's own, matching the Latin brackets round in hoc potissimum nocte vel die, vel; the opening Latin bracket has printed as a broken sort.
18	praefatio-de-ascensione-heading	praefatio	heading		xxxi	41		From ASCENSION-DAY till Whitsun-Eve.	Centred across the full measure on one line. ASCENSION-DAY in small capitals; From and till in italic, Whitsun-Eve. roman.
19	praefatio-de-ascensione	praefatio	prayer	priest	xxxi	41	Per Christum Dominum nostrum. Qui post	* Through Christ our Lord. Who after his resurrection appeared openly to all his disciples, and in their presence ascended into heaven, to make us partakers of his divine nature. † And therefore, &c.	The clause only. Note that here and in the Whitsuntide Preface the book spells the word out, Through Christ our Lord, where the common Preface and the Lent and Passion cues have Thro'. Ends at a dagger and so takes the Christmas conclusion.
20	praefatio-de-spiritu-sancto-heading	praefatio	heading		xxxi	41		From WHITSUN-EVE till Trinity-Sunday; and in Votive Masses of the Holy Ghost.	Centred across the full measure in two lines. WHITSUN-EVE in small capitals; From, till, and in, of the in italic, the rest roman. In the word in of and in the i has lost its dot.
21	praefatio-de-spiritu-sancto	praefatio	prayer	priest	xxxi-xxxii	41-42	Per Christum Dominum nostrum. Qui ascendens	* Through Christ our Lord. Who ascending above all the heavens, and sitting at thy right hand, didst send down the promised holy Spirit [this day] upon the children of adoption. Wherefore the whole world displays its excess of joy. The heavenly virtues also and all the angelic powers, sing in concert an everlasting hymn to thy glory, saying, Holy, &c.	The clause with its own conclusion (no dagger; it runs on to saying, Holy, &c.). Runs over the page break, breaking at angelic pow- / ers between p. xxxi and p. xxxii. Square brackets round this day are the book's own, matching the Latin [hodierna die]. Scan damage at the right margin of p. xxxi, controlled at 1600 dpi against the facing Latin: the end-of-line hyphen of chil-dren is eaten entirely, the page printing chil at the end of one line and dren at the start of the next (Latin in filios adoptionis); in also the final o is clipped to a crescent (Latin Sed et supernæ virtutes). The book prints holy Spirit with a lower-case h.
22	praefatio-de-beata-maria-virgine-heading	praefatio	heading		xxxii	42		On FESTIVALS of the B. V. MARY (the Purification excepted.)	Centred across the full measure in two lines. FESTIVALS and MARY in small capitals, B. V. in full capitals; On and of the in italic, and the parenthesis the Purification excepted. in italic. The full stop stands INSIDE the closing parenthesis, as printed.
23	praefatio-de-beata-maria-virgine	praefatio	prayer	priest	xxxii	42	Et te in N. Beatæ Mariæ	* That we should praise, bless, and glorify thee on the N. ‡ of the blessed Mary, ever a Virgin. Who by the overshadowing of the Holy Ghost conceived thy only begotten Son: and the glory of her virginity still remaining, brought forth the eternal light of the world, Jesus Christ our Lord. * By whom, &c.	The clause only; closes with an asterisk and rejoins the common Preface, cue * By whom, &c. (Latin * Per quem, &c.). The mark after N. is a double dagger, printed in both columns and keyed to the footnote at the foot of the page; verified at 1600 dpi. Scan damage at the right margin: in and the the final e is clipped, in still the final l is thinned, and the hyphen of Vir-gin is raised and partly clipped; all read against the facing Latin Beatæ Mariæ semper Virginis / Virginitatis gloria permanente. The book sets a thin space before the colon in Son : and; not reproduced.
24	praefatio-de-apostolis-heading	praefatio	heading		xxxii	42		On the FESTIVALS of the APOSTLES.	Centred across the full measure on one line. FESTIVALS and APOSTLES in small capitals; On the and of the in italic.
25	praefatio-de-apostolis	praefatio	prayer	priest	xxxii	42	Vere dignum et justum est	IT is truly meet and just, right and available to salvation, humbly to beseech thee that thou O Lord, our eternal Shepherd wouldst not forsake thy flock, but keep it under thy continual protection by thy blessed apostles. That it may be governed by those whom thou hast appointed its vicars and pastors. * And, &c.	NOT a clause: printed WHOLE from Vere dignum with the two-line drop I and drop V, like the Easter Preface, since its body replaces the common one; it nevertheless closes with an asterisk cue * And, &c. (Latin * Et ideo, &c.). No comma after thou, and none after Shepherd, as printed. A small raised mark stands after right in the second line; it matches no whole comma or apostrophe, the parallel opening on p. xxviii prints just, right and available with nothing after right, and it is read here as a broken sort or ink speck and not transcribed. This is the last block printed on p. xxxii apart from the footnote below; the next page opens THE CANON OF THE MASS.
26	rubrica-nota-nominis	praefatio	rubric		xxxii	42		‡ Here the Name of her several Festivals, as they occur in the course of the Year, should be expressed.	Footnote set in italic across the full measure at the foot of the page, below both columns and below the Apostles Preface, separated by a blank line. It is keyed to the double dagger in the Preface of the Blessed Virgin. Its own leading mark is the double dagger.
